frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,719,472,718,638,43.493,-0.345,0
1,0.01668,holding,719,472,719,638,43.493,0.0,0
2,0.03337,holding,719,472,718,638,43.493,-0.345,0
3,0.05005,holding,719,472,717,638,43.493,-0.69,0
4,0.06673,holding,719,473,717,638,43.249,-0.694,0
5,0.08342,holding,720,473,717,638,43.506,-1.042,0
6,0.1001,holding,720,472,717,638,43.749,-1.035,0
7,0.11678,holding,720,472,716,637,43.749,-1.389,0
8,0.13347,holding,720,472,715,638,43.749,-1.725,0
9,0.15015,holding,720,472,716,638,43.749,-1.38,0
10,0.16683,holding,720,472,715,638,43.749,-1.725,0
11,0.18352,holding,720,472,715,638,43.749,-1.725,0
12,0.2002,holding,720,472,714,638,43.749,-2.07,0
13,0.21688,holding,720,471,715,638,43.995,-1.715,0
14,0.23357,holding,719,472,715,638,43.493,-1.38,0
15,0.25025,holding,720,472,715,638,43.749,-1.725,0
16,0.26693,holding,720,472,715,638,43.749,-1.725,0
17,0.28362,holding,720,473,715,637,43.506,-1.746,0
18,0.3003,holding,720,472,715,638,43.749,-1.725,0
19,0.31698,holding,720,472,715,638,43.749,-1.725,0
20,0.33367,holding,720,472,715,638,43.749,-1.725,0
21,0.35035,holding,719,472,715,638,43.493,-1.38,0
22,0.36703,holding,720,473,715,638,43.506,-1.736,0
23,0.38372,holding,720,472,715,638,43.749,-1.725,0
24,0.4004,holding,720,472,716,637,43.749,-1.389,0
25,0.41708,holding,719,472,716,639,43.493,-1.029,0
26,0.43377,holding,720,473,716,638,43.506,-1.389,0
27,0.45045,holding,720,472,717,638,43.749,-1.035,0
28,0.46713,holding,720,472,717,638,43.749,-1.035,0
29,0.48382,holding,720,472,717,637,43.749,-1.042,0
30,0.5005,holding,719,472,718,639,43.493,-0.343,0
31,0.51718,holding,720,473,719,638,43.506,-0.347,0
32,0.53387,holding,720,473,718,638,43.506,-0.694,0
33,0.55055,holding,720,472,718,638,43.749,-0.69,0
34,0.56723,holding,720,472,719,638,43.749,-0.345,0
35,0.58392,holding,719,472,719,637,43.493,0.0,0
36,0.6006,holding,720,472,719,639,43.749,-0.343,0
37,0.61728,holding,720,473,720,638,43.506,0.0,0
38,0.63397,holding,720,472,721,638,43.749,0.345,0
39,0.65065,holding,720,472,720,638,43.749,0.0,0
40,0.66733,holding,720,472,720,637,43.749,0.0,0
41,0.68402,holding,720,472,720,638,43.749,0.0,0
42,0.7007,holding,720,472,720,638,43.749,0.0,0
43,0.71738,holding,720,472,721,638,43.749,0.345,0
44,0.73407,holding,720,472,721,638,43.749,0.345,0
45,0.75075,holding,720,472,721,637,43.749,0.347,0
46,0.76743,holding,720,472,721,639,43.749,0.343,0
