stem,status,duration_s,n_free,init_amp_th1_deg,init_amp_th2_deg,E_release,E_end,drift_pct,tau_s,half_life_s,fit_r2,E0_fit
th1_m001_th2_p001,FAIL,1.9019,85,2.121096,2.4778,0.02008039214877103,0.02008039214877103,0.0,19942892.386642754,13822418.713182094,-3.5081434782552004e+16,0.02008039302458028
th1_p001_th2_p093,WARN,16.383039999999998,907,21.670448,85.513319,1.9278984595177586,1.820747150663569,-5.557933216098538,70.64679702525267,48.965295018202625,0.7900242225827749,2.0974362764839833
th1_p037_th2_p094,WARN,17.65097,1055,36.027373,133.872451,4.487526316811632,3.5145982437469474,-21.68072127888814,67.90973686352764,47.06823862011101,0.9775982080508322,4.481357841168338
th1_p044_th2_m001,PASS,17.917900000000003,1075,42.488637,67.598859,1.923244048428513,1.7557529791426278,-8.708778764855268,134.65677412718892,93.33061014755465,0.47814870758543326,1.9571784396378646
th1_p047_th2_m002,WARN,44.22752,2633,45.250198,61.412243,2.0022616522145937,1.2556138869328353,-37.29021951031883,91.05491940183548,63.110164637412176,0.9266432908810222,2.068451410815539
th1_p056_th2_m001,PASS,25.20852,1512,55.124672,53.431176,2.9614043285566582,2.300473938864313,-22.318140867122732,74.742804590633,51.80423786176774,0.8653538217344252,2.9429517867767503
th1_p067_th2_p096,WARN,23.97395,1438,68.198591,158.80159099999997,7.323061348145052,5.257332621016609,-28.208540512250348,62.93020020641276,43.61692176306469,0.9921872217244767,7.637541719230213
th1_p079_th2_p000,WARN,2.9529500000000004,177,78.551,78.199,5.478814190825558,5.939939731045914,8.416520877684176,2249964329.2414985,1559450276.5972826,-2.1818143514096278e-08,5.583708963907497
th1_p082_th2_p001,PASS,26.2262,1573,82.170923,81.769025,5.932604060397377,4.006262840641179,-32.47041602886217,45.53667575573617,31.56146996630074,0.6633053020732287,5.724445939698558
th1_p090_th2_p000_r2,WARN,44.644600000000004,2666,85.710847,22.980268000000002,6.686285905975728,4.348519535300302,-34.96360166989114,86.0775250914855,59.6603326409086,0.6465003508237916,7.405740031632637
th1_p094_th2_p000_r2,WARN,22.555870000000002,1351,89.641906,35.295353,6.396351418613316,6.522827352988196,1.97731372305213,101.28013355661363,70.19726056808892,0.5023678077311513,8.022809506499163
th1_p093_th2_m000,WARN,33.96727,2034,90.34936,88.94336,7.03490745084574,3.3275514723142403,-52.69942788068661,66.25499992779892,45.921340449957434,0.693259780772557,6.200780509577178
th1_p091_th2_m001,FAIL,32.64928999999999,1839,90.353673,88.947673,5.87935896888722,4.02801287594155,-31.488910657484016,85.09340861663485,58.97824151218962,0.6875750301182129,6.645590157652236
th1_p092_th2_m002,WARN,40.90754,2453,91.7788,92.4778,7.782258685269403,2.0447804847515756,-73.72510260264126,33.62582914386021,23.306062179609512,0.9540935970678701,6.564393626425364
th1_p092_th2_p000,WARN,41.624919999999996,2491,92.121096,92.473096,6.976032579729203,3.334556079604435,-52.19982072196864,62.30789161818152,43.185599680561616,0.8109379270132572,6.252766502084689
th1_p090_th2_p000,WARN,1.45145,88,92.134259,92.8355,6.962053445821684,6.962053445821684,0.0,527262394.6077429,365445565.70262665,-9923264029117.074,6.96205345540839
th1_p094_th2_p000,WARN,39.20584,2351,92.827125,92.47812499999999,7.762526317965673,3.078121511803907,-60.34639515901067,56.755619765580455,39.33732005952382,0.7594977362207707,6.480304338754126
th1_p093_th2_m002,WARN,43.3433,2594,93.908544,94.95054400000001,7.896657474729125,2.1849105833451357,-72.33119721429878,47.528567542023886,32.942050163376756,0.8739674861454473,6.448834861217483
th1_p116_th2_m001,WARN,32.78275,1966,115.144786,116.198786,10.366124971153067,4.173994373813584,-59.73428464899847,42.17906052457615,29.23430684958373,0.8809245824662261,9.440119620536
th1_p138_th2_m002,WARN,43.1431,2587,137.986637,138.689637,12.893568780586406,5.540695997711856,-57.02744451905067,44.72442855883879,30.998501434131168,0.8450367196493843,11.883661770311084
th1_p140_th2_p089,FAIL,18.23489,1077,140.511477,228.22047700000002,12.31225469505992,8.339990291463094,-32.26268869495226,138.8731310546396,96.25296713397071,0.09791413643913482,9.612291777931828
th1_p153_th2_p090,WARN,44.77807,2673,153.118,251.571,16.546239197333197,5.736990209422208,-65.32752765748211,41.29086943965183,28.618701608622683,0.8827044671579259,14.506879343561529
th1_p160_th2_m001,WARN,31.48145,1886,160.56,160.918,15.055632619033931,6.301622003971328,-58.14442233397375,36.96482605321639,25.620320937484284,0.8522269566810974,13.114352035848555
th1_p176_th2_p180,FAIL,35.21852,2093,177.137595,299.549441,23.604797724314043,82.2608972797521,248.4922778856077,792494672.9023082,549278057.7885898,-3.1742965145298285e-08,64.72363786972815
th1_p180_th2_p090,FAIL,27.54419,1632,177.954592,244.164188,71.44811651214096,76.28298177669487,6.7669597192703295,651387070.9299244,451476378.8615306,-2.5370912482003405e-08,84.0780842805906
th1_p180_th2_p180,WARN,23.17315,1316,178.576795,340.06792199999995,18.0156110192172,10.76605242895753,-40.24042583138917,25.863569081098046,17.926039730109057,0.8105698807666273,20.84253186403862
th1_p180_th2_m179,WARN,515.44827,30896,179.646327,244.342577,17.493028679831934,0.025165813526193053,-99.85613804226362,39.589038647823614,27.439162686806547,0.9769987623850269,15.537889548028577
th1_m179_th2_p089,WARN,44.1441,2634,180.0,261.30899999999997,16.153572284309153,5.561496953207097,-65.57110182613116,38.214038882757414,26.486150349639164,0.9034948826187902,15.854948293650642
