frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,,,,,,,1
1,0.01668,holding,608,196,607,37,180.0,-179.64,0
2,0.03337,holding,608,196,607,38,180.0,-179.637,0
3,0.05005,holding,608,196,608,37,180.0,180.0,0
4,0.06673,holding,609,196,607,37,179.64,-179.279,0
5,0.08342,holding,609,196,607,37,179.64,-179.279,0
6,0.1001,holding,609,197,607,37,179.637,-179.284,0
7,0.11678,holding,609,197,607,37,179.637,-179.284,0
8,0.13347,holding,609,197,606,38,179.637,-178.919,0
9,0.15015,holding,609,196,608,38,179.64,-179.637,0
10,0.16683,holding,609,197,607,37,179.637,-179.284,0
11,0.18352,holding,609,197,607,37,179.637,-179.284,0
12,0.2002,holding,609,197,607,38,179.637,-179.279,0
13,0.21688,holding,609,196,607,39,179.64,-179.27,0
14,0.23357,holding,610,197,607,38,179.275,-178.919,0
15,0.25025,holding,609,197,607,38,179.637,-179.279,0
16,0.26693,holding,610,196,607,38,179.279,-178.912,0
17,0.28362,holding,609,196,607,38,179.64,-179.275,0
18,0.3003,holding,608,197,607,38,180.0,-179.64,0
19,0.31698,holding,610,197,607,38,179.275,-178.919,0
20,0.33367,holding,609,196,607,38,179.64,-179.275,0
21,0.35035,holding,609,196,608,37,179.64,-179.64,0
22,0.36703,holding,608,197,608,37,180.0,180.0,0
23,0.38372,holding,610,196,608,37,179.279,-179.279,0
24,0.4004,holding,609,196,608,38,179.64,-179.637,0
25,0.41708,holding,610,196,608,38,179.279,-179.275,0
26,0.43377,holding,609,196,608,38,179.64,-179.637,0
27,0.45045,holding,609,196,608,38,179.64,-179.637,0
28,0.46713,holding,608,197,608,37,180.0,180.0,0
29,0.48382,holding,610,196,608,38,179.279,-179.275,0
30,0.5005,holding,610,196,608,38,179.279,-179.275,0
31,0.51718,holding,609,197,608,37,179.637,-179.642,0
32,0.53387,holding,610,196,608,38,179.279,-179.275,0
33,0.55055,holding,610,196,608,37,179.279,-179.279,0
34,0.56723,holding,609,196,608,38,179.64,-179.637,0
35,0.58392,holding,609,197,608,38,179.637,-179.64,0
36,0.6006,holding,609,197,608,38,179.637,-179.64,0
37,0.61728,holding,609,197,608,38,179.637,-179.64,0
38,0.63397,holding,609,197,607,37,179.637,-179.284,0
39,0.65065,holding,608,197,607,37,180.0,-179.642,0
40,0.66733,holding,609,197,606,38,179.637,-178.919,0
41,0.68402,holding,608,197,606,38,180.0,-179.279,0
42,0.7007,holding,609,197,606,38,179.637,-178.919,0
43,0.71738,holding,609,197,606,37,179.637,-178.926,0
44,0.73407,holding,610,197,605,37,179.275,-178.21,0
45,0.75075,holding,610,197,605,38,179.275,-178.199,0
46,0.76743,holding,612,197,605,38,178.55,-177.479,0
47,0.78412,holding,613,196,606,38,178.199,-177.463,0
48,0.8008,free_swing,613,196,605,37,178.199,-177.12,0
49,0.81748,free_swing,616,197,605,38,177.101,-176.042,0
50,0.83417,free_swing,617,197,604,39,176.74,-175.296,0
51,0.85085,free_swing,618,197,603,40,176.379,-174.542,0
52,0.86753,free_swing,621,197,602,40,175.296,-173.1,0
53,0.88422,free_swing,623,198,599,40,174.542,-171.363,0
54,0.9009,free_swing,626,197,597,41,173.501,-169.469,0
55,0.91758,free_swing,629,198,596,43,172.381,-167.981,0
56,0.93427,free_swing,632,198,593,45,171.309,-165.7,0
