stem,amplitude,amp_th2,status,lambda1,r2
th1_m001_th2_p001,0.354,1.054,WARN,nan,nan
th1_p001_th2_p093,0.707,84.806,WARN,0.7014,0.996
th1_p037_th2_p094,31.178,98.043,WARN,0.1176,0.961
th1_p044_th2_m001,37.376,1.406,WARN,0.2798,0.983
th1_p047_th2_m002,45.25,0.699,WARN,0.4493,0.988
th1_p056_th2_m001,48.662,1.746,WARN,0.6378,0.975
th1_p067_th2_p096,60.624,90.603,WARN,0.3461,0.478
th1_p090_th2_p000_r2,63.88,82.266,WARN,0.4797,0.951
th1_p082_th2_p001,73.399,0.345,WARN,0.6368,0.982
th1_p079_th2_p000,78.275,88.127,WARN,nan,nan
th1_p094_th2_p000_r2,80.826,86.781,WARN,0.4802,0.453
th1_p092_th2_m002,81.968,1.757,WARN,0.4728,0.983
th1_p090_th2_p000,82.266,1.768,WARN,nan,nan
th1_p093_th2_m002,90.0,2.148,WARN,0.723,0.982
th1_p093_th2_m000,90.0,1.768,WARN,0.8801,0.964
th1_p091_th2_m001,90.354,1.406,WARN,0.47,0.961
th1_p092_th2_p000,92.121,0.0,WARN,0.697,0.981
th1_p094_th2_p000,92.827,0.349,WARN,0.8386,0.976
th1_p116_th2_m001,115.145,2.459,WARN,0.6524,0.97
th1_p138_th2_m002,136.992,3.16,WARN,0.6402,0.682
th1_p140_th2_p089,140.511,87.709,WARN,0.3657,0.132
th1_p153_th2_p090,152.193,74.393,WARN,0.8485,0.873
th1_p160_th2_m001,159.775,0.358,WARN,0.6075,0.961
th1_p176_th2_p180,162.667,166.979,WARN,1.0768,0.961
th1_p180_th2_p090,176.915,67.116,WARN,1.2343,0.955
th1_p180_th2_p180,178.577,105.081,WARN,1.0632,0.83
th1_m179_th2_p089,178.933,89.64,PASS,3.0057,0.906
th1_p180_th2_m179,179.646,62.074,PASS,1.4915,0.919
