frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,,,,,,,1
1,0.01668,holding,609,193,805,116,179.646,111.448,0
2,0.03337,holding,609,193,810,182,179.646,93.132,0
3,0.05005,holding,609,193,805,112,179.646,112.454,0
4,0.06673,holding,609,193,805,112,179.646,112.454,0
5,0.08342,holding,610,193,805,111,179.293,112.807,0
6,0.1001,holding,610,193,811,180,179.293,93.701,0
7,0.11678,holding,610,193,805,110,179.293,113.057,0
8,0.13347,holding,610,193,811,182,179.293,93.132,0
9,0.15015,holding,610,193,806,109,179.293,113.199,0
10,0.16683,holding,610,193,807,111,179.293,112.599,0
11,0.18352,holding,611,193,807,110,178.939,112.951,0
12,0.2002,holding,611,193,807,107,178.939,113.691,0
13,0.21688,holding,611,193,806,106,178.939,114.044,0
14,0.23357,holding,611,193,807,106,178.939,113.935,0
15,0.25025,holding,612,193,814,173,178.586,95.654,0
16,0.26693,holding,612,193,808,105,178.586,114.179,0
17,0.28362,holding,612,193,807,104,178.586,114.532,0
18,0.3003,holding,612,193,814,173,178.586,95.654,0
19,0.31698,holding,612,193,781,148,178.586,104.91,0
20,0.33367,holding,613,193,782,148,178.232,104.91,0
21,0.35035,holding,613,193,783,148,178.232,104.826,0
22,0.36703,holding,613,194,784,148,178.221,105.056,0
23,0.38372,holding,614,194,786,148,177.866,104.973,0
24,0.4004,holding,614,193,819,172,177.879,95.849,0
25,0.41708,holding,614,194,820,173,177.866,95.821,0
26,0.43377,holding,615,194,821,173,177.51,95.821,0
27,0.45045,holding,615,194,822,174,177.51,95.519,0
28,0.46713,holding,616,193,824,174,177.173,95.219,0
29,0.48382,holding,616,194,825,174,177.155,95.466,0
30,0.5005,holding,617,194,828,174,176.8,95.415,0
31,0.51718,holding,617,194,829,174,176.8,95.389,0
32,0.53387,holding,618,194,831,174,176.446,95.364,0
33,0.55055,holding,618,194,833,172,176.446,95.842,0
34,0.56723,holding,619,194,818,144,176.091,104.104,0
35,0.58392,holding,619,194,809,128,176.091,109.156,0
36,0.6006,holding,619,194,828,142,176.091,103.972,0
37,0.61728,holding,620,194,786,131,175.737,110.783,0
38,0.63397,holding,620,194,804,128,175.737,109.733,0
39,0.65065,holding,621,194,823,147,175.384,103.098,0
40,0.66733,free_swing,621,194,808,153,175.384,102.366,0
41,0.68402,free_swing,621,194,815,188,175.384,91.771,0
42,0.7007,free_swing,621,194,805,187,175.384,92.179,0
43,0.71738,free_swing,620,194,808,188,175.737,91.828,0
44,0.73407,free_swing,620,194,,,175.737,,1
45,0.75075,free_swing,620,194,,,175.737,,1
46,0.76743,free_swing,619,194,,,176.091,,1
47,0.78412,free_swing,618,194,,,176.446,,1
48,0.8008,free_swing,617,194,,,176.8,,1
49,0.81748,free_swing,616,194,,,177.155,,1
50,0.83417,free_swing,615,194,,,177.51,,1
51,0.85085,free_swing,614,194,,,177.866,,1
52,0.86753,free_swing,614,194,,,177.866,,1
53,0.88422,free_swing,614,194,,,177.866,,1
54,0.9009,free_swing,614,194,,,177.866,,1
55,0.91758,free_swing,615,193,,,177.526,,1
56,0.93427,free_swing,618,193,,,176.468,,1
57,0.95095,free_swing,622,194,,,175.03,,1
58,0.96763,free_swing,627,194,776,258,173.27,66.755,0
59,0.98432,free_swing,635,195,,,170.422,,1
60,1.001,free_swing,646,197,,,166.477,,1
61,1.01768,free_swing,658,201,,,162.013,,1
62,1.03437,free_swing,673,207,,,156.289,,1
63,1.05105,free_swing,691,216,700,377,149.158,3.2,0
64,1.06773,free_swing,709,229,,,141.285,,1
65,1.08442,free_swing,728,247,602,364,131.987,-47.121,0
66,1.1011,free_swing,746,272,640,393,121.025,-41.219,0
67,1.11778,free_swing,760,299,626,390,110.225,-55.819,0
68,1.13447,free_swing,768,332,616,387,98.18,-70.108,0
69,1.15115,free_swing,769,370,607,384,84.677,-85.061,0
70,1.16783,free_swing,761,407,601,384,71.229,-98.18,0
71,1.18452,free_swing,747,439,593,385,58.855,-109.323,0
72,1.2012,free_swing,721,472,581,387,44.004,-121.264,0
73,1.21788,free_swing,689,495,565,391,30.052,-129.987,0
74,1.23457,free_swing,654,510,542,393,16.53,-136.251,0
75,1.25125,free_swing,622,516,515,394,4.97,-138.748,0
76,1.26793,free_swing,586,515,480,394,-7.829,-138.781,0
77,1.28462,free_swing,556,508,443,396,-18.771,-134.745,0
78,1.3013,free_swing,532,499,405,399,-27.824,-128.217,0
79,1.31798,free_swing,509,483,366,407,-37.72,-117.989,0
80,1.33467,free_swing,488,464,332,420,-47.75,-105.751,0
81,1.35135,free_swing,468,436,,,-59.948,,1
82,1.36803,free_swing,453,396,,,-75.184,,1
83,1.38472,free_swing,447,367,,,-85.737,,1
84,1.4014,free_swing,449,339,,,-95.746,,1
85,1.41808,free_swing,452,316,,,-104.036,,1
86,1.43477,free_swing,457,299,,,-110.348,,1
87,1.45145,free_swing,462,286,,,-115.296,,1
88,1.46813,free_swing,466,277,,,-118.78,,1
89,1.48482,free_swing,469,272,,,-120.842,,1
90,1.5015,free_swing,470,270,,,-121.631,,1
91,1.51818,free_swing,470,271,,,-121.329,,1
92,1.53487,free_swing,469,273,,,-120.538,,1
93,1.55155,free_swing,469,274,,,-120.231,,1
94,1.56823,free_swing,469,274,,,-120.231,,1
95,1.58492,free_swing,470,272,,,-121.025,,1
96,1.6016,free_swing,471,270,,,-121.817,,1
97,1.61828,free_swing,473,267,616,361,-123.098,56.681,0
98,1.63497,free_swing,475,264,,,-124.38,,1
99,1.65165,free_swing,478,260,,,-126.158,,1
100,1.66833,free_swing,481,256,,,-127.937,,1
101,1.68502,free_swing,484,252,,,-129.715,,1
