t_s,theta1_deg,omega1_deg_s
2.6365,88.7655,404.3136
3.8682,2.7448,69.2939
4.6814,-9.6358,-815.5294
5.4656,-3.2000,66.1641
7.2897,63.4038,532.8965
8.7587,-0.3577,292.9573
10.3853,42.9676,565.8062
13.1207,-62.5411,505.9453
14.7029,32.0117,255.5072
15.0963,92.9512,112.8926
16.0479,69.6309,403.5107
16.8658,-45.0490,522.8763
18.4281,9.3530,-198.9285
18.9193,84.2592,-157.5797
19.9122,65.6307,411.7006
21.3452,89.1080,167.8053
22.4663,53.4655,398.8740
23.2314,-62.4552,347.7922
24.4721,9.0890,534.8420
25.7051,-24.4376,86.2289
28.1519,29.1949,2.5171
28.5876,60.8139,-132.9192
29.5430,78.1348,94.8716
30.4851,50.8623,224.9854
31.0892,-52.8450,2.4777
31.4318,45.7084,-46.2043
31.9834,-49.1062,85.0181
33.4273,52.8056,94.8631
34.0928,-49.9311,237.6470
35.0705,-75.3788,100.1843
37.5325,34.8564,277.4547
38.3564,-54.9061,147.7541
39.7315,54.3443,295.8229
41.5738,-43.0875,348.0881
43.6855,-53.9271,275.9905
