t_s,theta1_deg,omega1_deg_s
2.2397,74.2722,84.4085
3.2202,48.5446,207.4229
3.9617,-50.6412,208.4511
4.9641,-71.5649,134.3200
5.9847,-61.4392,69.2157
7.3895,33.3706,187.8490
8.2216,-53.1223,107.9573
9.5933,50.3014,283.7070
11.6926,41.6887,324.3407
13.5906,-36.8572,349.5644
16.1492,33.9922,333.9608
18.1030,-34.0770,351.8490
19.6644,26.7814,-298.8865
20.4536,-0.6367,-358.9101
21.3084,-36.0347,-183.1078
22.7641,37.6020,213.2799
25.3328,-23.5154,-153.1972
26.6923,20.9059,-49.7748
28.0673,-12.4169,410.7693
29.4458,-24.0398,48.8826
30.8267,12.4983,-222.8528
32.2000,-12.6663,431.8845
33.5881,-16.7928,-162.6226
