frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,769,347,767,509,92.844656,-0.707,0
1,0.01668,holding,,,,,,,1
2,0.03337,holding,,,,,,,1
3,0.05005,holding,,,,,,,1
4,0.06673,holding,,,,,,,1
5,0.08342,holding,,,,,,,1
6,0.1001,holding,,,,,,,1
7,0.11678,holding,,,,,,,1
8,0.13347,holding,,,,,,,1
9,0.15015,holding,,,,,,,1
10,0.16683,holding,,,,,,,1
11,0.18352,holding,,,,,,,1
12,0.2002,holding,,,,,,,1
13,0.21688,holding,,,,,,,1
14,0.23357,holding,,,,,,,1
15,0.25025,holding,,,,,,,1
16,0.26693,holding,,,,,,,1
17,0.28362,holding,,,,,,,1
18,0.3003,holding,,,,,,,1
19,0.31698,holding,,,,,,,1
20,0.33367,holding,,,,,,,1
21,0.35035,holding,,,,,,,1
22,0.36703,holding,,,,,,,1
23,0.38372,holding,,,,,,,1
24,0.4004,holding,,,,,,,1
25,0.41708,holding,,,,,,,1
26,0.43377,holding,,,,,,,1
27,0.45045,holding,,,,,,,1
28,0.46713,free_swing,770,347,769,511,92.827125,-0.349,0
29,0.48382,free_swing,770,347,768,510,92.827125,-0.703,0
30,0.5005,free_swing,772,350,769,513,91.746282,-1.054,0
31,0.51718,free_swing,772,351,768,513,91.397181,-1.414,0
32,0.53387,free_swing,771,350,768,513,91.756988,-1.054,0
33,0.55055,free_swing,772,350,767,513,91.746282,-1.757,0
34,0.56723,free_swing,770,348,766,511,92.474204,-1.406,0
35,0.58392,free_swing,770,347,767,510,92.827125,-1.054,0
36,0.6006,free_swing,772,350,767,513,91.746282,-1.757,0
37,0.61728,free_swing,771,350,766,512,91.756988,-1.768,0
38,0.63397,free_swing,772,350,765,512,91.746282,-2.474,0
39,0.65065,free_swing,771,350,765,513,91.756988,-2.108,0
40,0.66733,free_swing,771,350,765,512,91.756988,-2.121,0
41,0.68402,free_swing,771,350,765,513,91.756988,-2.108,0
42,0.7007,free_swing,771,350,764,513,91.756988,-2.459,0
43,0.71738,free_swing,771,349,764,512,92.108095,-2.459,0
44,0.73407,free_swing,771,350,764,513,91.756988,-2.459,0
45,0.75075,free_swing,771,350,764,513,91.756988,-2.459,0
46,0.76743,free_swing,771,350,764,513,91.756988,-2.459,0
47,0.78412,free_swing,771,350,765,513,91.756988,-2.108,0
48,0.8008,free_swing,771,350,765,513,91.756988,-2.108,0
49,0.81748,free_swing,771,350,764,513,91.756988,-2.459,0
50,0.83417,free_swing,771,351,765,514,91.405749,-2.108,0
51,0.85085,free_swing,771,351,765,514,91.405749,-2.108,0
52,0.86753,free_swing,771,351,766,514,91.405749,-1.757,0
53,0.88422,free_swing,771,352,766,516,91.054405,-1.746,0
54,0.9009,free_swing,771,354,766,517,90.351503,-1.757,0
55,0.91758,free_swing,771,359,767,522,88.594251,-1.406,0
56,0.93427,free_swing,771,365,767,529,86.489322,-1.397,0
57,0.95095,free_swing,770,373,767,537,83.659808,-1.048,0
58,0.96763,free_swing,769,383,768,547,80.134193,-0.349,0
59,0.98432,free_swing,766,393,769,558,76.476839,1.042,0
60,1.001,free_swing,762,406,770,571,71.676739,2.776,0
