stem,n_frames,dropout_pct,peak_om1,peak_om2,arm_dev_max,n_suspect,n_omega_cap,n_delta_omega,n_swap,verdict
2.45V_1Hz,2307,0.0,473.89,1158.69,3.85,0,0,0,0,PASS
2.4V_1Hz_1,2283,0.0,314.08,1133.35,3.2,0,0,0,0,PASS
2.4V_1Hz_2,2157,0.0,579.86,1166.25,3.35,0,0,0,0,PASS
2.5V_1Hz,2073,0.0,582.51,1243.12,4.82,1,0,1,0,WARN
2.6V_1Hz,2157,0.0,555.89,1268.61,4.47,1,0,1,0,WARN
2.8V_1Hz,2115,0.0,685.33,1306.01,4.26,9,0,9,0,WARN
3.2V_0.91Hz,4164,0.0,762.33,5274.88,243.82,3280,143,2179,0,FAIL
3.2V_0.92Hz,4041,0.0,755.21,3820.13,259.22,3132,135,2099,0,WARN
3.2V_0.93Hz,3783,0.0,698.54,3505.77,241.57,2886,113,1903,0,WARN
3.2V_0.94Hz,4338,0.0,964.76,5463.1,217.73,3309,186,1950,0,FAIL
3.2V_0.95Hz,4395,0.0,898.16,6842.94,219.21,3354,186,1938,0,FAIL
3.2V_0.96Hz,3936,0.0,947.08,5846.77,211.08,3076,168,1761,0,FAIL
3.2V_0.97Hz,5388,0.0,998.07,5433.97,221.84,4038,218,2414,0,FAIL
3.2V_0.98Hz,3966,0.0,820.99,5337.77,202.42,2492,128,1395,0,FAIL
3.2V_0.99Hz,3846,0.0,776.34,6199.88,218.24,2856,115,1387,0,FAIL
3.2V_0.9Hz,5460,0.0,789.73,3524.83,255.15,4505,178,2851,0,WARN
3.2V_1.00Hz,4365,0.0,932.52,5129.98,216.54,3176,152,1669,0,FAIL
3.2V_1.09Hz,2796,0.0,898.8,5551.32,218.55,2182,95,1221,0,FAIL
3.2V_1.15Hz,5466,0.0,869.38,6333.68,235.73,4559,161,2382,0,FAIL
3.2V_1.16Hz,5973,0.0,821.81,8488.15,234.78,5136,191,2548,0,FAIL
3.2V_1.17Hz,6120,0.0,828.0,6029.26,234.7,5336,207,2801,1,FAIL
3.2V_1.18Hz,7584,0.0,841.14,6051.77,248.02,6579,240,3598,2,FAIL
3.2V_1.19Hz,7833,0.0,798.06,5581.25,245.42,6828,247,3511,0,FAIL
3.2V_1.20Hz,5532,0.0,764.66,5901.76,236.42,4921,179,2482,1,FAIL
3.2V_1.21Hz,6072,0.0,739.99,6527.07,239.64,5215,150,2814,1,FAIL
3.2V_1.22Hz,7023,0.0,726.94,6539.68,249.94,6295,210,3437,0,FAIL
3.2V_1.23Hz,7230,0.0,783.5,7905.75,250.77,6616,283,3576,3,FAIL
