frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,free_swing,663,482,662,634,0.000,-0.377,0
1,0.01668,free_swing,663,482,662,634,0.000,-0.377,0
2,0.03337,free_swing,663,482,662,634,0.000,-0.377,0
3,0.05005,free_swing,663,482,662,634,0.000,-0.377,0
4,0.06673,free_swing,663,482,662,634,0.000,-0.377,0
5,0.08342,free_swing,663,482,662,634,0.000,-0.377,0
6,0.1001,free_swing,663,482,661,634,0.000,-0.754,0
7,0.11678,free_swing,663,482,661,634,0.000,-0.754,0
8,0.13347,free_swing,663,482,661,634,0.000,-0.754,0
9,0.15015,free_swing,663,482,661,634,0.000,-0.754,0
10,0.16683,free_swing,663,482,661,634,0.000,-0.754,0
11,0.18352,free_swing,663,482,661,634,0.000,-0.754,0
12,0.2002,free_swing,663,482,661,634,0.000,-0.754,0
13,0.21688,free_swing,663,482,661,634,0.000,-0.754,0
14,0.23357,free_swing,663,482,662,634,0.000,-0.377,0
15,0.25025,free_swing,663,482,661,634,0.000,-0.754,0
16,0.26693,free_swing,663,482,661,634,0.000,-0.754,0
17,0.28362,free_swing,663,482,662,634,0.000,-0.377,0
18,0.3003,free_swing,663,482,662,634,0.000,-0.377,0
19,0.31698,free_swing,663,482,662,634,0.000,-0.377,0
20,0.33367,free_swing,663,482,662,634,0.000,-0.377,0
21,0.35035,free_swing,662,482,661,634,-0.382,-0.377,0
22,0.36703,free_swing,662,482,662,634,-0.382,0.000,0
23,0.38372,free_swing,663,482,662,634,0.000,-0.377,0
24,0.4004,free_swing,663,482,661,634,0.000,-0.754,0
25,0.41708,free_swing,663,482,661,634,0.000,-0.754,0
26,0.43377,free_swing,663,482,662,634,0.000,-0.377,0
27,0.45045,free_swing,663,482,662,634,0.000,-0.377,0
28,0.46713,free_swing,663,482,662,634,0.000,-0.377,0
29,0.48382,free_swing,663,482,662,634,0.000,-0.377,0
30,0.5005,free_swing,663,482,662,634,0.000,-0.377,0
31,0.51718,free_swing,663,482,662,634,0.000,-0.377,0
32,0.53387,free_swing,663,482,661,634,0.000,-0.754,0
33,0.55055,free_swing,663,482,661,634,0.000,-0.754,0
34,0.56723,free_swing,663,482,661,634,0.000,-0.754,0
35,0.58392,free_swing,663,482,661,634,0.000,-0.754,0
36,0.6006,free_swing,662,482,661,634,-0.382,-0.377,0
37,0.61728,free_swing,663,482,662,634,0.000,-0.377,0
38,0.63397,free_swing,663,482,662,634,0.000,-0.377,0
39,0.65065,free_swing,663,482,662,634,0.000,-0.377,0
40,0.66733,free_swing,662,483,662,634,-0.379,0.000,0
41,0.68402,free_swing,661,483,663,634,-0.759,0.759,0
42,0.7007,free_swing,656,482,665,634,-2.672,3.389,0
43,0.71738,free_swing,651,482,667,633,-4.574,6.049,0
44,0.73407,free_swing,643,481,669,630,-7.645,9.898,0
45,0.75075,free_swing,635,479,670,627,-10.784,13.305,0
46,0.76743,free_swing,627,477,671,623,-13.943,16.771,0
47,0.78412,free_swing,620,476,670,619,-16.626,19.272,0
48,0.8008,free_swing,614,474,669,616,-19.038,21.173,0
49,0.81748,free_swing,611,473,666,616,-20.244,21.038,0
50,0.83417,free_swing,612,473,662,617,-19.885,19.148,0
51,0.85085,free_swing,615,474,656,622,-18.677,15.484,0
52,0.86753,free_swing,622,477,649,627,-15.789,10.204,0
53,0.88422,free_swing,630,479,640,630,-12.653,3.789,0
54,0.9009,free_swing,640,481,631,632,-8.775,-3.411,0
55,0.91758,free_swing,648,482,622,631,-5.711,-9.898,0
56,0.93427,free_swing,660,483,613,626,-1.138,-18.194,0
57,0.95095,free_swing,670,482,607,619,2.672,-24.696,0
58,0.96763,free_swing,681,481,603,609,6.888,-31.357,0
59,0.98432,free_swing,692,479,602,600,11.160,-36.642,0
60,1.001,free_swing,701,477,602,589,14.685,-41.474,0
61,1.01768,free_swing,711,475,604,581,18.555,-45.269,0
62,1.03437,free_swing,720,471,608,574,22.297,-47.397,0
63,1.05105,free_swing,728,468,614,568,25.545,-48.743,0
64,1.06773,free_swing,736,464,622,564,28.944,-48.743,0
65,1.08442,free_swing,744,459,631,561,32.530,-47.929,0
66,1.1011,free_swing,750,454,641,559,35.493,-46.071,0
67,1.11778,free_swing,757,449,653,561,38.779,-42.879,0
68,1.13447,free_swing,763,444,667,563,41.760,-38.894,0
69,1.15115,free_swing,768,440,682,565,44.193,-34.528,0
70,1.16783,free_swing,773,435,700,569,46.882,-28.580,0
71,1.18452,free_swing,777,430,718,571,49.316,-22.706,0
72,1.2012,free_swing,781,426,739,573,51.459,-15.945,0
73,1.21788,free_swing,783,423,760,573,52.826,-8.717,0
74,1.23457,free_swing,785,420,782,572,54.197,-1.131,0
75,1.25125,free_swing,787,418,804,569,55.257,6.423,0
76,1.26793,free_swing,788,416,827,564,56.099,14.763,0
77,1.28462,free_swing,787,417,848,557,55.570,23.543,0
78,1.3013,free_swing,785,420,869,547,54.197,33.481,0
79,1.31798,free_swing,782,425,887,534,51.992,43.929,0
80,1.33467,free_swing,775,432,899,518,48.240,55.257,0
81,1.35135,free_swing,768,439,905,499,44.459,66.349,0
82,1.36803,free_swing,760,446,907,481,40.394,76.608,0
83,1.38472,free_swing,752,453,902,465,36.336,85.426,0
84,1.4014,free_swing,742,459,894,450,31.884,93.389,0
85,1.41808,free_swing,732,465,883,439,27.420,99.770,0
86,1.43477,free_swing,721,470,870,432,22.797,104.307,0
87,1.45145,free_swing,708,475,855,425,17.468,108.785,0
