frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
0,0.0,free_swing,663,482,662,634,0.000,-0.377,0,0.00,-6.91,0,152.00,0.70,2500,0,0,0
1,0.01668,free_swing,663,482,662,634,0.000,-0.377,0,0.00,-0.18,0,152.00,0.70,2500,0,0,0
2,0.03337,free_swing,663,482,662,634,0.000,-0.377,0,0.00,2.78,0,152.00,0.70,2500,0,0,0
3,0.05005,free_swing,663,482,662,634,0.000,-0.377,0,0.00,1.97,0,152.00,0.70,2500,0,0,0
4,0.06673,free_swing,663,482,662,634,0.000,-0.377,0,0.00,-4.04,0,152.00,0.70,2500,0,0,0
5,0.08342,free_swing,663,482,662,634,0.000,-0.377,0,0.00,-9.24,0,152.00,0.70,2500,0,0,0
6,0.1001,free_swing,663,482,661,634,0.000,-0.754,0,0.00,-9.24,0,152.01,0.69,2500,0,0,0
7,0.11678,free_swing,663,482,661,634,0.000,-0.754,0,0.00,-4.04,0,152.01,0.69,2500,0,0,0
8,0.13347,free_swing,663,482,661,634,0.000,-0.754,0,0.00,1.97,0,152.01,0.69,2500,0,0,0
9,0.15015,free_swing,663,482,661,634,0.000,-0.754,0,0.00,0.00,0,152.01,0.69,2500,0,0,0
10,0.16683,free_swing,663,482,661,634,0.000,-0.754,0,0.00,0.00,0,152.01,0.69,2500,0,0,0
11,0.18352,free_swing,663,482,661,634,0.000,-0.754,0,0.00,-1.97,0,152.01,0.69,2500,0,0,0
12,0.2002,free_swing,663,482,661,634,0.000,-0.754,0,0.00,6.01,0,152.01,0.69,2500,0,0,0
13,0.21688,free_swing,663,482,661,634,0.000,-0.754,0,0.00,5.20,0,152.01,0.69,2500,0,0,0
14,0.23357,free_swing,663,482,662,634,0.000,-0.377,0,0.00,-1.97,0,152.00,0.70,2500,0,0,0
15,0.25025,free_swing,663,482,661,634,0.000,-0.754,0,0.00,-1.17,0,152.01,0.69,2500,0,0,0
16,0.26693,free_swing,663,482,661,634,0.000,-0.754,0,0.00,3.23,0,152.01,0.69,2500,0,0,0
17,0.28362,free_swing,663,482,662,634,0.000,-0.377,0,0.00,11.21,0,152.00,0.70,2500,0,0,0
18,0.3003,free_swing,663,482,662,634,0.000,-0.377,0,2.00,4.04,0,152.00,0.70,2500,0,0,0
19,0.31698,free_swing,663,482,662,634,0.000,-0.377,0,-4.09,-3.95,0,152.00,0.70,2500,0,0,0
20,0.33367,free_swing,663,482,662,634,0.000,-0.377,0,-11.36,6.01,0,152.00,0.70,2500,0,0,0
21,0.35035,free_swing,662,482,661,634,-0.382,-0.377,0,-5.27,7.18,0,152.00,0.70,2500,0,0,0
22,0.36703,free_swing,662,482,662,634,-0.382,0.000,0,5.27,-4.04,0,152.00,0.70,2500,0,0,0
23,0.38372,free_swing,663,482,662,634,0.000,-0.377,0,11.36,-16.41,0,152.00,0.70,2500,0,0,0
24,0.4004,free_swing,663,482,661,634,0.000,-0.754,0,4.09,-11.21,0,152.01,0.69,2500,0,0,0
25,0.41708,free_swing,663,482,661,634,0.000,-0.754,0,-2.00,7.18,0,152.01,0.69,2500,0,0,0
26,0.43377,free_swing,663,482,662,634,0.000,-0.377,0,0.00,11.21,0,152.00,0.70,2500,0,0,0
27,0.45045,free_swing,663,482,662,634,0.000,-0.377,0,0.00,4.04,0,152.00,0.70,2500,0,0,0
28,0.46713,free_swing,663,482,662,634,0.000,-0.377,0,0.00,-1.97,0,152.00,0.70,2500,0,0,0
29,0.48382,free_swing,663,482,662,634,0.000,-0.377,0,0.00,1.97,0,152.00,0.70,2500,0,0,0
30,0.5005,free_swing,663,482,662,634,0.000,-0.377,0,0.00,-4.04,0,152.00,0.70,2500,0,0,0
31,0.51718,free_swing,663,482,662,634,0.000,-0.377,0,0.00,-9.24,0,152.00,0.70,2500,0,0,0
32,0.53387,free_swing,663,482,661,634,0.000,-0.754,0,0.00,-9.24,0,152.01,0.69,2500,0,0,0
33,0.55055,free_swing,663,482,661,634,0.000,-0.754,0,2.00,-6.01,0,152.01,0.69,2500,0,0,0
34,0.56723,free_swing,663,482,661,634,0.000,-0.754,0,-6.09,6.01,0,152.01,0.69,2500,0,0,0
