frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
0,0.0,free_swing,585,494,603,573,-25.710,12.836,0,-22.97,729.50,1,81.02,43.41,2500,0,0,0
1,0.01668,free_swing,584,493,615,551,-26.136,28.124,0,-11.34,186.99,1,65.76,54.07,2500,1,0,0
2,0.03337,free_swing,584,493,607,561,-26.136,18.687,0,-3.96,-121.21,1,71.78,49.86,2500,1,0,0
3,0.05005,free_swing,584,493,608,556,-26.136,20.854,0,-0.84,-195.09,1,67.42,52.91,2500,0,0,0
4,0.06673,free_swing,584,493,603,585,-26.136,11.669,0,-7.03,292.92,1,93.94,34.39,2500,1,0,0
5,0.08342,free_swing,583,493,611,548,-26.423,26.980,0,-7.03,167.72,1,61.72,56.89,2500,0,0,0
6,0.1001,free_swing,583,493,614,551,-26.423,28.124,0,-4.57,33.95,1,65.76,54.07,2500,0,0,0
7,0.11678,free_swing,583,493,606,568,-26.423,17.049,0,3.07,-457.84,1,78.45,45.21,2500,1,0,0
8,0.13347,free_swing,583,493,607,565,-26.423,18.435,0,11.61,-261.99,1,75.89,46.99,2500,0,0,0
9,0.15015,free_swing,584,493,599,590,-26.136,8.791,0,10.99,175.38,1,98.15,31.45,2500,1,0,0
10,0.16683,free_swing,585,493,610,569,-25.849,18.208,0,3.07,239.46,1,80.01,44.12,2500,0,0,0
11,0.18352,free_swing,584,493,613,555,-26.136,25.067,0,-3.96,91.90,1,68.45,52.19,2500,0,0,0
12,0.2002,free_swing,584,493,604,553,-26.136,18.435,0,-9.15,-310.88,1,63.25,55.83,2500,1,0,0
13,0.21688,free_swing,584,493,604,572,-26.136,14.207,0,-2.46,273.13,1,81.49,43.08,2500,1,0,0
14,0.23357,free_swing,583,493,607,567,-26.423,17.969,0,0.74,-17.68,1,77.79,45.66,2500,1,0,0
15,0.25025,free_swing,584,493,617,534,-26.136,38.830,0,2.44,517.19,1,52.63,63.24,2500,1,0,0
16,0.26693,free_swing,584,493,596,595,-26.136,6.710,0,1.10,374.81,1,102.70,28.27,2500,0,0,0
17,0.28362,free_swing,584,492,614,511,-26.278,57.653,0,-4.22,-519.42,1,35.51,75.20,2500,1,0,0
18,0.3003,free_swing,584,492,611,558,-26.278,22.249,0,-4.57,162.39,1,71.31,50.19,2500,1,0,0
19,0.31698,free_swing,584,492,592,579,-26.278,5.254,0,0.26,-135.53,1,87.37,38.98,2500,1,0,0
20,0.33367,free_swing,583,493,617,516,-26.423,55.923,0,3.48,161.51,1,41.05,71.33,2500,1,0,0
21,0.35035,free_swing,584,493,606,555,-26.136,19.537,0,3.98,-579.59,1,65.79,54.05,2500,1,0,0
22,0.36703,free_swing,584,493,593,590,-26.136,5.301,0,8.41,-606.60,1,97.42,31.96,2500,0,0,0
23,0.38372,free_swing,584,493,602,572,-26.136,12.836,0,0.96,62.73,1,81.02,43.41,2500,1,0,0
24,0.4004,free_swing,585,493,605,541,-25.849,22.620,0,4.57,380.67,1,52.00,63.68,2500,1,0,0
25,0.41708,free_swing,584,493,588,604,-26.136,2.064,0,0.00,183.04,1,111.07,22.42,2500,0,0,0
26,0.43377,free_swing,585,493,613,531,-25.849,36.384,0,-4.57,-79.37,1,47.20,67.03,2500,1,0,0
