frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
0,0.0,free_swing,569,491,728,488,-30.591,91.081,0,-274.93,692.57,1,159.03,12.69,2500,0,0,0
1,0.01668,free_swing,553,489,716,458,-35.017,100.768,0,-266.12,259.40,1,165.92,17.57,2500,1,0,0
2,0.03337,free_swing,537,485,698,461,-39.472,98.479,0,-259.23,-36.79,1,162.78,15.35,2500,1,0,0
3,0.05005,free_swing,522,479,680,448,-43.807,101.101,0,-254.25,-195.98,1,161.01,14.10,2500,0,0,0
4,0.06673,free_swing,507,473,664,464,-47.891,93.281,0,-251.73,-103.99,1,157.26,11.44,2500,0,0,0
5,0.08342,free_swing,492,465,647,456,-52.125,93.323,0,-252.09,-202.02,1,155.26,10.02,2500,0,0,0
6,0.1001,free_swing,480,454,640,448,-56.310,92.148,0,-241.99,-292.14,1,160.11,13.46,2500,0,0,0
7,0.11678,free_swing,468,444,617,468,-60.129,80.850,0,-208.08,-602.62,1,150.92,6.94,2500,1,0,0
8,0.13347,free_swing,459,435,601,480,-63.211,72.417,0,-159.38,-586.39,0,148.96,5.55,2500,0,0,0
9,0.15015,free_swing,454,428,583,501,-65.329,60.495,0,-100.95,-514.08,0,148.22,5.03,2500,0,0,0
10,0.16683,free_swing,451,424,567,501,-66.541,56.424,0,-40.29,-556.60,0,139.23,1.34,2500,0,0,0
11,0.18352,free_swing,451,424,543,523,-66.541,42.901,0,42.56,-677.93,0,135.15,4.23,2500,0,0,0
12,0.2002,free_swing,454,428,527,542,-65.329,32.634,0,128.68,-565.80,0,135.37,4.07,2500,0,0,0
13,0.21688,free_swing,463,438,503,550,-62.076,19.654,0,211.19,-691.67,1,118.93,15.73,2500,0,0,0
14,0.23357,free_swing,474,449,496,532,-58.241,14.845,0,292.45,-1259.98,1,85.87,39.15,2500,1,0,0
15,0.25025,free_swing,490,463,456,560,-52.866,-19.316,0,347.40,-1614.42,1,102.79,27.16,2500,1,0,0
16,0.26693,free_swing,512,475,437,543,-46.559,-47.802,0,356.87,-1537.83,1,101.24,28.26,2500,0,0,0
17,0.28362,free_swing,531,484,422,537,-40.972,-64.069,0,300.84,-969.27,1,121.20,14.11,2500,1,0,0
18,0.3003,free_swing,547,488,423,512,-36.634,-79.046,0,236.01,-751.34,1,126.30,10.50,2500,1,0,0
