t_s,theta1_deg,omega1_deg_s
0.0239,-1.0759,-46.5328
1.6625,17.1258,309.5978
5.7595,22.4522,31.2557
10.7806,52.4359,518.7985
17.6975,36.7194,331.9506
21.6795,109.9915,11.4945
23.1170,-139.3196,279.4624
24.2133,-99.7441,-73.4489
24.6403,-165.6199,-270.8891
26.3348,155.1838,81.9372
29.6591,-9.5804,538.8708
30.8600,50.7129,550.7743
31.7975,-60.9090,-4.5597
33.4810,-63.1619,445.0449
35.8257,-63.7777,-189.9234
37.7472,31.7575,69.9125
42.4377,45.4616,526.2377
43.2928,172.5520,130.8028
45.7672,65.0500,328.6228
