frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
0,0.0,free_swing,659,482,656,633,-1.528,-1.138,0,-0.00,0.00,0,151.03,0.68,2500,0,0,0
1,0.01668,free_swing,659,482,656,633,-1.528,-1.138,0,0.00,0.00,0,151.03,0.68,2500,0,0,0
2,0.03337,free_swing,659,482,656,633,-1.528,-1.138,0,0.00,-0.00,0,151.03,0.68,2500,0,0,0
3,0.05005,free_swing,659,482,656,633,-1.528,-1.138,0,0.00,0.00,0,151.03,0.68,2500,0,0,0
4,0.06673,free_swing,659,482,656,633,-1.528,-1.138,0,0.00,0.00,0,151.03,0.68,2500,0,0,0
5,0.08342,free_swing,659,482,656,633,-1.528,-1.138,0,0.00,0.00,0,151.03,0.68,2500,0,0,0
6,0.1001,free_swing,659,482,656,633,-1.528,-1.138,0,0.00,0.04,0,151.03,0.68,2500,0,0,0
7,0.11678,free_swing,659,482,656,633,-1.528,-1.138,0,0.00,-0.09,0,151.03,0.68,2500,0,0,0
8,0.13347,free_swing,659,482,656,633,-1.528,-1.138,0,-2.00,1.80,0,151.03,0.68,2500,0,0,0
9,0.15015,free_swing,659,482,656,632,-1.528,-1.146,0,6.09,-6.28,0,150.03,1.34,2500,0,0,0
10,0.16683,free_swing,659,482,656,632,-1.528,-1.146,0,5.27,-5.36,0,150.03,1.34,2500,0,0,0
11,0.18352,free_swing,660,482,656,632,-1.146,-1.528,0,-2.00,0.00,0,150.05,1.33,2500,0,0,0
12,0.2002,free_swing,659,482,656,632,-1.528,-1.146,0,0.82,3.37,0,150.03,1.34,2500,0,0,0
13,0.21688,free_swing,659,482,656,632,-1.528,-1.146,0,-0.82,10.34,0,150.03,1.34,2500,0,0,0
14,0.23357,free_swing,660,482,657,633,-1.146,-1.138,0,2.00,7.48,0,151.03,0.68,2500,0,0,0
15,0.25025,free_swing,659,482,657,633,-1.528,-0.759,0,-5.27,9.37,0,151.01,0.69,2500,0,0,0
16,0.26693,free_swing,659,482,657,633,-1.528,-0.759,0,-8.09,6.00,0,151.01,0.69,2500,0,0,0
17,0.28362,free_swing,659,482,657,633,-1.528,-0.759,0,8.09,-6.04,0,151.01,0.69,2500,0,0,0
18,0.3003,free_swing,659,482,657,633,-1.528,-0.759,0,5.27,-11.24,0,151.01,0.69,2500,0,0,0
19,0.31698,free_swing,660,482,657,633,-1.146,-1.138,0,0.00,-3.33,0,151.03,0.68,2500,0,0,0
20,0.33367,free_swing,659,482,656,633,-1.528,-1.138,0,-5.27,-0.88,0,151.03,0.68,2500,0,0,0
21,0.35035,free_swing,659,482,657,632,-1.528,-0.764,0,-6.09,6.04,0,150.01,1.35,2500,0,0,0
22,0.36703,free_swing,659,482,656,633,-1.528,-1.138,0,2.00,4.13,0,151.03,0.68,2500,0,0,0
23,0.38372,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,3.33,0,151.01,0.69,2500,0,0,0
24,0.4004,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,6.01,0,151.01,0.69,2500,0,0,0
25,0.41708,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,-1.98,0,151.01,0.69,2500,0,0,0
26,0.43377,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
27,0.45045,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
28,0.46713,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
29,0.48382,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
30,0.5005,free_swing,659,482,657,633,-1.528,-0.759,0,-2.00,1.98,0,151.01,0.69,2500,0,0,0
31,0.51718,free_swing,659,482,657,633,-1.528,-0.759,0,6.09,-6.04,0,151.01,0.69,2500,0,0,0
32,0.53387,free_swing,659,482,657,633,-1.528,-0.759,0,3.27,-3.25,0,151.01,0.69,2500,0,0,0
33,0.55055,free_swing,660,482,657,633,-1.146,-1.138,0,6.09,-6.04,0,151.03,0.68,2500,0,0,0
34,0.56723,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
35,0.58392,free_swing,660,482,657,633,-1.146,-1.138,0,-6.09,6.04,0,151.03,0.68,2500,0,0,0
36,0.6006,free_swing,659,482,657,633,-1.528,-0.759,0,-3.27,3.25,0,151.01,0.69,2500,0,0,0
37,0.61728,free_swing,659,482,657,633,-1.528,-0.759,0,-6.09,6.04,0,151.01,0.69,2500,0,0,0
38,0.63397,free_swing,659,482,657,633,-1.528,-0.759,0,2.00,-1.98,0,151.01,0.69,2500,0,0,0
39,0.65065,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
40,0.66733,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
41,0.68402,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
42,0.7007,free_swing,659,482,657,633,-1.528,-0.759,0,0.05,-0.03,0,151.01,0.69,2500,0,0,0
43,0.71738,free_swing,659,482,657,633,-1.528,-0.759,0,-0.16,0.08,0,151.01,0.69,2500,0,0,0
44,0.73407,free_swing,659,482,657,633,-1.528,-0.759,0,-0.14,0.07,0,151.01,0.69,2500,0,0,0
45,0.75075,free_swing,659,481,657,633,-1.538,-0.754,0,0.00,0.00,0,152.01,0.04,2500,0,0,0
46,0.76743,free_swing,659,482,657,633,-1.528,-0.759,0,0.14,-0.07,0,151.01,0.69,2500,0,0,0
47,0.78412,free_swing,659,482,657,633,-1.528,-0.759,0,0.21,-0.11,0,151.01,0.69,2500,0,0,0
48,0.8008,free_swing,659,482,657,633,-1.528,-0.759,0,-0.21,0.11,0,151.01,0.69,2500,0,0,0
49,0.81748,free_swing,659,482,657,633,-1.528,-0.759,0,-0.14,0.07,0,151.01,0.69,2500,0,0,0
50,0.83417,free_swing,659,481,657,633,-1.538,-0.754,0,0.00,0.00,0,152.01,0.04,2500,0,0,0
51,0.85085,free_swing,659,482,657,633,-1.528,-0.759,0,0.19,-0.10,0,151.01,0.69,2500,0,0,0
52,0.86753,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
53,0.88422,free_swing,659,482,657,633,-1.528,-0.759,0,-0.19,0.10,0,151.01,0.69,2500,0,0,0
54,0.9009,free_swing,659,481,657,633,-1.538,-0.754,0,0.05,-0.03,0,152.01,0.04,2500,0,0,0
55,0.91758,free_swing,659,482,657,633,-1.528,-0.759,0,-0.02,0.01,0,151.01,0.69,2500,0,0,0
56,0.93427,free_swing,659,482,657,633,-1.528,-0.759,0,0.02,-0.01,0,151.01,0.69,2500,0,0,0
57,0.95095,free_swing,659,481,657,633,-1.538,-0.754,0,0.00,0.00,0,152.01,0.04,2500,0,0,0
58,0.96763,free_swing,659,482,657,633,-1.528,-0.759,0,-2.02,1.99,0,151.01,0.69,2500,0,0,0
59,0.98432,free_swing,659,482,657,633,-1.528,-0.759,0,6.11,-6.05,0,151.01,0.69,2500,0,0,0
60,1.001,free_swing,659,481,657,633,-1.538,-0.754,0,5.27,-5.23,0,152.01,0.04,2500,0,0,0
61,1.01768,free_swing,660,482,657,633,-1.146,-1.138,0,-0.02,0.01,0,151.03,0.68,2500,0,0,0
62,1.03437,free_swing,659,482,657,633,-1.528,-0.759,0,-7.21,7.17,0,151.01,0.69,2500,0,0,0
63,1.05105,free_swing,659,481,657,633,-1.538,-0.754,0,-0.11,0.11,0,152.01,0.04,2500,0,0,0
64,1.06773,free_swing,659,482,657,633,-1.528,-0.759,0,7.15,-7.11,0,151.01,0.69,2500,0,0,0
65,1.08442,free_swing,660,481,657,633,-1.153,-1.131,0,-1.98,1.97,0,152.03,0.03,2500,0,0,0
66,1.1011,free_swing,659,481,657,633,-1.538,-0.754,0,0.86,-0.88,0,152.01,0.04,2500,0,0,0
67,1.11778,free_swing,659,482,657,633,-1.528,-0.759,0,-0.57,0.63,0,151.01,0.69,2500,0,0,0
68,1.13447,free_swing,660,482,657,633,-1.146,-1.138,0,2.17,-2.05,0,151.03,0.68,2500,0,0,0
69,1.15115,free_swing,659,482,657,633,-1.528,-0.759,0,-5.48,5.34,0,151.01,0.69,2500,0,0,0
70,1.16783,free_swing,659,482,657,633,-1.528,-0.759,0,-6.17,6.08,0,151.01,0.69,2500,0,0,0
71,1.18452,free_swing,659,481,657,633,-1.538,-0.754,0,1.89,-1.93,0,152.01,0.04,2500,0,0,0
72,1.2012,free_swing,659,482,657,633,-1.528,-0.759,0,-0.11,0.05,0,151.01,0.69,2500,0,0,0
73,1.21788,free_swing,659,481,657,633,-1.538,-0.754,0,-2.14,2.05,0,152.01,0.04,2500,0,0,0
74,1.23457,free_swing,659,481,657,633,-1.538,-0.754,0,6.09,-6.04,0,152.01,0.04,2500,0,0,0
75,1.25125,free_swing,659,481,657,633,-1.538,-0.754,0,5.41,-5.30,0,152.01,0.04,2500,0,0,0
76,1.26793,free_swing,660,482,657,633,-1.146,-1.138,0,0.16,-0.08,0,151.03,0.68,2500,0,0,0
77,1.28462,free_swing,659,481,657,633,-1.538,-0.754,0,-5.32,5.26,0,152.01,0.04,2500,0,0,0
78,1.3013,free_swing,659,482,657,633,-1.528,-0.759,0,-6.14,6.07,0,151.01,0.69,2500,0,0,0
79,1.31798,free_swing,659,481,657,633,-1.538,-0.754,0,2.16,-2.06,0,152.01,0.04,2500,0,0,0
80,1.33467,free_swing,659,482,657,633,-1.528,-0.759,0,0.14,-0.07,0,151.01,0.69,2500,0,0,0
81,1.35135,free_swing,659,482,657,633,-1.528,-0.759,0,0.00,0.00,0,151.01,0.69,2500,0,0,0
82,1.36803,free_swing,659,482,657,633,-1.528,-0.759,0,3.88,-3.88,0,151.01,0.69,2500,0,0,0
83,1.38472,free_swing,659,481,657,633,-1.538,-0.754,0,-4.31,2.21,0,152.01,0.04,2500,0,0,0
84,1.4014,free_swing,659,482,657,633,-1.528,-0.759,0,-19.12,20.68,0,151.01,0.69,2500,0,0,0
85,1.41808,free_swing,657,481,657,633,-2.306,0.000,0,-46.11,54.56,0,152.00,0.05,2500,0,0,0
86,1.43477,free_swing,655,481,658,633,-3.073,1.131,0,-68.84,91.03,0,152.03,0.03,2500,0,0,0
87,1.45145,free_swing,651,481,659,632,-4.604,3.033,0,-87.41,124.02,0,151.21,0.56,2500,0,0,0
88,1.46813,free_swing,647,481,661,631,-6.129,5.332,0,-123.93,167.84,0,150.65,0.93,2500,0,0,0
89,1.48482,free_swing,641,480,663,629,-8.455,8.399,0,-149.90,193.62,0,150.62,0.96,2500,0,0,0
90,1.5015,free_swing,633,478,665,626,-11.611,12.200,0,-206.89,242.43,0,151.42,0.43,2500,0,0,0
91,1.51818,free_swing,625,476,666,621,-14.783,15.789,0,-248.53,267.72,0,150.69,0.91,2500,0,0,0
92,1.53487,free_swing,612,473,666,613,-19.885,21.092,0,-257.02,236.43,0,150.05,1.33,2500,0,0,0
93,1.55155,free_swing,603,469,665,607,-23.651,24.193,0,-223.46,165.74,0,151.29,0.51,2500,0,0,0
94,1.56823,free_swing,596,465,662,602,-26.737,25.723,0,-151.53,67.75,0,152.07,0.00,2500,0,0,0
95,1.58492,free_swing,591,463,659,599,-28.794,26.565,0,-88.07,-13.29,0,152.05,0.01,2500,0,0,0
96,1.6016,free_swing,589,462,655,600,-29.650,25.560,0,-11.03,-106.29,0,152.97,0.59,2500,0,0,0
97,1.61828,free_swing,590,463,649,604,-29.129,22.706,0,61.36,-202.74,0,152.85,0.51,2500,0,0,0
98,1.63497,free_swing,594,465,643,610,-27.420,18.672,0,148.89,-305.97,0,153.06,0.65,2500,0,0,0
99,1.65165,free_swing,601,468,635,617,-24.507,12.854,0,229.42,-416.94,0,152.83,0.50,2500,0,0,0
100,1.66833,free_swing,613,473,625,624,-19.525,4.544,0,310.70,-538.38,0,151.48,0.39,2500,0,0,0
101,1.68502,free_swing,626,478,613,628,-14.221,-4.953,0,381.96,-643.72,0,150.56,0.99,2500,0,0,0
102,1.7017,free_swing,644,481,602,625,-7.267,-16.260,0,416.53,-673.42,0,150.00,1.36,2500,0,0,0
103,1.71838,free_swing,663,482,593,615,0.000,-27.759,0,419.25,-627.17,0,150.30,1.17,2500,0,0,0
104,1.73507,free_swing,680,480,590,600,6.553,-36.870,0,395.50,-525.71,0,150.00,1.36,2500,0,0,0
105,1.75175,free_swing,696,477,590,584,12.821,-44.731,0,368.67,-415.10,0,150.62,0.96,2500,0,0,0
106,1.76843,free_swing,712,473,593,569,19.163,-51.106,0,349.20,-325.66,0,152.90,0.54,2500,0,0,0
107,1.78512,free_swing,725,468,599,555,24.507,-55.376,0,334.74,-226.19,0,153.12,0.69,2500,0,0,0
108,1.8018,free_swing,738,461,607,541,30.174,-58.588,0,339.54,-123.85,0,153.50,0.94,2500,0,0,0
109,1.81848,free_swing,751,453,619,530,36.027,-59.744,0,363.63,-25.12,0,152.82,0.49,2500,0,0,0
110,1.83517,free_swing,764,443,632,522,42.299,-59.100,0,384.08,91.65,0,153.83,1.16,2500,0,0,0
111,1.85185,free_swing,776,431,647,515,48.778,-56.929,0,396.85,198.52,0,153.94,1.23,2500,0,0,0
112,1.86853,free_swing,787,417,665,511,55.570,-52.386,0,404.42,310.71,0,154.01,1.28,2500,0,0,0
113,1.88522,free_swing,797,403,685,509,62.083,-46.577,0,388.59,414.00,0,154.21,1.41,2500,0,0,0
114,1.9019,free_swing,804,387,707,508,68.691,-38.718,0,366.41,505.17,0,155.08,1.98,2500,0,0,0
115,1.91858,free_swing,808,373,732,506,74.211,-29.745,0,353.73,585.21,0,153.18,0.73,2500,0,0,0
116,1.93527,free_swing,812,358,761,503,80.102,-19.378,0,326.97,632.93,0,153.71,1.08,2500,0,0,0
117,1.95195,free_swing,814,344,791,497,85.456,-8.549,0,284.47,662.34,0,154.72,1.74,2500,0,0,0
118,1.96863,free_swing,816,334,823,488,89.251,2.603,0,195.54,682.92,0,154.16,1.37,2500,0,0,0
119,1.98532,free_swing,816,327,854,477,91.872,14.216,0,91.63,712.48,0,154.74,1.76,2500,0,0,0
120,2.002,free_swing,816,326,885,464,92.246,26.565,0,-27.60,767.15,0,154.29,1.46,2500,0,0,0
121,2.01868,free_swing,816,330,914,448,90.749,39.710,0,-180.00,805.02,0,153.39,0.87,2500,0,0,0
122,2.03537,free_swing,815,341,939,429,86.611,54.638,0,-339.80,1023.27,1,152.05,0.01,2500,1,0,0
123,2.05205,free_swing,812,359,948,407,79.729,70.560,0,-432.69,1125.60,0,144.22,5.16,2500,0,0,0
124,2.06873,free_swing,806,379,949,368,71.806,94.399,0,-435.74,1056.42,0,143.42,5.69,2500,0,0,0
125,2.08542,free_swing,799,394,943,351,65.493,106.626,0,-402.32,883.67,0,150.28,1.17,2500,0,0,0
126,2.1021,free_swing,791,409,922,333,58.970,120.120,0,-377.56,698.12,0,151.45,0.41,2500,0,0,0
127,2.11878,free_swing,782,424,896,320,52.292,132.374,0,-389.46,666.69,0,154.31,1.47,2500,0,0,0
128,2.13547,free_swing,771,436,866,315,46.081,141.864,0,-409.95,521.36,0,153.84,1.16,2500,0,0,0
129,2.15215,free_swing,756,448,834,315,38.720,149.610,0,-450.09,407.89,0,154.18,1.39,2500,0,0,0
130,2.16883,free_swing,739,460,804,319,30.700,155.251,0,-507.23,288.01,0,155.26,2.10,2500,0,0,0
131,2.18552,free_swing,719,471,773,327,21.943,159.444,0,-563.78,137.55,0,153.79,1.13,2500,0,0,0
132,2.2022,free_swing,694,478,747,333,11.988,159.922,0,-620.22,-27.61,0,154.38,1.52,2500,0,0,0
133,2.21888,free_swing,666,482,723,339,1.146,158.268,0,-664.67,-181.85,0,153.94,1.23,2500,0,0,0
134,2.23557,free_swing,637,480,704,341,-9.964,154.265,0,-680.40,-285.78,0,154.30,1.47,2500,0,0,0
135,2.25225,free_swing,608,472,688,340,-21.448,148.782,0,-667.89,-356.75,0,154.35,1.50,2500,0,0,0
136,2.26893,free_swing,582,460,676,337,-32.326,142.612,0,-641.73,-374.34,0,154.81,1.80,2500,0,0,0
137,2.28562,free_swing,561,443,667,332,-42.580,136.320,0,-602.08,-362.48,0,153.48,0.93,2500,0,0,0
138,2.3023,free_swing,543,424,660,324,-52.524,130.521,0,-565.03,-355.00,0,153.91,1.21,2500,0,0,0
139,2.31898,free_swing,530,404,656,317,-61.571,124.624,0,-541.46,-370.49,0,153.12,0.69,2500,0,0,0
140,2.33567,free_swing,520,383,655,311,-70.372,118.072,0,-532.70,-407.60,0,153.00,0.61,2500,0,0,0
141,2.35235,free_swing,513,360,656,305,-79.426,111.038,0,-533.04,-436.73,0,153.21,0.75,2500,0,0,0
142,2.36903,free_swing,509,337,658,301,-88.140,103.583,0,-511.69,-446.05,0,153.29,0.80,2500,0,0,0
143,2.38572,free_swing,510,315,663,298,-96.340,96.340,0,-455.15,-414.80,0,153.94,1.23,2500,0,0,0
144,2.4024,free_swing,512,296,666,297,-103.410,89.628,0,-393.41,-367.60,0,154.00,1.27,2500,0,0,0
145,2.41908,free_swing,515,281,670,296,-109.014,84.472,0,-304.45,-299.31,0,155.72,2.40,2500,0,0,0
146,2.43577,free_swing,520,269,673,297,-113.776,79.629,0,-200.97,-219.44,0,155.54,2.28,2500,0,0,0
147,2.45245,free_swing,522,264,674,299,-115.747,77.033,0,-91.86,-132.69,0,155.98,2.57,2500,0,0,0
148,2.46913,free_swing,522,262,674,301,-116.402,75.610,0,29.07,-17.37,0,156.92,3.19,2500,0,0,0
149,2.48582,free_swing,521,265,673,303,-115.259,75.964,0,134.56,78.97,0,156.68,3.03,2500,0,0,0
150,2.5025,free_swing,518,274,670,305,-111.801,78.473,0,234.02,164.25,0,155.13,2.01,2500,0,0,0
151,2.51918,free_swing,515,286,668,309,-107.266,81.451,0,321.49,224.69,0,154.72,1.74,2500,0,0,0
152,2.53587,free_swing,511,301,665,313,-101.527,85.544,0,387.14,261.15,0,154.47,1.58,2500,0,0,0
153,2.55255,free_swing,509,321,664,320,-94.086,90.370,0,462.43,295.50,0,155.00,1.93,2500,0,0,0
154,2.56923,free_swing,510,342,664,328,-86.260,95.194,0,526.79,309.02,0,154.64,1.69,2500,0,0,0
155,2.58592,free_swing,515,367,666,339,-76.695,100.505,0,579.01,309.64,0,153.57,0.99,2500,0,0,0
156,2.6026,free_swing,523,392,671,351,-66.801,105.484,0,618.26,289.19,0,153.57,0.99,2500,0,0,0
157,2.61928,free_swing,537,416,681,364,-56.310,109.855,0,631.23,225.86,0,153.10,0.68,2500,0,0,0
158,2.63597,free_swing,555,437,695,378,-45.807,112.852,0,628.68,109.34,0,151.92,0.10,2500,0,0,0
159,2.65265,free_swing,576,455,716,394,-35.272,113.543,0,614.39,-45.39,0,152.71,0.42,2500,0,0,0
160,2.66933,free_swing,599,467,741,412,-25.364,111.173,0,597.78,-187.90,0,152.28,0.14,2500,0,0,0
161,2.68602,free_swing,624,476,771,432,-15.154,106.663,0,611.77,-340.88,0,153.44,0.90,2500,0,0,0
162,2.7027,free_swing,650,482,803,455,-4.953,100.008,0,664.73,-547.09,1,155.36,2.17,2500,1,0,0
163,2.71938,free_swing,681,480,834,484,6.934,88.502,0,718.63,-809.40,1,153.05,0.65,2500,1,0,0
164,2.73607,free_swing,713,472,857,518,19.654,72.284,0,813.11,-1160.11,1,151.17,0.59,2500,1,0,0
165,2.75275,free_swing,745,458,863,551,33.056,51.757,0,895.86,-1412.13,1,150.24,1.20,2500,1,0,0
166,2.76943,free_swing,777,431,840,563,49.028,25.514,0,860.54,-1367.88,0,146.26,3.82,2500,0,0,0
167,2.78612,free_swing,797,401,809,551,62.755,4.574,0,692.17,-1103.14,1,150.48,1.05,2500,1,0,0
168,2.8028,free_swing,805,380,781,530,71.323,-9.090,0,483.10,-805.36,1,151.91,0.11,2500,1,0,0
169,2.81948,free_swing,811,363,753,504,78.170,-22.360,0,346.73,-707.79,0,152.46,0.26,2500,0,0,0
170,2.83617,free_swing,814,349,728,477,83.577,-33.896,0,257.20,-721.77,0,154.21,1.41,2500,0,0,0
171,2.85285,free_swing,815,341,703,448,86.611,-46.308,0,121.76,-756.77,0,154.90,1.86,2500,0,0,0
172,2.86953,free_swing,815,338,682,416,87.739,-59.610,0,-24.36,-844.78,0,154.18,1.39,2500,0,0,0
173,2.88622,free_swing,815,343,667,384,85.861,-74.516,0,-158.26,-955.65,0,153.57,0.99,2500,0,0,0
174,2.9029,free_swing,814,352,662,349,82.455,-91.131,0,-261.34,-1047.95,0,152.03,0.03,2500,0,0,0
175,2.91958,free_swing,811,365,668,314,77.430,-109.628,0,-311.63,-1074.30,0,151.82,0.16,2500,0,0,0
176,2.93627,free_swing,807,379,686,287,71.924,-127.247,0,-351.86,-1070.63,0,152.00,0.04,2500,0,0,0
177,2.95295,free_swing,801,393,713,269,66.153,-144.638,0,-373.51,-1070.85,0,152.05,0.01,2500,0,0,0
178,2.96963,free_swing,792,408,748,263,59.496,-163.120,0,-378.84,-1101.61,0,151.53,0.36,2500,0,0,0
179,2.98632,free_swing,783,421,787,268,53.437,178.502,0,-354.01,-1090.40,0,153.05,0.65,2500,0,0,0
180,3.003,free_swing,774,432,826,289,47.984,160.017,0,-304.20,-1107.58,0,152.16,0.06,2500,0,0,0
181,3.01968,free_swing,766,441,860,320,43.379,142.158,0,-247.58,-1140.51,0,153.22,0.76,2500,0,0,0
182,3.03637,free_swing,759,447,889,369,39.855,120.964,0,-154.59,-1273.31,0,151.60,0.31,2500,0,0,0
183,3.05305,free_swing,755,450,903,424,37.942,99.964,0,-35.48,-1503.52,1,150.27,1.19,2500,1,0,0
184,3.06973,free_swing,755,449,899,494,38.179,72.646,0,17.33,-1623.05,0,150.87,0.79,2500,0,0,0
185,3.08642,free_swing,757,449,862,556,38.779,44.459,0,-48.70,-1509.33,0,149.91,1.42,2500,0,0,0
186,3.1031,free_swing,752,453,810,594,36.336,22.360,0,-201.04,-1214.44,1,152.46,0.26,2500,1,0,0
187,3.11978,free_swing,741,459,756,611,31.557,5.636,0,-348.24,-982.10,1,152.74,0.44,2500,1,0,0
188,3.13647,free_swing,726,468,698,619,24.855,-10.505,0,-450.03,-844.73,0,153.57,0.99,2500,0,0,0
189,3.15315,free_swing,706,475,644,617,16.736,-23.587,0,-529.11,-710.09,0,154.95,1.89,2500,0,0,0
190,3.16983,free_swing,682,480,597,608,7.316,-33.587,0,-583.20,-533.17,0,153.65,1.04,2500,0,0,0
191,3.18652,free_swing,656,481,554,596,-2.690,-41.572,0,-621.19,-383.35,0,153.72,1.08,2500,0,0,0
192,3.2032,free_swing,629,478,518,583,-13.109,-46.591,0,-637.00,-241.74,0,152.79,0.48,2500,0,0,0
193,3.21988,free_swing,602,470,486,568,-23.847,-49.808,0,-623.89,-136.92,0,151.86,0.14,2500,0,0,0
194,3.23657,free_swing,579,457,460,552,-33.901,-51.399,0,-578.13,-100.37,0,152.27,0.13,2500,0,0,0
195,3.25325,free_swing,560,443,439,533,-42.859,-53.358,0,-505.09,-128.22,0,150.80,0.83,2500,0,0,0
196,3.26993,free_swing,546,428,420,513,-50.631,-55.996,0,-417.12,-204.54,0,151.99,0.05,2500,0,0,0
197,3.28662,free_swing,537,415,405,490,-56.626,-60.396,0,-300.01,-307.26,0,151.82,0.16,2500,0,0,0
198,3.3033,free_swing,532,406,392,467,-60.539,-66.457,0,-136.14,-458.23,0,152.71,0.42,2500,0,0,0
199,3.31998,free_swing,530,404,383,443,-61.571,-75.141,0,18.56,-598.63,0,152.09,0.01,2500,0,0,0
200,3.33667,free_swing,533,408,381,417,-59.689,-86.611,0,122.90,-684.86,0,152.27,0.13,2500,0,0,0
201,3.35335,free_swing,536,413,385,392,-57.470,-97.918,0,169.72,-686.59,0,152.45,0.25,2500,0,0,0
202,3.37003,free_swing,541,419,396,369,-54.507,-109.026,0,192.25,-645.60,0,153.38,0.86,2500,0,0,0
203,3.38672,free_swing,546,427,412,352,-50.925,-119.236,0,230.47,-585.64,0,153.56,0.98,2500,0,0,0
204,3.4034,free_swing,553,435,433,339,-46.882,-128.660,0,266.17,-507.12,0,153.67,1.06,2500,0,0,0
205,3.42008,free_swing,562,444,455,333,-42.044,-136.051,0,302.67,-426.64,0,154.18,1.39,2500,0,0,0
206,3.43677,free_swing,573,453,479,330,-36.642,-142.612,0,348.38,-347.67,0,154.81,1.80,2500,0,0,0
