t_s,theta1_deg,omega1_deg_s
5.0000,-26.4653,185.3135
6.0000,-25.1300,191.9478
7.0000,-25.9895,182.9104
8.0000,-30.3560,167.1426
9.0000,-27.3670,196.8116
10.0000,-26.4280,148.4818
11.0000,-22.0822,196.1467
12.0000,-22.9517,210.7671
13.0000,-29.0066,193.7038
14.0000,-29.2072,192.7477
15.0000,-29.9181,174.7756
16.0000,-29.8015,176.1630
17.0000,-28.4536,146.5935
18.0000,-24.9343,146.0925
19.0000,-23.5163,165.9346
20.0000,-27.6998,189.6175
21.0000,-26.5115,212.0367
22.0000,-29.0346,166.6787
23.0000,-27.8589,200.4886
24.0000,-30.2322,168.5630
25.0000,-27.3925,194.6075
26.0000,-24.9854,203.8564
27.0000,-29.5475,183.6952
28.0000,-29.8276,180.3538
29.0000,-30.6239,154.8270
30.0000,-31.8974,160.7653
31.0000,-26.5220,216.4851
32.0000,-25.7572,199.9120
33.0000,-25.4782,211.3645
34.0000,-26.5244,212.6677
35.0000,-27.8613,207.6926
36.0000,-28.4673,153.4628
