frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,driven,659.603,484.962,658.130,637.955,-1.272,-0.552,0
1,0.01668,driven,659.603,484.962,658.130,637.955,-1.272,-0.552,0
2,0.03337,driven,659.603,484.962,658.130,637.955,-1.272,-0.552,0
3,0.05005,driven,659.603,484.962,658.248,637.956,-1.272,-0.508,0
4,0.06673,driven,659.708,484.965,658.248,637.958,-1.233,-0.547,0
5,0.08342,driven,659.708,484.965,658.248,637.958,-1.233,-0.547,0
6,0.1001,driven,659.708,484.965,658.248,637.958,-1.233,-0.547,0
7,0.11678,driven,659.708,484.965,658.248,637.958,-1.233,-0.547,0
8,0.13347,driven,659.708,484.965,658.248,637.958,-1.233,-0.547,0
9,0.15015,driven,659.740,484.965,658.300,637.958,-1.221,-0.539,0
10,0.16683,driven,659.740,484.965,658.351,637.959,-1.221,-0.520,0
11,0.18352,driven,659.740,484.965,658.351,637.959,-1.221,-0.520,0
12,0.2002,driven,659.640,484.963,658.309,637.957,-1.258,-0.499,0
13,0.21688,driven,659.522,484.960,658.303,637.956,-1.302,-0.457,0
14,0.23357,driven,659.522,484.960,658.303,637.956,-1.302,-0.457,0
15,0.25025,driven,659.587,484.962,658.043,637.954,-1.278,-0.579,0
16,0.26693,driven,659.565,484.961,658.043,637.954,-1.286,-0.570,0
17,0.28362,driven,659.587,484.962,658.043,637.954,-1.278,-0.579,0
18,0.3003,driven,659.587,484.962,658.185,637.956,-1.278,-0.525,0
19,0.31698,driven,659.688,484.964,658.185,637.957,-1.240,-0.563,0
20,0.33367,driven,659.640,484.963,658.185,637.956,-1.259,-0.545,0
21,0.35035,driven,659.640,484.963,657.922,637.953,-1.259,-0.643,0
22,0.36703,driven,659.640,484.963,657.922,637.953,-1.259,-0.643,0
23,0.38372,driven,659.640,484.963,657.917,637.953,-1.259,-0.645,0
24,0.4004,driven,659.633,484.963,657.922,637.953,-1.261,-0.641,0
25,0.41708,driven,659.624,484.963,658.431,637.958,-1.264,-0.447,0
26,0.43377,driven,659.624,484.963,658.431,637.958,-1.264,-0.447,0
27,0.45045,driven,659.624,484.963,658.418,637.958,-1.264,-0.452,0
28,0.46713,driven,659.624,484.963,658.418,637.958,-1.264,-0.452,0
29,0.48382,driven,659.585,484.962,658.331,637.957,-1.279,-0.470,0
30,0.5005,driven,659.317,484.956,658.001,637.950,-1.379,-0.493,0
31,0.51718,driven,659.303,484.955,657.982,637.950,-1.385,-0.495,0
32,0.53387,driven,659.303,484.955,657.976,637.950,-1.385,-0.497,0
33,0.55055,driven,659.303,484.955,657.976,637.950,-1.385,-0.497,0
34,0.56723,driven,659.271,484.955,657.907,637.948,-1.396,-0.511,0
35,0.58392,driven,659.271,484.955,657.902,637.948,-1.396,-0.513,0
