frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,654.348,484.755,653.711,637.754,-3.242,-0.239,0,-0.59,3.06
1,0.01668,driven,654.348,484.755,653.711,637.754,-3.242,-0.239,0,-0.10,0.16
2,0.03337,driven,654.348,484.755,653.711,637.754,-3.242,-0.239,0,0.28,-1.27
3,0.05005,driven,654.348,484.755,653.711,637.754,-3.242,-0.239,0,0.54,-1.24
4,0.06673,driven,654.381,484.757,653.711,637.756,-3.230,-0.251,0,0.86,0.61
5,0.08342,driven,654.441,484.760,653.711,637.759,-3.207,-0.273,0,0.69,2.64
6,0.1001,driven,654.441,484.760,654.071,637.760,-3.207,-0.138,0,0.16,3.07
7,0.11678,driven,654.441,484.760,654.072,637.760,-3.207,-0.138,0,-0.08,1.70
8,0.13347,driven,654.441,484.760,654.072,637.760,-3.207,-0.138,0,0.10,-0.39
9,0.15015,driven,654.451,484.761,654.117,637.761,-3.203,-0.125,0,-0.20,0.56
10,0.16683,driven,654.451,484.761,654.117,637.761,-3.203,-0.125,0,0.65,-0.35
11,0.18352,driven,654.451,484.761,654.118,637.761,-3.203,-0.125,0,1.38,-1.00
12,0.2002,driven,654.603,484.769,654.146,637.769,-3.146,-0.171,0,1.57,-1.70
13,0.21688,driven,654.603,484.769,654.146,637.769,-3.146,-0.171,0,0.08,-0.87
14,0.23357,driven,654.603,484.769,654.048,637.768,-3.146,-0.208,0,-0.77,0.17
15,0.25025,driven,654.516,484.765,654.048,637.764,-3.179,-0.175,0,0.01,-1.09
16,0.26693,driven,654.603,484.769,654.045,637.768,-3.146,-0.209,0,0.54,-2.31
17,0.28362,driven,654.615,484.770,653.856,637.768,-3.142,-0.284,0,0.93,-3.15
18,0.3003,driven,654.629,484.771,653.804,637.769,-3.136,-0.309,0,0.40,-2.11
19,0.31698,driven,654.670,484.773,653.804,637.771,-3.121,-0.324,0,0.32,0.84
20,0.33367,driven,654.670,484.773,653.804,637.771,-3.121,-0.324,0,0.17,2.22
21,0.35035,driven,654.663,484.773,654.054,637.771,-3.124,-0.228,0,0.12,2.32
22,0.36703,driven,654.691,484.774,654.054,637.773,-3.113,-0.238,0,0.02,0.99
23,0.38372,driven,654.691,484.774,654.054,637.773,-3.113,-0.238,0,0.50,-2.07
24,0.4004,driven,654.691,484.774,653.986,637.773,-3.113,-0.264,0,1.11,-2.65
25,0.41708,driven,654.802,484.780,653.852,637.777,-3.071,-0.356,0,1.44,-4.35
26,0.43377,driven,654.843,484.782,653.810,637.779,-3.056,-0.387,0,0.94,-3.78
27,0.45045,driven,654.854,484.783,653.557,637.777,-3.052,-0.486,0,0.33,-3.41
28,0.46713,driven,654.854,484.783,653.557,637.777,-3.052,-0.486,0,-0.73,-1.19
29,0.48382,driven,654.843,484.782,653.414,637.776,-3.056,-0.535,0,-1.72,2.74
30,0.5005,driven,654.674,484.773,653.557,637.769,-3.119,-0.419,0,-2.17,4.29
31,0.51718,driven,654.636,484.771,653.687,637.768,-3.134,-0.355,0,-1.51,2.98
32,0.53387,driven,654.581,484.768,653.687,637.766,-3.154,-0.335,0,-0.32,0.26
33,0.55055,driven,654.581,484.768,653.590,637.765,-3.154,-0.371,0,-0.20,-0.44
34,0.56723,driven,654.581,484.768,653.687,637.766,-3.154,-0.335,0,0.23,-0.62
35,0.58392,driven,654.581,484.768,653.590,637.765,-3.154,-0.371,0,0.38,-0.70
36,0.6006,driven,654.614,484.770,653.591,637.767,-3.142,-0.383,0,0.11,-0.65
37,0.61728,driven,654.614,484.770,653.591,637.767,-3.142,-0.383,0,-0.63,0.86
38,0.63397,driven,654.568,484.767,653.595,637.764,-3.159,-0.364,0,0.23,-0.20
39,0.65065,driven,654.568,484.767,653.590,637.764,-3.159,-0.366,0,1.40,-1.57
40,0.66733,driven,654.743,484.777,653.583,637.773,-3.093,-0.434,0,1.76,-2.07
41,0.68402,driven,654.743,484.777,653.559,637.772,-3.093,-0.443,0,0.93,-0.98
42,0.7007,driven,654.763,484.778,653.559,637.773,-3.086,-0.451,0,-0.03,-0.71
43,0.71738,driven,654.776,484.779,653.559,637.774,-3.081,-0.456,0,0.26,-0.84
44,0.73407,driven,654.776,484.779,653.455,637.773,-3.081,-0.495,0,-0.33,0.49
45,0.75075,driven,654.763,484.778,653.559,637.773,-3.086,-0.451,0,-0.77,1.68
46,0.76743,driven,654.702,484.775,653.600,637.771,-3.109,-0.413,0,-0.74,1.75
47,0.78412,driven,654.688,484.774,653.600,637.770,-3.114,-0.407,0,-0.34,0.32
48,0.8008,driven,654.688,484.774,653.600,637.770,-3.114,-0.407,0,0.12,-0.19
49,0.81748,driven,654.688,484.774,653.600,637.770,-3.114,-0.407,0,0.24,-0.24
50,0.83417,driven,654.688,484.774,653.600,637.770,-3.114,-0.407,0,-0.94,1.20
51,0.85085,driven,654.660,484.773,653.602,637.769,-3.125,-0.396,0,-1.81,1.30
52,0.86753,driven,654.492,484.763,653.602,637.761,-3.188,-0.333,0,-2.12,0.94
