frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,665.139,484.985,663.421,637.975,0.801,-0.643,0,0.45,-0.63
1,0.01668,driven,665.139,484.985,663.421,637.975,0.801,-0.643,0,-0.39,0.53
2,0.03337,driven,665.139,484.985,663.421,637.975,0.801,-0.643,0,-0.85,1.17
3,0.05005,driven,665.037,484.986,663.458,637.978,0.763,-0.591,0,-0.93,1.28
4,0.06673,driven,665.037,484.986,663.458,637.978,0.763,-0.591,0,-0.41,0.58
5,0.08342,driven,665.037,484.986,663.461,637.978,0.763,-0.590,0,0.20,-0.25
6,0.1001,driven,665.037,484.986,663.461,637.978,0.763,-0.590,0,0.03,-0.02
7,0.11678,driven,665.037,484.986,663.461,637.978,0.763,-0.590,0,-0.02,0.02
8,0.13347,driven,665.037,484.986,663.461,637.978,0.763,-0.590,0,0.14,-0.14
9,0.15015,driven,665.020,484.987,663.461,637.979,0.757,-0.584,0,-1.11,1.06
10,0.16683,driven,665.001,484.987,663.461,637.979,0.749,-0.577,0,-2.02,1.98
11,0.18352,driven,664.809,484.989,663.451,637.983,0.677,-0.508,0,-1.82,1.75
12,0.2002,driven,664.809,484.989,663.451,637.983,0.677,-0.508,0,-0.73,0.25
13,0.21688,driven,664.809,484.989,663.425,637.983,0.677,-0.518,0,0.38,-1.26
14,0.23357,driven,664.809,484.989,663.362,637.982,0.677,-0.542,0,-0.00,-0.94
15,0.25025,driven,664.809,484.989,663.337,637.982,0.677,-0.551,0,-0.00,-0.65
16,0.26693,driven,664.809,484.989,663.320,637.982,0.677,-0.557,0,0.03,-0.33
17,0.28362,driven,664.809,484.989,663.303,637.982,0.677,-0.564,0,-0.06,-0.06
18,0.3003,driven,664.809,484.989,663.303,637.982,0.677,-0.564,0,-0.15,0.01
19,0.31698,driven,664.792,484.990,663.304,637.982,0.671,-0.557,0,-0.15,-0.09
20,0.33367,driven,664.792,484.990,663.276,637.982,0.671,-0.568,0,-0.07,-0.13
21,0.35035,driven,664.792,484.990,663.276,637.982,0.671,-0.568,0,0.01,-0.01
22,0.36703,driven,664.792,484.990,663.288,637.982,0.671,-0.563,0,0.15,0.00
23,0.38372,driven,664.798,484.989,663.288,637.982,0.673,-0.565,0,0.27,-0.17
24,0.4004,driven,664.822,484.989,663.288,637.981,0.682,-0.574,0,0.52,-0.39
25,0.41708,driven,664.822,484.989,663.304,637.982,0.682,-0.568,0,-0.42,0.68
26,0.43377,driven,664.822,484.989,663.314,637.982,0.682,-0.565,0,-1.27,1.50
27,0.45045,driven,664.677,484.991,663.320,637.985,0.628,-0.508,0,-2.11,2.17
28,0.46713,driven,664.641,484.991,663.320,637.985,0.615,-0.495,0,-1.73,1.68
29,0.48382,driven,664.522,484.992,663.314,637.988,0.570,-0.452,0,-1.64,1.55
30,0.5005,driven,664.515,484.992,663.310,637.988,0.567,-0.451,0,-2.18,2.07
31,0.51718,driven,664.362,484.994,663.310,637.990,0.510,-0.394,0,-0.58,0.53
32,0.53387,driven,664.362,484.994,663.301,637.990,0.510,-0.398,0,0.73,-0.92
33,0.55055,driven,664.515,484.992,663.300,637.988,0.567,-0.455,0,1.83,-2.01
34,0.56723,driven,664.515,484.992,663.272,637.987,0.567,-0.465,0,0.82,-1.38
35,0.58392,driven,664.551,484.992,663.272,637.987,0.581,-0.479,0,0.13,-0.42
36,0.6006,driven,664.560,484.992,663.218,637.986,0.584,-0.503,0,1.66,-1.82
37,0.61728,driven,664.644,484.991,663.272,637.985,0.616,-0.514,0,2.30,-2.50
38,0.63397,driven,664.813,484.989,663.218,637.981,0.679,-0.597,0,2.08,-2.22
39,0.65065,driven,664.825,484.989,663.218,637.981,0.684,-0.602,0,0.83,-1.17
40,0.66733,driven,664.848,484.989,663.218,637.980,0.692,-0.610,0,0.24,-0.23
41,0.68402,driven,664.848,484.989,663.214,637.980,0.692,-0.612,0,-0.59,0.60
42,0.7007,driven,664.848,484.989,663.214,637.980,0.692,-0.612,0,-1.54,1.81
43,0.71738,driven,664.684,484.991,663.236,637.984,0.631,-0.542,0,-1.49,1.90
44,0.73407,driven,664.684,484.991,663.254,637.984,0.631,-0.535,0,-0.65,0.91
45,0.75075,driven,664.684,484.991,663.254,637.984,0.631,-0.535,0,0.32,-0.42
46,0.76743,driven,664.684,484.991,663.254,637.984,0.631,-0.535,0,-0.03,0.35
47,0.78412,driven,664.684,484.991,663.261,637.984,0.631,-0.533,0,-0.07,1.02
48,0.8008,driven,664.684,484.991,663.336,637.985,0.631,-0.505,0,0.35,-0.34
49,0.81748,driven,664.702,484.991,663.336,637.984,0.637,-0.512,0,0.84,-1.04
50,0.83417,driven,664.768,484.990,663.216,637.982,0.662,-0.581,0,1.08,-1.74
51,0.85085,driven,664.799,484.989,663.318,637.982,0.674,-0.554,0,0.78,-1.35
52,0.86753,driven,664.827,484.989,663.225,637.981,0.684,-0.600,0,0.24,-0.14
53,0.88422,driven,664.827,484.989,663.225,637.981,0.684,-0.600,0,0.15,0.19
54,0.9009,driven,664.827,484.989,663.318,637.982,0.684,-0.565,0,-0.17,1.39
55,0.91758,driven,664.827,484.989,663.340,637.982,0.684,-0.557,0,-0.74,1.37
56,0.93427,driven,664.769,484.990,663.340,637.983,0.663,-0.535,0,-1.03,1.12
57,0.95095,driven,664.715,484.990,663.357,637.984,0.642,-0.509,0,-0.74,0.98
58,0.96763,driven,664.715,484.990,663.365,637.984,0.642,-0.505,0,-0.80,0.83
59,0.98432,driven,664.715,484.990,663.365,637.984,0.642,-0.505,0,1.50,-1.73
60,1.001,driven,664.715,484.990,663.339,637.984,0.642,-0.515,0,3.79,-4.04
61,1.01768,driven,665.061,484.986,663.340,637.976,0.772,-0.645,0,1.72,-1.59
62,1.03437,driven,665.061,484.986,663.339,637.976,0.772,-0.645,0,-0.78,0.25
63,1.05105,driven,664.751,484.990,663.331,637.983,0.656,-0.532,0,-2.94,1.45
64,1.06773,driven,664.864,484.989,663.190,637.979,0.698,-0.627,0,-1.43,-0.17
65,1.08442,driven,664.751,484.990,663.158,637.982,0.656,-0.596,0,0.40,-1.21
