t_s,theta1_deg,omega1_deg_s
5.3333,-8.2607,387.7421
6.0000,-14.7374,399.5229
6.6667,-14.9108,399.2313
7.3333,-9.3166,408.2010
8.0000,-12.0759,417.6638
8.6667,-15.3011,384.5899
9.3333,-15.1638,399.4838
10.0000,-11.0658,403.4995
10.6667,-14.5144,410.7393
11.3333,-13.1592,404.6078
12.0000,-11.0302,412.2088
12.6667,-12.1827,414.0016
13.3333,-12.4922,420.7325
14.0000,-12.3598,420.0761
14.6667,-12.2529,423.9931
15.3333,-12.9657,401.0320
16.0000,-11.7197,410.7330
16.6667,-12.7627,415.1561
17.3333,-11.4976,424.5032
18.0000,-14.5139,403.4431
18.6667,-12.5195,422.2561
19.3333,-11.2301,420.9435
20.0000,-11.1201,416.1486
20.6667,-11.3682,417.2347
21.3333,-11.6902,416.6308
22.0000,-12.8450,406.2246
22.6667,-11.4746,413.0210
23.3333,-10.8622,420.0268
24.0000,-11.7789,406.2256
24.6667,-13.9912,392.9580
25.3333,-12.9799,410.7176
26.0000,-13.0092,409.5452
26.6667,-18.9539,376.6119
27.3333,-16.7635,371.1097
28.0000,-13.5139,410.1251
28.6667,-13.6702,417.2867
29.3333,-15.8258,394.5072
30.0000,-15.1866,392.7779
30.6667,-11.6156,401.3375
31.3333,-12.6597,415.8038
32.0000,-13.7175,407.1404
32.6667,-12.0917,408.5893
33.3333,-13.1197,399.0859
34.0000,-11.9057,406.5844
34.6667,-14.0728,396.3959
35.3333,-10.5272,404.0785
36.0000,-11.5324,394.6033
36.6667,-11.3765,400.0158
37.3333,-11.8008,406.9007
38.0000,-10.6829,410.6111
38.6667,-11.7085,412.0429
39.3333,-11.4670,408.8123
40.0000,-10.3845,411.1712
40.6667,-11.0420,408.7872
41.3333,-12.6985,397.8298
42.0000,-9.5415,411.8039
42.6667,-9.3284,416.6839
43.3333,-11.8382,399.8917
44.0000,-11.8188,404.0975
