t_s,theta1_deg,omega1_deg_s
5.4945,-33.3504,452.1529
6.5934,-26.9889,410.4797
7.6923,-29.0923,417.5055
8.7912,-28.2613,433.4770
9.8901,-31.9966,403.8006
10.9890,-25.7812,427.7766
12.0879,-27.8894,434.4722
13.1868,-27.2014,426.9867
14.2857,-26.1826,433.3794
15.3846,-26.2739,443.4017
16.4835,-25.9035,439.7261
17.5824,-31.2684,409.1221
18.6813,-24.7643,425.8362
19.7802,-25.3243,430.5497
20.8791,-25.9319,427.4681
21.9780,-24.6612,431.4884
23.0769,-25.1273,424.5856
24.1758,-23.5162,424.9400
25.2747,-24.4454,421.2133
26.3736,-24.3934,422.2326
27.4725,-25.9061,420.2390
28.5714,-25.9297,426.5911
29.6703,-26.6243,430.5339
30.7692,-33.3935,414.0088
31.8681,-26.7696,428.4890
32.9670,-27.1090,430.0248
34.0659,-27.2430,437.4296
35.1648,-26.8549,426.9799
36.2637,-32.7619,415.5124
37.3626,-32.1721,411.7146
38.4615,-28.0622,425.8746
39.5604,-23.3166,411.6495
40.6593,-25.9705,419.2469
41.7582,-24.9545,418.5944
42.8571,-31.8343,416.1181
43.9560,-24.7257,418.6041
45.0549,-24.8789,431.2809
46.1538,-26.0464,423.6298
47.2527,-31.8419,411.9704
48.3516,-25.5172,419.4831
49.4505,-25.9175,432.8692
50.5495,-26.4898,432.5041
51.6484,-25.9241,436.5749
52.7473,-27.0476,430.9520
53.8462,-26.5058,430.0696
54.9451,-27.1184,425.5125
56.0440,-28.0816,433.6548
57.1429,-27.0841,429.7792
58.2418,-26.8454,436.4584
59.3407,-26.6200,426.6514
60.4396,-32.9081,408.9100
61.5385,-25.5966,432.0866
62.6374,-25.8782,436.5105
63.7363,-25.9298,426.3189
64.8352,-24.5957,436.0552
65.9341,-25.4984,436.1411
67.0330,-25.1448,429.6225
68.1319,-24.3638,427.6875
69.2308,-24.8105,434.3792
