frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,584.430,491.994,578.830,652.896,0.509,-1.993,0,-0.38,0.37
1,0.01668,driven,584.430,491.994,578.830,652.896,0.509,-1.993,0,0.32,-0.34
2,0.03337,driven,584.468,491.993,578.828,652.895,0.522,-2.007,0,0.56,-0.58
3,0.05005,driven,584.468,491.993,578.828,652.895,0.522,-2.007,0,0.34,-0.35
4,0.06673,driven,584.468,491.993,578.828,652.895,0.522,-2.007,0,-0.34,0.34
5,0.08342,driven,584.456,491.993,578.829,652.895,0.518,-2.003,0,-1.52,1.56
6,0.1001,driven,584.327,491.995,578.833,652.901,0.472,-1.956,0,-3.39,3.49
7,0.11678,driven,584.155,491.996,578.838,652.908,0.411,-1.893,0,-3.63,3.74
8,0.13347,driven,583.964,491.997,578.844,652.916,0.343,-1.823,0,-2.05,2.11
9,0.15015,driven,583.964,491.997,578.844,652.916,0.343,-1.823,0,-0.43,0.44
10,0.16683,driven,583.964,491.997,578.844,652.916,0.343,-1.823,0,0.16,-0.13
11,0.18352,driven,583.950,491.997,578.844,652.916,0.338,-1.817,0,-0.24,0.24
12,0.2002,driven,583.931,491.997,578.849,652.917,0.331,-1.809,0,-0.22,0.34
13,0.21688,driven,583.931,491.997,578.848,652.917,0.331,-1.809,0,-0.50,0.73
14,0.23357,driven,583.899,491.997,578.871,652.919,0.320,-1.790,0,-0.98,1.10
15,0.25025,driven,583.832,491.998,578.871,652.921,0.296,-1.766,0,-1.07,0.97
16,0.26693,driven,583.789,491.998,578.849,652.922,0.281,-1.758,0,-0.57,0.48
17,0.28362,driven,583.789,491.998,578.848,652.922,0.281,-1.759,0,-0.54,0.06
18,0.3003,driven,583.789,491.998,578.849,652.922,0.281,-1.758,0,1.12,-1.48
19,0.31698,driven,583.789,491.998,578.773,652.920,0.281,-1.785,0,2.38,-2.46
20,0.33367,driven,584.063,491.996,578.839,652.912,0.378,-1.859,0,2.25,-1.86
21,0.35035,driven,584.063,491.996,578.839,652.912,0.378,-1.859,0,1.30,-1.16
22,0.36703,driven,584.063,491.996,578.839,652.912,0.378,-1.859,0,0.43,-1.11
23,0.38372,driven,584.129,491.996,578.771,652.907,0.402,-1.907,0,-0.12,-0.52
24,0.4004,driven,584.129,491.996,578.771,652.907,0.402,-1.907,0,-1.27,0.88
25,0.41708,driven,583.945,491.997,578.758,652.914,0.336,-1.846,0,-1.82,1.84
26,0.43377,driven,583.945,491.997,578.758,652.914,0.336,-1.846,0,-1.51,1.49
27,0.45045,driven,583.893,491.998,578.761,652.916,0.318,-1.826,0,-0.08,0.14
28,0.46713,driven,583.829,491.998,578.761,652.918,0.295,-1.804,0,-0.60,0.56
29,0.48382,driven,583.893,491.998,578.761,652.916,0.318,-1.826,0,-1.72,1.87
30,0.5005,driven,583.715,491.998,578.761,652.922,0.254,-1.763,0,-2.57,2.58
31,0.51718,driven,583.562,491.999,578.782,652.928,0.200,-1.701,0,-2.15,1.90
32,0.53387,driven,583.552,491.999,578.735,652.927,0.197,-1.715,0,-0.22,-0.17
33,0.55055,driven,583.562,491.999,578.733,652.927,0.200,-1.719,0,0.09,-0.19
34,0.56723,driven,583.552,491.999,578.735,652.927,0.197,-1.715,0,-0.05,0.33
35,0.58392,driven,583.526,491.999,578.763,652.929,0.187,-1.695,0,-0.28,0.49
36,0.6006,driven,583.552,491.999,578.750,652.927,0.197,-1.709,0,-0.74,0.86
37,0.61728,driven,583.491,491.999,578.763,652.930,0.175,-1.683,0,-0.01,0.05
38,0.63397,driven,583.491,491.999,578.763,652.930,0.175,-1.683,0,2.07,-2.31
39,0.65065,driven,583.680,491.999,578.750,652.923,0.242,-1.755,0,3.40,-3.96
40,0.66733,driven,583.867,491.998,578.702,652.915,0.309,-1.839,0,2.64,-3.14
41,0.68402,driven,583.867,491.998,578.702,652.915,0.309,-1.839,0,0.37,-0.52
42,0.7007,driven,583.867,491.998,578.702,652.915,0.309,-1.839,0,-2.81,3.14
43,0.71738,driven,583.718,491.998,578.716,652.921,0.256,-1.780,0,-4.04,4.52
44,0.73407,driven,583.409,491.999,578.749,652.932,0.146,-1.659,0,-3.30,3.67
45,0.75075,driven,583.403,491.999,578.762,652.933,0.143,-1.652,0,-0.90,1.03
46,0.76743,driven,583.409,491.999,578.749,652.932,0.146,-1.659,0,0.84,-0.85
47,0.78412,driven,583.409,491.999,578.760,652.932,0.146,-1.655,0,-0.66,0.77
48,0.8008,driven,583.409,491.999,578.760,652.932,0.146,-1.655,0,-0.56,0.43
49,0.81748,driven,583.290,492.000,578.758,652.936,0.103,-1.613,0,-0.28,-0.13
50,0.83417,driven,583.423,491.999,578.715,652.931,0.151,-1.676,0,1.41,-1.81
51,0.85085,driven,583.423,491.999,578.715,652.931,0.151,-1.676,0,2.44,-2.64
52,0.86753,driven,583.637,491.999,578.709,652.923,0.227,-1.754,0,2.95,-2.98
53,0.88422,driven,583.699,491.998,578.707,652.921,0.249,-1.777,0,3.03,-3.15
54,0.9009,driven,583.910,491.997,578.698,652.913,0.324,-1.855,0,2.42,-2.48
55,0.91758,driven,583.910,491.997,578.698,652.913,0.324,-1.855,0,0.19,-0.22
56,0.93427,driven,583.996,491.997,578.698,652.910,0.355,-1.886,0,-0.68,0.67
57,0.95095,driven,583.777,491.998,578.696,652.918,0.277,-1.809,0,0.09,-0.18
58,0.96763,driven,584.007,491.997,578.696,652.909,0.358,-1.891,0,1.63,-1.74
59,0.98432,driven,584.007,491.997,578.686,652.909,0.358,-1.894,0,2.75,-2.83
60,1.001,driven,584.175,491.996,578.686,652.902,0.418,-1.953,0,1.05,-0.84
61,1.01768,driven,584.175,491.996,578.693,652.902,0.418,-1.951,0,0.77,-0.57
62,1.03437,driven,584.175,491.996,578.723,652.903,0.418,-1.941,0,-0.56,0.56
63,1.05105,driven,584.175,491.996,578.695,652.902,0.418,-1.951,0,-0.26,0.27
64,1.06773,driven,584.107,491.996,578.700,652.905,0.394,-1.924,0,-1.39,1.51
65,1.08442,driven,584.098,491.996,578.723,652.907,0.391,-1.913,0,-2.00,2.28
66,1.1011,driven,583.907,491.997,578.726,652.914,0.323,-1.844,0,-1.65,1.79
67,1.11778,driven,583.907,491.997,578.726,652.914,0.323,-1.844,0,-0.77,0.84
68,1.13447,driven,583.907,491.997,578.742,652.915,0.323,-1.839,0,1.17,-0.94
69,1.15115,driven,583.949,491.997,578.745,652.913,0.338,-1.852,0,1.62,-1.21
70,1.16783,driven,584.068,491.996,578.771,652.909,0.380,-1.885,0,1.32,-1.03
71,1.18452,driven,584.068,491.996,578.786,652.910,0.380,-1.880,0,-1.85,1.95
72,1.2012,driven,583.949,491.997,578.771,652.914,0.338,-1.843,0,-3.97,3.78
73,1.21788,driven,583.639,491.999,578.771,652.925,0.227,-1.733,0,-3.53,3.28
74,1.23457,driven,583.639,491.999,578.752,652.925,0.227,-1.739,0,-0.29,0.02
75,1.25125,driven,583.639,491.999,578.744,652.924,0.227,-1.742,0,2.25,-2.51
76,1.26793,driven,583.832,491.998,578.728,652.917,0.296,-1.817,0,2.28,-2.49
77,1.28462,driven,583.866,491.998,578.728,652.916,0.308,-1.829,0,1.72,-1.87
78,1.3013,driven,583.944,491.997,578.714,652.912,0.336,-1.862,0,0.33,-0.47
79,1.31798,driven,583.944,491.997,578.711,652.912,0.336,-1.862,0,0.48,-0.62
