t_s,theta1_deg,omega1_deg_s
0.0081,-26.9975,4.4679
1.3795,-27.0902,-4.8742
1.9256,-26.9910,2.1206
2.0789,-26.9367,0.0158
2.6171,-26.9729,-2.9769
3.2165,-26.9910,-0.1340
4.0333,-26.8510,0.0547
4.6422,-27.0985,-2.4852
6.5833,-27.0778,-0.1109
6.7693,-27.1350,0.1838
6.8979,-27.1350,0.0000
7.7378,-27.3627,-0.9249
9.7180,-27.1350,0.0229
9.8735,-27.0172,0.3620
10.4665,-47.6708,-56.8046
10.9539,15.8612,-26.4090
12.0298,-21.9287,159.2840
15.3894,-25.2790,51.0681
17.6143,-22.6230,88.6202
22.0687,-23.9772,78.1814
23.1587,-22.9025,58.6294
24.2827,-21.8582,76.6852
27.6155,-21.5425,69.3538
28.7347,-22.1647,86.9676
29.8389,-21.3595,71.6577
30.9564,-22.6355,77.1807
33.1728,-21.3292,70.0655
34.2846,-22.0703,52.8658
35.3980,-21.9703,71.9229
37.6185,-22.9628,47.2478
38.7315,-20.7438,54.0979
39.8367,-22.1654,71.6882
40.9544,-22.8970,77.9306
43.1689,-22.4970,66.6834
46.5058,-20.3484,123.4176
48.7240,-22.7073,57.6869
49.8380,-21.9989,73.8108
50.9438,-21.4640,84.7986
52.0636,-21.0540,100.0022
53.1723,-21.8316,106.7954
54.2870,-20.2968,131.7933
55.3946,-22.2834,74.5262
56.5052,-23.7970,75.1956
57.6164,-21.7818,66.9576
58.7292,-21.7834,108.5339
60.9500,-22.2529,81.5750
63.1695,-21.6821,59.4231
65.3953,-23.3022,82.1688
66.5052,-22.2165,72.4638
70.9537,-21.8313,109.9275
73.1636,-20.6377,81.9458
74.2758,-22.8404,31.8913
75.3939,-21.8734,67.0619
76.5005,-20.9190,96.5427
77.6326,-22.6857,92.8607
78.7227,-22.5472,91.4272
80.9501,-22.5285,49.2423
83.1687,-22.8049,47.6652
85.3893,-21.9593,39.4710
86.5054,-21.4637,107.6793
87.6290,-25.1408,95.9715
88.7323,-21.5321,88.7846
89.8420,-21.0563,106.1420
90.9554,-21.0870,140.0525
