frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
0,0.0,free_swing,575,492,587,598,-28.811,6.459,0,-7.95,99.67,1,106.68,23.08,2500,0,0,0
1,0.01668,free_swing,574,492,585,627,-29.085,4.658,0,-1.11,-40.07,0,135.45,2.33,2500,0,0,0
2,0.03337,free_swing,575,492,585,634,-28.811,4.028,0,3.00,-99.59,0,142.35,2.65,2500,0,0,0
3,0.05005,free_swing,575,492,588,605,-28.811,6.563,0,4.37,-78.90,1,113.75,17.98,2500,0,0,0
4,0.06673,free_swing,575,492,578,627,-28.811,1.273,0,-1.43,59.05,0,135.03,2.63,2500,0,0,0
5,0.08342,free_swing,575,492,583,626,-28.811,3.417,0,0.00,106.28,0,134.24,3.20,2500,0,0,0
6,0.1001,free_swing,575,492,590,573,-28.811,10.491,0,-0.79,58.11,1,82.38,40.60,2500,0,0,0
7,0.11678,free_swing,575,492,585,612,-28.811,4.764,0,2.41,-129.74,1,120.42,13.17,2500,0,0,0
8,0.13347,free_swing,575,492,581,627,-28.811,2.545,0,2.08,-129.88,0,135.13,2.56,2500,0,0,0
9,0.15015,free_swing,575,493,581,612,-28.660,2.886,0,1.43,12.76,1,119.15,14.08,2500,0,0,0
10,0.16683,free_swing,575,492,583,623,-28.811,3.495,0,-7.24,-28.12,0,131.24,5.36,2500,0,0,0
11,0.18352,free_swing,575,492,579,608,-28.811,1.975,0,-3.78,33.53,1,116.07,16.31,2500,0,0,0
12,0.2002,free_swing,574,492,578,603,-29.085,2.064,0,2.87,32.57,1,111.07,19.91,2500,0,0,0
13,0.21688,free_swing,575,493,585,584,-28.660,6.271,0,2.99,55.32,1,91.55,33.99,2500,0,0,0
14,0.23357,free_swing,575,492,580,599,-28.811,2.675,0,4.69,29.68,1,107.12,22.76,2500,0,0,0
15,0.25025,free_swing,575,492,585,596,-28.811,5.492,0,-1.76,-12.17,1,104.48,24.66,2500,0,0,0
16,0.26693,free_swing,575,493,584,591,-28.660,5.247,0,0.79,26.65,1,98.41,29.04,2500,0,0,0
17,0.28362,free_swing,575,492,583,608,-28.811,3.945,0,-2.08,-121.51,1,116.28,16.16,2500,0,0,0
18,0.3003,free_swing,575,492,582,590,-28.811,4.086,0,-2.41,30.26,1,98.25,29.16,2500,0,0,0
19,0.31698,free_swing,575,492,578,615,-28.811,1.397,0,2.22,145.95,1,123.04,11.28,2500,0,0,0
20,0.33367,free_swing,575,492,592,585,-28.811,10.359,0,-2.93,158.84,1,94.54,31.83,2500,0,0,0
21,0.35035,free_swing,575,492,589,585,-28.811,8.561,0,-8.15,-10.28,1,94.05,32.19,2500,0,0,0
22,0.36703,free_swing,574,492,587,585,-29.085,7.958,0,-2.35,-107.76,1,93.90,32.29,2500,0,0,0
23,0.38372,free_swing,574,492,582,599,-29.085,4.276,0,-0.59,2.29,1,107.30,22.63,2500,0,0,0
24,0.4004,free_swing,575,492,585,559,-28.811,8.489,0,5.80,-153.76,1,67.74,51.15,2500,0,0,0
25,0.41708,free_swing,574,492,583,595,-29.085,4.994,0,-1.43,115.36,1,103.39,25.45,2500,1,0,0
26,0.43377,free_swing,575,492,576,617,-28.811,0.458,0,0.00,78.65,0,125.00,9.86,2500,0,0,0
27,0.45045,free_swing,574,492,596,564,-29.085,16.991,0,0.00,97.93,1,75.29,45.71,2500,0,0,0
28,0.46713,free_swing,575,492,581,591,-28.811,3.468,0,-1.43,-157.29,1,99.18,28.48,2500,1,0,0
29,0.48382,free_swing,574,492,583,584,-29.085,5.587,0,3.58,-299.11,1,92.44,33.35,2500,0,0,0
30,0.5005,free_swing,575,492,574,611,-28.811,-0.481,0,4.75,-22.34,1,119.00,14.19,2500,1,0,0
31,0.51718,free_swing,575,492,579,600,-28.811,2.121,0,6.45,72.90,1,108.07,22.07,2500,0,0,0
32,0.53387,free_swing,575,493,579,613,-28.660,1.909,0,-1.43,120.17,1,120.07,13.42,2500,0,0,0
33,0.55055,free_swing,575,492,586,577,-28.811,7.374,0,-2.08,-8.07,1,85.71,38.20,2500,0,0,0
34,0.56723,free_swing,575,492,578,626,-28.811,1.283,0,-2.41,-134.26,0,134.03,3.35,2500,0,0,0
35,0.58392,free_swing,575,492,579,616,-28.811,1.848,0,2.22,-102.74,1,124.06,10.54,2500,0,0,0
36,0.6006,free_swing,575,492,572,613,-28.811,-1.420,0,-4.37,48.41,1,121.04,12.72,2500,0,0,0
37,0.61728,free_swing,575,492,581,604,-28.811,3.066,0,-3.78,11.90,1,112.16,19.12,2500,0,0,0
38,0.63397,free_swing,574,492,577,625,-29.085,1.292,0,0.00,75.89,0,133.03,4.07,2500,0,0,0
39,0.65065,free_swing,575,492,578,618,-28.811,1.364,0,2.34,16.10,0,126.04,9.12,2500,0,0,0
