stem,f_drive_hz,v_drill_v,arm,net_turns,total_turns,turns_pos,turns_neg,net_angle_deg,peak_abs_angle_deg,path_turns,omega_net_turns,cross_check_diff_turns,suspect
4V_0.6Hz,0.6,4,upper,-1.9679,14,6,8,-708.44,1269.74,45.9553,-1.9028,0.0651,0
4V_0.6Hz,0.6,4,lower_abs,-1.4025,39,19,20,-504.90,2305.19,73.8621,-1.4994,0.0969,0
4V_0.6Hz,0.6,4,lower_rel,0.5654,45,23,22,203.53,2318.22,79.7856,0.4034,0.1620,0
4V_0.7Hz,0.7,4,upper,-4.5559,15,5,10,-1640.14,2042.62,49.3854,-4.6858,0.1299,0
4V_0.7Hz,0.7,4,lower_abs,7.3969,57,32,25,2662.90,6203.70,84.6403,7.4371,0.0401,0
4V_0.7Hz,0.7,4,lower_rel,11.9529,58,35,23,4303.04,6170.17,90.6964,12.1229,0.1700,0
4V_0.8Hz,0.8,4,upper,-0.0506,0,0,0,-18.23,234.47,66.2236,-0.0505,0.0002,0
4V_0.8Hz,0.8,4,lower_abs,-10.8397,59,24,35,-3902.30,4857.79,98.2719,-10.0455,0.7942,1
4V_0.8Hz,0.8,4,lower_rel,-10.7891,61,25,36,-3884.07,4816.35,119.9600,-9.9951,0.7940,1
4V_0.9Hz,0.9,4,upper,0.2437,0,0,0,87.72,162.52,100.0506,-0.5971,0.8407,1
4V_0.9Hz,0.9,4,lower_abs,128.5880,132,130,2,46291.68,46291.68,143.9497,96.5200,32.0680,1
4V_0.9Hz,0.9,4,lower_rel,128.3443,132,130,2,46203.96,46203.96,179.1620,97.1170,31.2273,1
4V_1Hz,1,4,upper,-0.2529,0,0,0,-91.05,109.40,39.3520,-0.1190,0.1340,0
4V_1Hz,1,4,lower_abs,69.3294,69,69,0,24958.60,24958.60,69.8770,68.8562,0.4733,0
4V_1Hz,1,4,lower_rel,69.5824,69,69,0,25049.65,25049.65,79.1318,68.9751,0.6072,1
4V_1.1Hz,1.1,4,upper,0.0483,0,0,0,17.39,115.35,38.2949,0.1224,0.0741,0
4V_1.1Hz,1.1,4,lower_abs,9.5762,74,42,32,3447.45,6268.79,77.8801,9.3587,0.2175,0
4V_1.1Hz,1.1,4,lower_rel,9.5279,74,42,32,3430.06,6236.47,90.0637,9.2363,0.2917,0
4V_1.2Hz,1.2,4,upper,-0.0311,0,0,0,-11.21,121.05,37.2698,-0.0257,0.0055,0
4V_1.2Hz,1.2,4,lower_abs,-6.7021,53,23,30,-2412.76,4473.45,71.6177,-6.7149,0.0128,0
4V_1.2Hz,1.2,4,lower_rel,-6.6710,53,23,30,-2401.56,4459.23,78.7673,-6.6892,0.0182,0
4V_1.3Hz,1.3,4,upper,0.0883,0,0,0,31.78,125.20,37.8550,0.0914,0.0031,0
4V_1.3Hz,1.3,4,lower_abs,11.2201,48,30,18,4039.23,4742.40,71.5756,11.2356,0.0155,0
4V_1.3Hz,1.3,4,lower_rel,11.1318,46,29,17,4007.45,4698.09,78.3184,11.1441,0.0123,0
4V_1.4Hz,1.4,4,upper,0.0564,0,0,0,20.32,97.16,130.6781,0.0756,0.0192,0
4V_1.4Hz,1.4,4,lower_abs,-10.4124,59,24,35,-3748.46,5155.86,176.4886,-10.4041,0.0083,0
4V_1.4Hz,1.4,4,lower_rel,-10.4688,59,24,35,-3768.78,5172.33,236.4035,-10.4797,0.0109,0
4V_1.5Hz,1.5,4,upper,0.1653,0,0,0,59.50,79.36,113.7467,0.1652,0.0001,0
4V_1.5Hz,1.5,4,lower_abs,4.9544,7,6,1,1783.57,1893.33,143.5622,4.9558,0.0014,0
4V_1.5Hz,1.5,4,lower_rel,4.7891,7,6,1,1724.08,1922.45,208.5823,4.7906,0.0015,0
4V_1.6Hz,1.6,4,upper,-0.1113,0,0,0,-40.07,69.35,37.6502,-0.1108,0.0005,0
4V_1.6Hz,1.6,4,lower_abs,0.1217,0,0,0,43.83,98.96,36.1451,0.1214,0.0004,0
4V_1.6Hz,1.6,4,lower_rel,0.2331,0,0,0,83.90,140.26,72.5246,0.2322,0.0009,0
4V_1.8Hz,1.8,4,upper,0.1150,0,0,0,41.41,66.38,28.7484,0.1146,0.0004,0
4V_1.8Hz,1.8,4,lower_abs,-1.1218,17,8,9,-403.83,1200.33,45.2131,-1.1219,0.0001,0
4V_1.8Hz,1.8,4,lower_rel,-1.2368,17,8,9,-445.24,1204.10,63.5161,-1.2365,0.0003,0
4V_1.9Hz,1.9,4,upper,-0.0670,0,0,0,-24.12,69.92,26.4436,-0.0665,0.0005,0
4V_1.9Hz,1.9,4,lower_abs,-2.4863,33,15,18,-895.08,2640.33,58.0900,-2.4859,0.0004,0
4V_1.9Hz,1.9,4,lower_rel,-2.4193,33,15,18,-870.96,2652.88,67.2875,-2.4194,0.0001,0
4V_2Hz,2,4,upper,-0.0021,0,0,0,-0.77,55.66,49.2268,-0.0022,0.0001,0
4V_2Hz,2,4,lower_abs,-3.0200,5,1,4,-1087.22,1206.64,66.7797,-3.0207,0.0006,0
4V_2Hz,2,4,lower_rel,-3.0179,5,1,4,-1086.45,1211.57,112.2950,-3.0184,0.0005,0
