n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,7.6427,11.2949,76.1889,77.5498
1,6.0000,11.2949,6.1177,77.5498,81.5924
2,7.0000,6.1177,2.6512,81.5924,81.0772
3,8.0000,2.6512,11.6474,81.0772,72.2677
4,9.0000,11.6474,9.1871,72.2677,80.3198
5,10.0000,9.1871,13.7661,80.3198,81.9733
6,11.0000,13.7661,0.4000,81.9733,97.8251
7,12.0000,0.4000,-2.0440,97.8251,93.1138
8,13.0000,-2.0440,1.0805,93.1138,80.2764
9,14.0000,1.0805,10.9564,80.2764,70.9475
10,15.0000,10.9564,11.5758,70.9475,81.2446
11,16.0000,11.5758,8.4130,81.2446,93.0855
12,17.0000,8.4130,3.2394,93.0855,95.1956
13,18.0000,3.2394,1.0368,95.1956,100.4367
14,19.0000,1.0368,6.3103,100.4367,82.7403
15,20.0000,6.3103,7.3657,82.7403,73.3503
16,21.0000,7.3657,1.7223,73.3503,73.2146
17,22.0000,1.7223,9.6359,73.2146,67.0033
18,23.0000,9.6359,9.9185,67.0033,76.5065
19,24.0000,9.9185,6.9694,76.5065,79.7857
20,25.0000,6.9694,8.4199,79.7857,76.1589
21,26.0000,8.4199,3.0445,76.1589,79.4626
22,27.0000,3.0445,11.5728,79.4626,74.2827
23,28.0000,11.5728,3.9134,74.2827,83.9990
24,29.0000,3.9134,10.0638,83.9990,77.5750
25,30.0000,10.0638,10.7702,77.5750,80.5101
26,31.0000,10.7702,5.0828,80.5101,91.9873
27,32.0000,5.0828,3.9525,91.9873,101.2407
28,33.0000,3.9525,-1.1658,101.2407,120.9753
29,34.0000,-1.1658,-23.9164,120.9753,107.2772
30,35.0000,-23.9164,-24.4836,107.2772,137.1687
31,36.0000,-24.4836,-8.2423,137.1687,156.7690
32,37.0000,-8.2423,14.3452,156.7690,43.6659
