t_s,theta1_deg,omega1_deg_s
5.0000,42.8546,-49.4139
6.0000,37.2907,-66.9427
7.0000,30.5724,-71.9839
8.0000,23.4741,-98.8689
9.0000,33.8606,-563.7414
10.0000,27.8523,-170.0183
11.0000,20.1694,-157.8593
12.0000,18.1946,-198.6671
13.0000,20.7772,-218.9848
14.0000,17.5572,-194.8282
15.0000,17.1956,-197.9234
16.0000,19.5530,-189.7294
17.0000,25.9740,-153.2125
18.0000,32.5662,-137.9107
19.0000,41.8798,-122.2499
20.0000,39.5711,-77.4311
21.0000,37.0756,-87.1205
22.0000,35.4240,-100.5323
23.0000,36.8196,-75.5719
24.0000,34.8508,-103.7015
25.0000,33.8682,-79.9982
26.0000,37.2673,-79.3458
27.0000,38.6909,-87.0991
28.0000,37.7643,-94.3860
29.0000,37.9636,-80.5168
30.0000,39.2800,-63.4693
31.0000,38.8911,-45.8888
32.0000,35.3303,-88.7981
33.0000,35.7076,-109.4308
34.0000,38.9754,-103.8156
35.0000,34.5319,-133.0520
