t_s,theta1_deg,omega1_deg_s
5.7697,10.2346,76.1758
6.7822,15.8373,5.4191
7.8175,30.2672,-112.8968
8.9869,41.0942,-523.1272
9.7948,42.1291,-86.6258
10.8254,41.7542,-169.0679
11.8508,53.9815,-182.7153
12.8255,53.9925,-145.4466
13.8176,48.2329,-164.6832
14.8123,48.0114,-162.9441
15.8024,45.1547,-158.5293
16.7716,29.2249,-115.9151
17.7401,13.8470,-9.3809
18.7269,1.7262,116.3417
19.7481,4.4691,68.5079
20.7546,5.2525,61.3448
21.7592,6.5261,19.7184
22.7621,7.8767,6.2184
23.7612,11.1962,28.1106
24.7634,9.2933,-1.8350
25.7497,7.9330,11.1546
26.7515,4.3840,82.8988
27.7548,5.2463,45.3273
28.7540,8.7617,20.3031
29.7528,4.9663,60.4472
30.7611,5.2798,77.9904
31.7670,9.9760,20.3811
32.7550,10.2941,8.3018
33.7480,4.9430,78.6837
34.7601,5.6364,40.2801
35.7632,14.3777,-29.4100
