n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,42.8546,37.2907,104.7301,120.8488
1,6.0000,37.2907,30.5724,120.8488,133.0312
2,7.0000,30.5724,23.4741,133.0312,129.2402
3,8.0000,23.4741,33.8606,129.2402,13.6008
4,9.0000,33.8606,27.8523,13.6008,128.7127
5,10.0000,27.8523,20.1694,128.7127,124.8246
6,11.0000,20.1694,18.1946,124.8246,118.0984
7,12.0000,18.1946,20.7772,118.0984,124.4943
8,13.0000,20.7772,17.5572,124.4943,127.7911
9,14.0000,17.5572,17.1956,127.7911,129.2006
10,15.0000,17.1956,19.5530,129.2006,127.1073
11,16.0000,19.5530,25.9740,127.1073,126.6756
12,17.0000,25.9740,32.5662,126.6756,116.7747
13,18.0000,32.5662,41.8798,116.7747,101.8262
14,19.0000,41.8798,39.5711,101.8262,108.6276
15,20.0000,39.5711,37.0756,108.6276,109.2224
16,21.0000,37.0756,35.4240,109.2224,115.4370
17,22.0000,35.4240,36.8196,115.4370,115.6473
18,23.0000,36.8196,34.8508,115.6473,124.5794
19,24.0000,34.8508,33.8682,124.5794,116.6616
20,25.0000,33.8682,37.2673,116.6616,111.9824
21,26.0000,37.2673,38.6909,111.9824,107.8124
22,27.0000,38.6909,37.7643,107.8124,108.9815
23,28.0000,37.7643,37.9636,108.9815,114.9372
24,29.0000,37.9636,39.2800,114.9372,108.6715
25,30.0000,39.2800,38.8911,108.6715,108.8058
26,31.0000,38.8911,35.3303,108.8058,117.4509
27,32.0000,35.3303,35.7076,117.4509,115.7763
28,33.0000,35.7076,38.9754,115.7763,109.2331
29,34.0000,38.9754,34.5319,109.2331,116.2505
