t_s,theta1_deg,omega1_deg_s
6.1767,-69.5620,-45.6791
6.9392,6.0439,-529.8720
7.6264,36.0619,15.1761
8.6418,28.6157,-48.4941
9.6508,31.5191,-90.5360
10.6576,35.4810,-113.0803
11.7007,48.3931,-137.0564
12.6679,57.9484,-76.9490
13.6539,43.8617,-132.2802
14.6228,24.9112,-93.6952
15.6002,12.7800,-17.8426
16.6023,9.7281,113.4262
17.6234,9.8136,93.6640
18.6608,15.8281,3.6215
20.0080,-25.9492,-413.2225
20.5914,23.7045,89.0759
21.6028,3.2030,48.8825
22.6240,6.7117,15.1055
23.6427,21.0514,22.8540
25.1932,-72.5100,-48.2554
25.9668,-5.1291,-491.0867
26.6400,41.6060,15.4803
27.6525,34.2705,-93.2254
28.6674,38.3160,-113.5680
29.7646,64.9109,-231.0035
30.8013,64.9675,-366.3947
31.6967,46.1668,-150.9864
32.7190,64.6020,-126.0562
33.6910,56.9921,-125.8714
34.6752,56.1347,-122.0452
35.6585,46.4283,-132.6702
