frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,659.515,484.960,658.396,637.956,-1.305,-0.419,0,0.15,0.24
1,0.01668,driven,659.515,484.960,658.396,637.956,-1.305,-0.419,0,-0.13,-0.88
2,0.03337,driven,659.515,484.960,658.396,637.956,-1.305,-0.419,0,-0.29,-1.57
3,0.05005,driven,659.480,484.960,658.137,637.954,-1.318,-0.503,0,-0.32,-1.85
4,0.06673,driven,659.480,484.960,658.137,637.954,-1.318,-0.503,0,-0.22,-0.55
5,0.08342,driven,659.480,484.960,658.135,637.954,-1.318,-0.504,0,0.23,-2.31
6,0.1001,driven,659.480,484.960,658.022,637.953,-1.318,-0.546,0,0.49,-5.04
7,0.11678,driven,659.522,484.960,657.643,637.949,-1.303,-0.704,0,0.11,-4.06
8,0.13347,driven,659.522,484.960,657.643,637.949,-1.303,-0.704,0,-0.46,-0.85
9,0.15015,driven,659.458,484.959,657.643,637.948,-1.327,-0.680,0,-0.59,1.34
10,0.16683,driven,659.458,484.959,657.643,637.948,-1.327,-0.680,0,-0.25,0.25
11,0.18352,driven,659.476,484.959,657.643,637.948,-1.320,-0.687,0,0.64,-1.07
12,0.2002,driven,659.476,484.959,657.643,637.948,-1.320,-0.687,0,0.86,-0.24
13,0.21688,driven,659.561,484.961,657.643,637.949,-1.288,-0.718,0,0.75,2.17
14,0.23357,driven,659.561,484.961,657.867,637.952,-1.288,-0.634,0,0.36,2.47
15,0.25025,driven,659.562,484.961,658.022,637.954,-1.288,-0.576,0,-0.11,1.86
16,0.26693,driven,659.561,484.961,657.914,637.952,-1.288,-0.617,0,-0.16,0.15
17,0.28362,driven,659.549,484.961,658.022,637.953,-1.292,-0.572,0,-0.85,1.36
18,0.3003,driven,659.500,484.960,658.022,637.953,-1.311,-0.553,0,-0.98,2.84
19,0.31698,driven,659.428,484.958,658.124,637.953,-1.338,-0.489,0,-1.22,2.65
20,0.33367,driven,659.428,484.958,658.201,637.953,-1.338,-0.460,0,-1.08,2.24
21,0.35035,driven,659.331,484.956,658.205,637.952,-1.374,-0.422,0,-0.73,0.90
22,0.36703,driven,659.329,484.956,658.205,637.952,-1.375,-0.421,0,-0.47,0.16
23,0.38372,driven,659.329,484.956,658.205,637.952,-1.375,-0.421,0,-0.07,0.44
24,0.4004,driven,659.313,484.956,658.205,637.952,-1.381,-0.415,0,0.06,0.89
25,0.41708,driven,659.313,484.956,658.297,637.952,-1.381,-0.380,0,0.46,0.22
26,0.43377,driven,659.365,484.957,658.297,637.953,-1.361,-0.400,0,0.60,-0.55
27,0.45045,driven,659.375,484.957,658.253,637.953,-1.358,-0.420,0,0.37,-1.06
28,0.46713,driven,659.375,484.957,658.253,637.953,-1.358,-0.420,0,-0.21,-0.51
29,0.48382,driven,659.375,484.957,658.208,637.953,-1.358,-0.437,0,-0.43,-0.24
30,0.5005,driven,659.335,484.956,658.162,637.952,-1.373,-0.439,0,-0.47,-0.67
31,0.51718,driven,659.322,484.956,658.129,637.951,-1.377,-0.447,0,-0.26,-1.43
32,0.53387,driven,659.322,484.956,658.022,637.950,-1.377,-0.487,0,0.05,-1.98
33,0.55055,driven,659.322,484.956,657.927,637.949,-1.377,-0.523,0,-0.00,-1.74
34,0.56723,driven,659.322,484.956,657.893,637.949,-1.377,-0.535,0,-0.01,-1.00
35,0.58392,driven,659.319,484.956,657.845,637.949,-1.379,-0.552,0,-0.12,-0.13
36,0.6006,driven,659.319,484.956,657.845,637.949,-1.379,-0.552,0,0.11,0.21
37,0.61728,driven,659.299,484.955,657.880,637.949,-1.386,-0.531,0,-0.77,0.99
38,0.63397,driven,659.299,484.955,657.880,637.949,-1.386,-0.531,0,-1.47,1.11
39,0.65065,driven,659.147,484.951,657.825,637.946,-1.443,-0.495,0,-2.10,1.52
40,0.66733,driven,659.147,484.951,657.825,637.946,-1.443,-0.495,0,-0.85,0.47
41,0.68402,driven,659.147,484.951,657.825,637.946,-1.443,-0.495,0,7.38,-7.09
42,0.7007,driven,659.525,484.961,657.825,637.951,-1.301,-0.637,0,11.71,-10.90
43,0.71738,driven,660.422,484.978,657.901,637.958,-0.965,-0.944,0,14.73,-16.41
44,0.73407,driven,660.422,484.978,657.972,637.959,-0.965,-0.918,0,1.02,3.58
45,0.75075,driven,660.422,484.978,658.061,637.960,-0.965,-0.884,0,-30.36,51.68
46,0.76743,driven,657.888,484.915,659.795,637.903,-1.915,0.714,0,-74.30,113.66
47,0.78412,driven,653.641,484.713,661.900,637.490,-3.507,3.094,0,-115.44,165.85
48,0.8008,driven,647.681,484.231,663.909,636.368,-5.746,6.089,0,-137.18,184.81
49,0.81748,driven,641.625,483.500,665.999,634.546,-8.031,9.167,0,-143.54,181.02
50,0.83417,driven,635.047,482.425,667.313,631.984,-10.527,12.175,0,-149.28,170.90
51,0.85085,driven,628.818,481.133,667.697,629.111,-12.909,14.721,0,-154.94,166.98
52,0.86753,driven,621.528,479.272,667.748,625.124,-15.727,17.583,0,-159.59,154.51
53,0.88422,driven,615.106,477.311,667.659,621.002,-18.242,20.089,0,-158.33,127.45
54,0.9009,driven,608.296,474.886,664.879,617.039,-20.949,21.705,0,-151.08,84.46
55,0.91758,driven,602.389,472.482,661.733,613.505,-23.338,22.822,0,-148.89,49.17
56,0.93427,driven,596.399,469.744,657.068,610.201,-25.805,23.362,0,-142.74,17.35
57,0.95095,driven,590.770,466.877,651.506,607.305,-28.170,23.389,0,-133.52,-26.77
58,0.96763,driven,585.765,464.075,644.578,605.320,-30.318,22.606,0,-126.55,-66.33
59,0.98432,driven,581.375,461.408,636.237,604.233,-32.242,21.013,0,-121.85,-101.24
60,1.001,driven,576.444,458.163,627.056,602.549,-34.453,19.317,0,-117.65,-123.29
61,1.01768,driven,572.568,455.414,617.080,601.796,-36.232,16.913,0,-109.91,-150.19
62,1.03437,driven,568.849,452.601,606.668,600.853,-37.978,14.311,0,-96.83,-182.87
63,1.05105,driven,565.599,449.991,594.463,600.244,-39.539,10.874,0,-86.13,-208.36
64,1.06773,driven,562.958,447.761,582.204,599.546,-40.834,7.226,0,-71.55,-236.17
65,1.08442,driven,560.835,445.892,569.397,598.652,-41.893,3.208,0,-58.68,-250.79
66,1.1011,driven,559.110,444.320,555.668,597.281,-42.767,-1.289,0,-41.47,-269.93
67,1.11778,driven,557.969,443.254,542.816,595.502,-43.352,-5.684,0,-21.44,-282.82
68,1.13447,driven,557.731,443.029,529.461,593.395,-43.474,-10.648,0,-5.51,-289.53
69,1.15115,driven,557.678,442.978,516.972,590.464,-43.502,-15.429,0,0.58,-289.98
70,1.16783,driven,557.678,442.978,504.925,586.596,-43.502,-20.169,0,1.76,-276.51
71,1.18452,driven,557.731,443.029,493.885,582.071,-43.474,-24.664,0,1.88,-254.87
72,1.2012,driven,558.025,443.307,484.345,577.397,-43.323,-28.788,0,10.44,-234.91
73,1.21788,driven,558.353,443.616,476.271,572.734,-43.154,-32.445,0,31.40,-234.74
74,1.23457,driven,560.027,445.162,469.026,568.157,-42.301,-36.497,0,56.31,-239.54
75,1.25125,driven,562.633,447.480,462.685,563.322,-40.995,-40.787,0,98.45,-252.63
76,1.26793,driven,566.179,450.468,458.477,559.138,-39.258,-44.744,0,145.65,-263.73
77,1.28462,driven,572.722,455.527,456.411,554.929,-36.161,-49.482,0,185.06,-281.84
78,1.3013,driven,580.087,460.586,456.076,550.199,-32.814,-54.147,0,215.83,-283.31
79,1.31798,driven,588.018,465.367,457.243,544.783,-29.346,-58.731,0,224.37,-230.83
80,1.33467,driven,597.873,470.447,462.676,542.076,-25.193,-62.085,0,236.66,-163.27
81,1.35135,driven,607.100,474.422,469.758,541.848,-21.430,-63.852,0,245.91,-105.36
82,1.36803,driven,617.825,478.179,478.789,542.038,-17.173,-65.331,0,254.04,-46.43
83,1.38472,driven,628.908,481.153,489.300,543.752,-12.875,-65.849,0,258.43,26.54
84,1.4014,driven,640.404,483.322,502.596,549.790,-8.493,-64.251,0,256.22,117.01
85,1.41808,driven,651.077,484.535,516.336,557.019,-4.470,-61.722,0,255.03,200.47
86,1.43477,driven,662.909,485.000,533.412,566.483,-0.034,-57.821,0,249.62,274.15
87,1.45145,driven,673.593,484.633,552.282,577.866,3.970,-52.456,0,235.86,358.56
88,1.46813,driven,683.508,483.619,573.646,590.105,7.703,-45.894,0,212.01,437.72
89,1.48482,driven,692.215,482.185,598.240,602.922,11.008,-37.895,0,184.56,518.20
90,1.5015,driven,699.959,480.469,626.368,614.608,13.979,-28.750,0,162.66,575.32
91,1.51818,driven,705.824,478.885,657.448,624.035,16.254,-18.432,0,135.74,637.87
92,1.53487,driven,711.951,476.958,690.626,628.464,18.659,-8.012,0,111.45,680.81
93,1.55155,driven,715.549,475.693,727.023,628.262,20.088,4.301,0,96.10,699.77
94,1.56823,driven,719.719,474.098,760.380,621.596,21.760,15.412,0,98.18,677.61
95,1.58492,driven,724.055,472.290,792.214,609.270,23.519,26.454,0,125.23,612.91
96,1.6016,driven,729.873,469.612,819.811,593.386,25.918,36.003,0,152.41,548.93
97,1.61828,driven,736.350,466.271,843.689,575.301,28.647,44.552,0,175.75,469.72
98,1.63497,driven,743.533,462.090,863.691,556.806,31.760,51.753,0,188.73,398.30
99,1.65165,driven,750.629,457.420,880.111,538.928,34.942,57.810,0,200.83,328.21
100,1.66833,driven,757.972,451.955,893.908,522.172,38.370,62.682,0,214.72,255.77
101,1.68502,driven,765.332,445.742,905.701,506.614,41.977,66.556,0,213.77,191.66
102,1.7017,driven,772.256,439.108,915.209,493.638,45.569,69.120,0,194.43,149.59
103,1.71838,driven,777.098,433.934,922.303,482.148,48.223,71.632,0,140.58,154.84
104,1.73507,driven,780.789,429.646,928.009,471.302,50.342,74.201,0,70.80,174.50
105,1.75175,driven,781.431,428.866,930.915,461.480,50.720,77.692,0,27.56,185.57
106,1.76843,driven,781.431,428.866,932.292,454.362,50.720,80.407,0,-14.54,186.83
107,1.78512,driven,781.431,428.866,933.468,446.010,50.720,83.567,0,-55.70,168.97
108,1.8018,driven,778.304,432.568,930.998,442.243,48.905,86.374,0,-114.85,151.30
109,1.81848,driven,774.211,437.077,927.158,441.092,46.624,88.496,0,-159.82,133.86
110,1.83517,driven,768.754,442.567,921.747,441.092,43.725,90.552,0,-183.23,126.56
111,1.85185,driven,762.491,448.235,915.324,441.092,40.562,92.676,0,-214.92,83.58
112,1.86853,driven,754.359,454.730,907.059,445.154,36.664,93.588,0,-238.80,0.93
113,1.88522,driven,745.136,461.084,898.004,454.741,32.468,92.376,0,-254.49,-97.59
114,1.9019,driven,735.399,466.787,888.398,466.186,28.242,90.225,0,-265.64,-179.46
115,1.91858,driven,724.643,472.033,877.363,481.289,23.759,86.531,0,-274.63,-256.55
116,1.93527,driven,712.742,476.688,864.107,498.995,18.972,81.617,0,-280.68,-339.71
117,1.95195,driven,701.245,480.143,849.100,519.488,14.476,75.098,0,-272.76,-430.64
118,1.96863,driven,689.310,482.721,830.449,541.787,9.902,67.291,0,-262.54,-538.68
119,1.98532,driven,678.376,484.225,807.120,566.893,5.768,57.295,0,-247.36,-641.34
120,2.002,driven,667.416,484.936,776.915,591.795,1.654,45.699,0,-228.09,-725.53
121,2.01868,driven,658.252,484.926,741.874,613.052,-1.778,33.131,0,-195.71,-799.42
122,2.03537,driven,649.630,484.415,700.499,628.711,-5.013,19.419,0,-163.58,-872.72
123,2.05205,driven,643.659,483.773,654.923,636.357,-7.262,4.222,0,-150.09,-902.99
