t_s,theta1_deg,omega1_deg_s
5.0000,-68.5872,-221.5235
6.0000,-41.4271,-419.0857
7.0000,-57.1570,-54.6053
8.0000,-66.6630,-418.1456
9.0000,-29.9379,-163.3758
10.0000,-78.3990,24.9501
11.0000,-58.9289,-1.0664
12.0000,-54.0745,-486.1165
13.0000,-34.7278,-239.0183
14.0000,-68.8357,99.4831
15.0000,-52.8175,-98.4867
16.0000,-76.2198,-365.1723
17.0000,-71.0993,-112.0433
18.0000,-51.5766,-372.2322
19.0000,-65.2409,-302.4680
20.0000,-72.0276,-281.5963
21.0000,-33.9420,-166.9916
22.0000,-72.0322,-398.1161
23.0000,-66.4538,-198.5957
24.0000,-41.9801,-380.1572
25.0000,-71.3213,-503.5926
26.0000,-57.4936,-91.2183
27.0000,-45.6946,-429.2772
28.0000,-33.6123,-266.1359
29.0000,-70.0666,-176.4281
30.0000,-73.5470,-230.7881
31.0000,-71.6620,-79.9472
32.0000,-77.7338,-170.5360
33.0000,-99.0732,-173.9274
34.0000,-69.9676,-245.4515
35.0000,-34.8357,-138.7932
36.0000,-69.0593,-287.1518
37.0000,-72.6980,-41.3328
38.0000,-51.2731,-379.0124
39.0000,-69.7981,-213.0740
40.0000,-40.4233,-376.1953
41.0000,-76.4276,-426.1793
42.0000,-83.7758,-274.5534
