frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,driven,661.625,484.994,660.713,637.991,-0.515,-0.341,0
1,0.01668,driven,661.625,484.994,660.713,637.991,-0.515,-0.341,0
2,0.03337,driven,661.625,484.994,660.713,637.991,-0.515,-0.341,0
3,0.05005,driven,661.625,484.994,660.713,637.991,-0.515,-0.341,0
4,0.06673,driven,661.625,484.994,660.713,637.991,-0.515,-0.341,0
5,0.08342,driven,661.672,484.994,660.686,637.991,-0.497,-0.369,0
6,0.1001,driven,661.672,484.994,660.686,637.991,-0.497,-0.369,0
7,0.11678,driven,661.672,484.994,660.686,637.991,-0.497,-0.369,0
8,0.13347,driven,661.672,484.994,660.686,637.991,-0.497,-0.369,0
9,0.15015,driven,661.672,484.994,660.648,637.991,-0.497,-0.383,0
10,0.16683,driven,661.672,484.994,660.648,637.991,-0.497,-0.383,0
11,0.18352,driven,661.672,484.994,660.648,637.991,-0.497,-0.383,0
12,0.2002,driven,661.672,484.994,660.648,637.991,-0.497,-0.383,0
13,0.21688,driven,661.672,484.994,660.648,637.991,-0.497,-0.384,0
14,0.23357,driven,661.672,484.994,660.647,637.991,-0.497,-0.384,0
15,0.25025,driven,661.672,484.994,660.566,637.990,-0.497,-0.414,0
16,0.26693,driven,661.646,484.994,660.246,637.988,-0.507,-0.524,0
17,0.28362,driven,661.646,484.994,660.246,637.988,-0.507,-0.524,0
18,0.3003,driven,661.614,484.994,660.246,637.988,-0.519,-0.512,0
19,0.31698,driven,661.621,484.994,660.246,637.988,-0.517,-0.515,0
20,0.33367,driven,661.614,484.994,660.090,637.986,-0.519,-0.571,0
21,0.35035,driven,661.595,484.994,660.086,637.986,-0.526,-0.565,0
22,0.36703,driven,661.579,484.993,660.086,637.986,-0.532,-0.559,0
23,0.38372,driven,661.595,484.994,660.084,637.986,-0.526,-0.566,0
24,0.4004,driven,661.464,484.992,659.964,637.985,-0.575,-0.562,0
25,0.41708,driven,661.464,484.992,659.964,637.985,-0.575,-0.562,0
26,0.43377,driven,661.423,484.992,659.964,637.985,-0.591,-0.547,0
27,0.45045,driven,661.392,484.992,659.963,637.985,-0.602,-0.535,0
28,0.46713,driven,661.335,484.991,659.963,637.985,-0.623,-0.514,0
29,0.48382,driven,661.297,484.991,659.963,637.985,-0.638,-0.499,0
30,0.5005,driven,661.117,484.988,659.935,637.984,-0.705,-0.443,0
31,0.51718,driven,661.117,484.988,659.883,637.983,-0.705,-0.462,0
32,0.53387,driven,661.057,484.988,659.883,637.983,-0.727,-0.440,0
33,0.55055,driven,661.018,484.987,659.862,637.983,-0.742,-0.433,0
34,0.56723,driven,661.018,484.987,659.862,637.983,-0.742,-0.433,0
35,0.58392,driven,660.980,484.987,659.908,637.983,-0.756,-0.401,0
36,0.6006,driven,660.961,484.986,659.996,637.983,-0.764,-0.361,0
37,0.61728,driven,660.980,484.987,659.999,637.984,-0.756,-0.367,0
38,0.63397,driven,661.055,484.988,660.017,637.984,-0.729,-0.389,0
39,0.65065,driven,661.033,484.987,659.999,637.984,-0.737,-0.387,0
40,0.66733,driven,661.033,484.987,659.999,637.984,-0.737,-0.387,0
41,0.68402,driven,661.140,484.989,660.009,637.985,-0.697,-0.424,0
42,0.7007,driven,661.033,484.987,660.009,637.984,-0.737,-0.383,0
43,0.71738,driven,661.033,484.987,659.922,637.983,-0.737,-0.416,0
44,0.73407,driven,661.187,484.989,659.997,637.985,-0.679,-0.446,0
45,0.75075,driven,661.187,484.989,659.997,637.985,-0.679,-0.446,0
46,0.76743,driven,661.072,484.988,659.997,637.984,-0.722,-0.402,0
47,0.78412,driven,661.150,484.989,659.997,637.984,-0.693,-0.432,0
48,0.8008,driven,661.077,484.988,660.003,637.984,-0.720,-0.402,0
49,0.81748,driven,661.072,484.988,660.003,637.984,-0.722,-0.400,0
50,0.83417,driven,661.037,484.987,660.003,637.984,-0.735,-0.387,0
51,0.85085,driven,661.055,484.988,659.980,637.984,-0.728,-0.403,0
52,0.86753,driven,661.055,484.988,660.003,637.984,-0.728,-0.394,0
53,0.88422,driven,661.037,484.987,659.933,637.983,-0.735,-0.414,0
54,0.9009,driven,661.037,484.987,659.922,637.983,-0.735,-0.418,0
55,0.91758,driven,661.055,484.988,659.855,637.983,-0.728,-0.449,0
56,0.93427,driven,661.072,484.988,659.855,637.983,-0.722,-0.456,0
57,0.95095,driven,661.072,484.988,659.854,637.983,-0.722,-0.456,0
58,0.96763,driven,661.144,484.989,659.852,637.983,-0.695,-0.484,0
59,0.98432,driven,661.144,484.989,659.851,637.983,-0.695,-0.484,0
60,1.001,driven,661.072,484.988,659.679,637.982,-0.722,-0.521,0
61,1.01768,driven,661.058,484.988,659.676,637.981,-0.727,-0.518,0
62,1.03437,driven,661.058,484.988,659.676,637.981,-0.727,-0.518,0
63,1.05105,driven,661.039,484.987,659.679,637.981,-0.734,-0.509,0
64,1.06773,driven,661.039,484.987,659.679,637.981,-0.734,-0.509,0
65,1.08442,driven,661.035,484.987,659.647,637.981,-0.736,-0.520,0
66,1.1011,driven,660.999,484.987,659.611,637.981,-0.749,-0.520,0
67,1.11778,driven,660.962,484.986,659.559,637.980,-0.763,-0.525,0
68,1.13447,driven,660.962,484.986,659.559,637.980,-0.763,-0.525,0
69,1.15115,driven,660.962,484.986,659.611,637.980,-0.763,-0.506,0
70,1.16783,driven,661.038,484.987,659.626,637.981,-0.735,-0.529,0
71,1.18452,driven,661.061,484.988,659.626,637.981,-0.726,-0.537,0
72,1.2012,driven,661.251,484.990,659.631,637.981,-0.655,-0.607,0
73,1.21788,driven,661.251,484.990,659.626,637.981,-0.655,-0.609,0
74,1.23457,driven,661.251,484.990,659.624,637.981,-0.655,-0.610,0
75,1.25125,driven,661.095,484.988,659.617,637.981,-0.713,-0.554,0
76,1.26793,driven,661.084,484.988,659.617,637.981,-0.718,-0.549,0
77,1.28462,driven,661.041,484.987,659.611,637.981,-0.734,-0.536,0
78,1.3013,driven,660.961,484.986,659.613,637.980,-0.764,-0.505,0
79,1.31798,driven,660.961,484.986,659.613,637.980,-0.764,-0.505,0
80,1.33467,driven,660.961,484.986,659.613,637.980,-0.764,-0.505,0
81,1.35135,driven,660.961,484.986,659.613,637.980,-0.764,-0.505,0
82,1.36803,driven,660.982,484.987,659.613,637.981,-0.756,-0.513,0
83,1.38472,driven,660.982,484.987,659.491,637.979,-0.756,-0.558,0
84,1.4014,driven,661.038,484.987,659.491,637.980,-0.735,-0.579,0
85,1.41808,driven,661.038,484.987,659.664,637.981,-0.735,-0.514,0
86,1.43477,driven,661.064,484.988,659.664,637.981,-0.725,-0.524,0
87,1.45145,driven,661.064,484.988,659.665,637.981,-0.725,-0.524,0
88,1.46813,driven,661.102,484.988,659.665,637.981,-0.711,-0.538,0
89,1.48482,driven,661.153,484.989,659.664,637.982,-0.692,-0.558,0
90,1.5015,driven,661.201,484.989,659.671,637.982,-0.674,-0.573,0
91,1.51818,driven,661.201,484.989,659.597,637.981,-0.674,-0.601,0
92,1.53487,driven,661.201,484.989,659.529,637.980,-0.674,-0.626,0
93,1.55155,driven,661.201,484.989,659.597,637.981,-0.674,-0.601,0
94,1.56823,driven,661.201,484.989,659.671,637.982,-0.674,-0.573,0
95,1.58492,driven,661.064,484.988,659.760,637.982,-0.725,-0.488,0
96,1.6016,driven,661.064,484.988,659.764,637.982,-0.725,-0.487,0
97,1.61828,driven,661.062,484.988,659.764,637.982,-0.726,-0.486,0
98,1.63497,driven,661.064,484.988,659.760,637.982,-0.725,-0.488,0
99,1.65165,driven,660.980,484.987,659.741,637.982,-0.756,-0.464,0
100,1.66833,driven,660.979,484.987,659.741,637.982,-0.757,-0.464,0
101,1.68502,driven,660.955,484.986,659.741,637.982,-0.766,-0.454,0
102,1.7017,driven,660.878,484.985,659.770,637.981,-0.795,-0.415,0
103,1.71838,driven,660.878,484.985,659.770,637.981,-0.795,-0.415,0
104,1.73507,driven,660.955,484.986,659.770,637.982,-0.766,-0.444,0
105,1.75175,driven,661.001,484.987,659.668,637.981,-0.749,-0.499,0
106,1.76843,driven,661.001,484.987,659.634,637.981,-0.749,-0.512,0
107,1.78512,driven,661.020,484.987,659.634,637.981,-0.742,-0.519,0
108,1.8018,driven,661.003,484.987,659.634,637.981,-0.748,-0.513,0
109,1.81848,driven,661.003,484.987,659.600,637.981,-0.748,-0.525,0
110,1.83517,driven,661.020,484.987,659.637,637.981,-0.742,-0.518,0
111,1.85185,driven,661.020,484.987,659.739,637.982,-0.742,-0.480,0
112,1.86853,driven,661.003,484.987,659.709,637.981,-0.748,-0.485,0
113,1.88522,driven,660.980,484.987,659.709,637.981,-0.756,-0.476,0
114,1.9019,driven,660.961,484.986,659.766,637.982,-0.764,-0.448,0
115,1.91858,driven,660.961,484.986,659.766,637.982,-0.764,-0.448,0
116,1.93527,driven,660.980,484.987,659.760,637.982,-0.756,-0.457,0
117,1.95195,driven,661.063,484.988,659.760,637.982,-0.726,-0.488,0
118,1.96863,driven,661.179,484.989,659.760,637.983,-0.682,-0.531,0
119,1.98532,driven,661.179,484.989,659.760,637.983,-0.682,-0.531,0
120,2.002,driven,661.076,484.988,659.838,637.983,-0.720,-0.464,0
121,2.01868,driven,661.076,484.988,659.861,637.983,-0.720,-0.455,0
122,2.03537,driven,661.130,484.989,659.893,637.984,-0.700,-0.463,0
123,2.05205,driven,661.130,484.989,659.924,637.984,-0.700,-0.452,0
124,2.06873,driven,661.145,484.989,659.982,637.984,-0.695,-0.436,0
125,2.08542,driven,661.151,484.989,660.048,637.985,-0.692,-0.413,0
126,2.1021,driven,661.164,484.989,660.048,637.985,-0.688,-0.418,0
127,2.11878,driven,661.164,484.989,660.048,637.985,-0.688,-0.418,0
128,2.13547,driven,661.151,484.989,659.951,637.984,-0.692,-0.449,0
129,2.15215,driven,661.164,484.989,659.951,637.984,-0.688,-0.454,0
130,2.16883,driven,661.164,484.989,659.888,637.984,-0.688,-0.478,0
131,2.18552,driven,661.151,484.989,659.842,637.983,-0.692,-0.490,0
132,2.2022,driven,661.151,484.989,659.842,637.983,-0.692,-0.490,0
133,2.21888,driven,661.139,484.989,659.842,637.983,-0.697,-0.486,0
134,2.23557,driven,661.139,484.989,659.839,637.983,-0.697,-0.487,0
135,2.25225,driven,661.109,484.988,659.839,637.983,-0.708,-0.475,0
136,2.26893,driven,661.109,484.988,659.839,637.983,-0.708,-0.475,0
137,2.28562,driven,661.109,484.988,659.837,637.983,-0.708,-0.476,0
138,2.3023,driven,661.232,484.990,659.834,637.983,-0.662,-0.524,0
139,2.31898,driven,661.164,484.989,659.813,637.983,-0.688,-0.506,0
140,2.33567,driven,661.164,484.989,659.837,637.983,-0.688,-0.497,0
141,2.35235,driven,661.164,484.989,659.837,637.983,-0.688,-0.497,0
142,2.36903,driven,661.060,484.988,659.862,637.983,-0.727,-0.448,0
143,2.38572,driven,661.060,484.988,659.862,637.983,-0.727,-0.448,0
144,2.4024,driven,661.060,484.988,659.863,637.983,-0.727,-0.448,0
145,2.41908,driven,661.060,484.988,659.865,637.983,-0.727,-0.447,0
146,2.43577,driven,661.103,484.988,659.862,637.983,-0.711,-0.464,0
147,2.45245,driven,661.103,484.988,659.944,637.984,-0.711,-0.434,0
148,2.46913,driven,661.039,484.987,659.944,637.984,-0.734,-0.410,0
149,2.48582,driven,661.039,484.987,659.861,637.983,-0.734,-0.441,0
150,2.5025,driven,661.039,484.987,659.861,637.983,-0.734,-0.441,0
151,2.51918,driven,661.039,484.987,659.822,637.983,-0.734,-0.456,0
152,2.53587,driven,661.121,484.988,659.811,637.983,-0.704,-0.491,0
153,2.55255,driven,661.147,484.989,659.811,637.983,-0.694,-0.500,0
154,2.56923,driven,661.147,484.989,659.715,637.982,-0.694,-0.536,0
155,2.58592,driven,661.147,484.989,659.715,637.982,-0.694,-0.536,0
156,2.6026,driven,661.121,484.988,659.715,637.982,-0.704,-0.526,0
157,2.61928,driven,661.059,484.988,659.733,637.982,-0.727,-0.496,0
158,2.63597,driven,661.059,484.988,659.733,637.982,-0.727,-0.496,0
159,2.65265,driven,661.019,484.987,659.764,637.982,-0.742,-0.470,0
160,2.66933,driven,660.961,484.986,659.766,637.982,-0.764,-0.447,0
161,2.68602,driven,660.961,484.986,659.733,637.981,-0.764,-0.460,0
162,2.7027,driven,660.959,484.986,659.716,637.981,-0.764,-0.465,0
163,2.71938,driven,660.959,484.986,659.680,637.981,-0.764,-0.479,0
164,2.73607,driven,660.961,484.986,659.680,637.981,-0.764,-0.480,0
165,2.75275,driven,660.939,484.986,659.680,637.981,-0.772,-0.472,0
166,2.76943,driven,660.939,484.986,659.631,637.981,-0.772,-0.490,0
167,2.78612,driven,660.939,484.986,659.631,637.981,-0.772,-0.490,0
168,2.8028,driven,660.939,484.986,659.625,637.980,-0.772,-0.492,0
169,2.81948,driven,660.939,484.986,659.625,637.980,-0.772,-0.492,0
170,2.83617,driven,661.001,484.987,659.625,637.981,-0.749,-0.515,0
171,2.85285,driven,661.001,484.987,659.686,637.981,-0.749,-0.493,0
172,2.86953,driven,661.046,484.988,659.699,637.982,-0.732,-0.504,0
173,2.88622,driven,661.046,484.988,659.699,637.982,-0.732,-0.505,0
174,2.9029,driven,661.003,484.987,659.699,637.981,-0.748,-0.488,0
175,2.91958,driven,661.037,484.987,659.725,637.982,-0.735,-0.491,0
176,2.93627,driven,661.037,484.987,659.725,637.982,-0.735,-0.491,0
177,2.95295,driven,661.003,484.987,660.315,637.985,-0.748,-0.258,0
178,2.96963,driven,658.380,484.930,661.823,637.892,-1.730,1.289,0
179,2.98632,driven,653.995,484.735,663.607,637.433,-3.374,3.602,0
180,3.003,driven,648.112,484.274,665.936,636.232,-5.584,6.690,0
