frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,655.114,484.797,654.211,637.794,-2.954,-0.338,0,1.80,-2.78
1,0.01668,driven,655.227,484.802,654.207,637.799,-2.912,-0.382,0,1.20,-1.28
2,0.03337,driven,655.227,484.802,654.207,637.799,-2.912,-0.382,0,0.60,-0.27
3,0.05005,driven,655.227,484.802,654.207,637.799,-2.912,-0.382,0,0.00,0.26
4,0.06673,driven,655.227,484.802,654.207,637.799,-2.912,-0.382,0,-0.45,0.08
5,0.08342,driven,655.227,484.802,654.207,637.799,-2.912,-0.382,0,-0.98,-0.41
6,0.1001,driven,655.114,484.797,654.082,637.793,-2.954,-0.387,0,-1.13,-0.73
7,0.11678,driven,655.114,484.797,654.014,637.793,-2.954,-0.412,0,-0.74,-0.46
8,0.13347,driven,655.091,484.795,653.998,637.792,-2.963,-0.409,0,0.14,-0.18
9,0.15015,driven,655.091,484.795,654.014,637.792,-2.963,-0.403,0,0.26,-0.30
10,0.16683,driven,655.125,484.797,654.014,637.793,-2.950,-0.416,0,0.29,0.51
11,0.18352,driven,655.125,484.797,654.025,637.793,-2.950,-0.412,0,-0.03,1.45
12,0.2002,driven,655.108,484.796,654.180,637.794,-2.957,-0.348,0,-0.20,1.77
13,0.21688,driven,655.108,484.796,654.180,637.794,-2.957,-0.347,0,-0.13,1.00
14,0.23357,driven,655.108,484.796,654.209,637.794,-2.957,-0.337,0,-0.18,0.20
15,0.25025,driven,655.089,484.795,654.209,637.793,-2.964,-0.329,0,-0.26,0.31
16,0.26693,driven,655.077,484.795,654.209,637.792,-2.968,-0.325,0,-0.14,-0.08
17,0.28362,driven,655.081,484.795,654.192,637.792,-2.967,-0.333,0,0.08,-0.24
18,0.3003,driven,655.081,484.795,654.192,637.792,-2.967,-0.333,0,-0.22,0.14
19,0.31698,driven,655.077,484.795,654.192,637.792,-2.968,-0.331,0,-0.23,0.31
20,0.33367,driven,655.040,484.793,654.192,637.790,-2.982,-0.318,0,0.11,-0.03
21,0.35035,driven,655.081,484.795,654.203,637.792,-2.967,-0.329,0,0.01,0.37
22,0.36703,driven,655.090,484.795,654.203,637.793,-2.964,-0.332,0,0.29,-0.75
23,0.38372,driven,655.054,484.794,654.203,637.791,-2.977,-0.319,0,0.17,-1.84
24,0.4004,driven,655.130,484.797,654.049,637.794,-2.949,-0.405,0,1.04,-2.84
25,0.41708,driven,655.130,484.797,653.991,637.793,-2.949,-0.427,0,0.64,-2.20
26,0.43377,driven,655.203,484.801,653.983,637.796,-2.921,-0.457,0,-0.30,-0.11
27,0.45045,driven,655.099,484.796,653.892,637.791,-2.960,-0.452,0,-0.89,-0.76
28,0.46713,driven,655.099,484.796,653.886,637.791,-2.960,-0.454,0,-1.09,-1.51
29,0.48382,driven,655.040,484.793,653.670,637.787,-2.982,-0.513,0,-0.41,-0.88
30,0.5005,driven,655.039,484.793,653.670,637.787,-2.983,-0.513,0,-0.36,0.06
