t_s,theta1_deg,omega1_deg_s
5.3333,-18.9702,534.2811
6.6667,-27.4292,495.6022
8.0000,-36.6366,509.6370
9.3333,-31.5166,402.4027
10.6667,-34.1457,448.4639
12.0000,-30.0594,446.7955
13.3333,-36.7257,438.6227
14.6667,-31.8630,430.4446
16.0000,-37.1502,447.3526
17.3333,-31.8129,458.3355
18.6667,-35.5457,430.2493
20.0000,-29.1279,401.2187
21.3333,-29.0661,387.3907
22.6667,-39.6131,445.9940
24.0000,-32.5321,454.9163
25.3333,-37.3483,457.2361
26.6667,-30.1241,418.8929
28.0000,-38.9432,458.0886
29.3333,-31.8215,446.7905
30.6667,-35.0543,430.0428
32.0000,-35.3441,454.8683
33.3333,-37.2063,459.8958
34.6667,-34.7838,431.1977
36.0000,-34.3476,429.9639
37.3333,-33.4463,447.9335
