t_s,theta1_deg,omega1_deg_s
5.0000,-0.5107,2.4352
6.0000,-0.5490,0.0864
7.0000,-0.5839,1.7613
8.0000,19.3278,202.2700
9.0000,-3.7914,275.2876
10.0000,-16.4205,306.7993
11.0000,-16.1210,319.9848
12.0000,-16.5191,355.4572
13.0000,5.0491,372.2180
14.0000,-0.8994,402.5759
15.0000,2.9293,363.0554
16.0000,6.5225,441.7976
17.0000,-6.5254,239.4317
18.0000,-15.7477,351.6318
19.0000,-22.8432,337.9004
20.0000,-13.7330,374.4412
21.0000,-20.3545,448.3518
22.0000,-16.0819,427.3223
23.0000,12.0402,417.9154
24.0000,0.7569,438.8370
25.0000,6.9208,480.0986
26.0000,-26.4608,146.8832
27.0000,-17.1306,396.3850
28.0000,-7.8266,309.8991
29.0000,14.6619,466.2743
30.0000,-7.5792,723.6692
31.0000,3.9311,419.2877
32.0000,9.6442,563.6416
33.0000,-5.8512,398.0622
34.0000,-12.2406,304.1285
35.0000,3.8989,424.9873
36.0000,-27.4864,394.1596
37.0000,-13.2563,367.6847
38.0000,-19.2192,311.5175
39.0000,-19.2910,355.8576
40.0000,-16.6286,459.4190
41.0000,2.7481,412.5513
42.0000,-12.5577,516.9717
43.0000,-1.9813,417.4407
44.0000,13.7320,434.3207
45.0000,14.4262,383.4738
46.0000,13.8633,388.4608
47.0000,7.2327,373.8455
48.0000,12.4050,360.2335
49.0000,13.0763,358.5695
50.0000,12.9096,355.0838
51.0000,9.4484,352.4420
52.0000,8.0321,359.6492
