t_s,theta1_deg,omega1_deg_s
7.5640,-1.0291,-43.4497
8.1814,42.3860,0.6906
9.1000,11.0818,11.4776
10.1150,6.5714,75.7886
11.1348,11.7314,89.6691
12.1653,24.4043,20.9434
13.4540,29.8142,-669.4441
14.1664,41.4543,-64.9505
15.4089,41.6187,-604.7953
16.2021,56.6792,-36.0083
17.0816,2.4165,68.9825
18.1215,11.2091,123.3769
19.1638,14.5260,29.1784
21.1344,14.8019,69.6089
22.2922,65.8631,-271.6902
23.2595,79.0704,-117.7862
24.2538,66.7271,-141.8324
25.1933,57.9789,-27.8069
26.0306,-20.7091,262.6859
27.1466,23.6798,48.1234
29.1606,57.3369,4.1785
30.4575,30.2455,-629.4433
31.1854,54.1060,8.5757
31.7931,-80.0379,97.3791
32.3044,79.5112,-145.2963
33.1494,29.2882,0.6543
35.1740,57.8980,29.1912
36.0154,-21.1144,442.7450
37.1490,24.3403,25.4270
39.0990,12.5973,275.6299
40.4717,19.7193,-699.0582
41.1510,44.5416,59.1084
42.0648,18.6457,409.1752
43.2143,54.3788,-34.4072
43.7261,-79.3049,-56.1919
44.6508,-68.0613,-182.4698
45.6317,-66.8616,-186.3943
46.6021,-60.1607,-266.3036
47.6370,-69.2896,-175.9072
48.6381,-70.4102,-168.1972
49.6457,-71.9690,-150.3474
50.6295,-67.3722,-190.8783
51.6202,-65.0746,-212.9560
