frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,driven,659.815,484.967,656.709,637.935,-1.193,-1.163,0
1,0.01668,driven,659.815,484.967,656.709,637.935,-1.193,-1.163,0
2,0.03337,driven,659.815,484.967,656.709,637.935,-1.193,-1.163,0
3,0.05005,driven,659.737,484.965,656.709,637.935,-1.222,-1.134,0
4,0.06673,driven,659.737,484.965,656.696,637.935,-1.222,-1.139,0
5,0.08342,driven,659.737,484.965,656.696,637.935,-1.222,-1.139,0
6,0.1001,driven,659.723,484.965,656.610,637.933,-1.227,-1.166,0
7,0.11678,driven,659.723,484.965,656.610,637.933,-1.227,-1.166,0
8,0.13347,driven,659.723,484.965,656.610,637.933,-1.227,-1.166,0
9,0.15015,driven,659.723,484.965,656.609,637.933,-1.227,-1.166,0
10,0.16683,driven,659.723,484.965,656.609,637.933,-1.227,-1.166,0
11,0.18352,driven,659.837,484.967,656.660,637.934,-1.184,-1.190,0
12,0.2002,driven,659.838,484.967,656.715,637.935,-1.184,-1.170,0
13,0.21688,driven,659.838,484.967,656.776,637.937,-1.184,-1.146,0
14,0.23357,driven,659.837,484.967,656.845,637.938,-1.184,-1.121,0
15,0.25025,driven,659.646,484.963,656.991,637.940,-1.256,-0.994,0
16,0.26693,driven,659.646,484.963,657.017,637.941,-1.256,-0.984,0
17,0.28362,driven,659.646,484.963,657.017,637.941,-1.256,-0.984,0
18,0.3003,driven,659.602,484.962,657.017,637.940,-1.273,-0.968,0
19,0.31698,driven,659.602,484.962,656.856,637.938,-1.273,-1.028,0
20,0.33367,driven,659.676,484.964,656.848,637.938,-1.245,-1.059,0
21,0.35035,driven,659.570,484.962,656.848,637.937,-1.284,-1.020,0
22,0.36703,driven,659.570,484.962,656.848,637.937,-1.284,-1.020,0
23,0.38372,driven,659.576,484.962,656.868,637.938,-1.282,-1.014,0
24,0.4004,driven,659.576,484.962,657.101,637.942,-1.282,-0.927,0
25,0.41708,driven,659.497,484.960,657.101,637.941,-1.312,-0.897,0
26,0.43377,driven,659.497,484.960,657.101,637.941,-1.312,-0.897,0
27,0.45045,driven,659.495,484.960,657.101,637.941,-1.313,-0.897,0
28,0.46713,driven,659.495,484.960,657.104,637.941,-1.313,-0.896,0
29,0.48382,driven,659.495,484.960,657.104,637.941,-1.313,-0.896,0
30,0.5005,driven,659.495,484.960,657.155,637.942,-1.313,-0.876,0
31,0.51718,driven,659.691,484.964,657.278,637.945,-1.239,-0.904,0
32,0.53387,driven,659.793,484.966,657.278,637.946,-1.201,-0.942,0
33,0.55055,driven,659.793,484.966,657.163,637.944,-1.201,-0.985,0
34,0.56723,driven,659.793,484.966,657.162,637.944,-1.201,-0.985,0
35,0.58392,driven,659.793,484.966,657.163,637.944,-1.201,-0.985,0
36,0.6006,driven,659.661,484.964,657.163,637.943,-1.250,-0.935,0
37,0.61728,driven,659.646,484.963,657.200,637.944,-1.256,-0.916,0
38,0.63397,driven,659.570,484.962,657.200,637.943,-1.285,-0.887,0
39,0.65065,driven,659.570,484.962,657.208,637.943,-1.285,-0.884,0
40,0.66733,driven,659.570,484.962,657.208,637.943,-1.285,-0.884,0
41,0.68402,driven,659.606,484.962,657.241,637.944,-1.271,-0.886,0
42,0.7007,driven,659.606,484.962,657.241,637.944,-1.271,-0.886,0
43,0.71738,driven,659.606,484.962,657.246,637.944,-1.271,-0.884,0
44,0.73407,driven,659.479,484.959,657.246,637.943,-1.319,-0.836,0
45,0.75075,driven,659.378,484.957,657.246,637.942,-1.357,-0.798,0
46,0.76743,driven,659.378,484.957,657.156,637.941,-1.357,-0.832,0
47,0.78412,driven,659.371,484.957,657.156,637.941,-1.359,-0.830,0
48,0.8008,driven,659.371,484.957,657.139,637.941,-1.359,-0.836,0
49,0.81748,driven,659.317,484.956,657.156,637.940,-1.379,-0.809,0
50,0.83417,driven,659.360,484.957,657.212,637.942,-1.363,-0.804,0
51,0.85085,driven,659.360,484.957,657.224,637.942,-1.363,-0.800,0
52,0.86753,driven,659.277,484.955,657.264,637.941,-1.394,-0.754,0
53,0.88422,driven,659.277,484.955,657.264,637.941,-1.394,-0.754,0
54,0.9009,driven,659.345,484.956,657.309,637.943,-1.369,-0.763,0
55,0.91758,driven,659.345,484.956,657.309,637.943,-1.369,-0.763,0
56,0.93427,driven,659.345,484.956,657.264,637.942,-1.369,-0.780,0
57,0.95095,driven,659.496,484.960,657.257,637.943,-1.312,-0.838,0
58,0.96763,driven,659.625,484.963,657.219,637.944,-1.264,-0.901,0
59,0.98432,driven,659.685,484.964,657.219,637.944,-1.242,-0.923,0
60,1.001,driven,659.690,484.964,657.219,637.944,-1.240,-0.925,0
61,1.01768,driven,659.716,484.965,657.215,637.944,-1.230,-0.936,0
62,1.03437,driven,659.716,484.965,657.327,637.946,-1.230,-0.895,0
63,1.05105,driven,659.827,484.967,657.409,637.948,-1.188,-0.906,0
64,1.06773,driven,659.796,484.966,657.409,637.948,-1.200,-0.894,0
65,1.08442,driven,659.796,484.966,657.327,637.947,-1.200,-0.925,0
66,1.1011,driven,659.796,484.966,657.408,637.948,-1.200,-0.895,0
67,1.11778,driven,659.796,484.966,657.408,637.948,-1.200,-0.895,0
68,1.13447,driven,659.681,484.964,657.337,637.946,-1.243,-0.878,0
69,1.15115,driven,659.657,484.963,657.337,637.946,-1.252,-0.869,0
70,1.16783,driven,659.641,484.963,657.337,637.946,-1.258,-0.863,0
71,1.18452,driven,659.626,484.963,657.337,637.946,-1.264,-0.857,0
72,1.2012,driven,659.626,484.963,657.340,637.946,-1.264,-0.856,0
73,1.21788,driven,659.600,484.962,657.340,637.946,-1.273,-0.846,0
74,1.23457,driven,659.641,484.963,657.409,637.947,-1.258,-0.836,0
75,1.25125,driven,659.663,484.964,657.490,637.948,-1.250,-0.814,0
76,1.26793,driven,659.663,484.964,657.409,637.947,-1.250,-0.844,0
77,1.28462,driven,659.571,484.962,657.490,637.947,-1.284,-0.779,0
78,1.3013,driven,659.498,484.960,657.490,637.947,-1.312,-0.752,0
79,1.31798,driven,659.498,484.960,657.459,637.946,-1.312,-0.763,0
80,1.33467,driven,659.405,484.958,657.457,637.945,-1.346,-0.729,0
81,1.35135,driven,659.405,484.958,657.457,637.945,-1.346,-0.729,0
82,1.36803,driven,659.262,484.954,657.422,637.943,-1.400,-0.689,0
83,1.38472,driven,659.262,484.954,657.457,637.944,-1.400,-0.676,0
84,1.4014,driven,659.208,484.953,657.457,637.943,-1.420,-0.656,0
85,1.41808,driven,657.331,484.895,657.626,637.895,-2.124,0.111,0
86,1.43477,driven,655.484,484.815,658.518,637.785,-2.816,1.136,0
87,1.45145,driven,651.680,484.581,659.832,637.363,-4.243,3.054,0
88,1.46813,driven,647.477,484.211,662.137,636.507,-5.823,5.498,0
89,1.48482,driven,640.820,483.384,664.390,634.557,-8.336,8.862,0
90,1.5015,driven,633.130,482.056,666.068,631.468,-11.258,12.432,0
91,1.51818,driven,624.108,479.974,667.423,626.715,-14.726,16.446,0
92,1.53487,driven,611.840,476.193,667.496,618.712,-19.535,21.331,0
93,1.55155,driven,602.123,472.367,667.331,610.776,-23.446,25.226,0
94,1.56823,driven,594.613,468.866,664.016,605.219,-26.550,26.976,0
95,1.58492,driven,589.689,466.293,659.071,602.657,-28.630,26.967,0
96,1.6016,driven,589.689,466.293,655.669,604.335,-28.630,25.546,0
97,1.61828,driven,589.689,466.293,650.812,606.553,-28.630,23.547,0
98,1.63497,driven,593.485,468.296,643.830,612.776,-27.023,19.211,0
99,1.65165,driven,600.435,471.623,636.161,620.394,-24.137,13.503,0
100,1.66833,driven,612.542,476.440,626.022,628.845,-19.256,5.055,0
101,1.68502,driven,626.239,480.518,613.134,632.956,-13.902,-4.913,0
102,1.7017,driven,644.291,483.852,600.471,630.442,-7.024,-16.643,0
103,1.71838,driven,663.000,485.000,591.345,620.184,0.000,-27.926,0
104,1.73507,driven,681.166,483.918,589.850,606.679,6.819,-36.644,0
105,1.75175,driven,697.286,481.109,589.516,589.713,12.949,-44.779,0
106,1.76843,driven,713.166,476.542,592.398,570.478,19.140,-52.123,0
107,1.78512,driven,726.306,471.289,598.752,555.780,24.442,-56.480,0
108,1.8018,driven,739.785,464.337,607.818,541.757,30.123,-59.601,0
109,1.81848,driven,753.177,455.601,619.690,530.369,36.114,-60.746,0
110,1.83517,driven,765.884,445.243,633.279,521.565,42.256,-60.077,0
111,1.85185,driven,778.445,432.406,649.403,514.608,48.985,-57.502,0
112,1.86853,driven,789.177,418.536,666.677,510.203,55.556,-53.192,0
113,1.88522,driven,798.071,403.867,686.275,508.321,61.984,-46.945,0
114,1.9019,driven,805.397,387.964,708.645,506.488,68.544,-39.225,0
115,1.91858,driven,810.285,373.428,733.489,505.759,74.290,-30.128,0
116,1.93527,driven,813.712,358.359,761.809,502.286,80.080,-19.830,0
117,1.95195,driven,815.495,344.416,792.225,495.637,85.345,-8.748,0
118,1.96863,driven,815.985,334.143,823.825,486.942,89.197,2.937,0
119,1.98532,driven,815.995,330.706,854.932,478.668,90.485,14.743,0
120,2.002,driven,815.995,330.706,886.799,466.336,90.485,27.566,0
121,2.01868,driven,815.995,330.705,914.289,447.954,90.485,39.975,0
122,2.03537,driven,815.717,341.307,940.439,429.927,86.513,54.605,0
123,2.05205,driven,813.436,359.895,958.535,408.424,79.495,71.507,0
124,2.06873,driven,808.411,379.588,961.355,375.435,71.879,91.555,0
125,2.08542,driven,802.106,395.707,948.359,350.775,65.393,107.078,0
126,2.1021,driven,793.959,411.112,924.939,332.035,58.864,121.121,0
127,2.11878,driven,784.107,425.500,896.181,321.345,52.330,132.902,0
128,2.13547,driven,773.009,438.334,867.782,318.222,45.973,141.725,0
129,2.15215,driven,758.797,451.298,834.931,318.585,38.765,150.158,0
130,2.16883,driven,740.946,463.656,802.709,323.676,30.627,156.192,0
131,2.18552,driven,720.764,473.677,772.947,329.851,22.182,160.058,0
132,2.2022,driven,695.564,481.495,745.978,337.039,12.289,160.761,0
133,2.21888,driven,666.349,484.963,722.403,342.601,1.254,158.509,0
134,2.23557,driven,637.009,482.776,702.132,344.328,-9.781,154.809,0
135,2.25225,driven,607.750,474.676,686.186,343.311,-21.169,149.159,0
136,2.26893,driven,581.710,461.618,674.913,340.283,-32.094,142.471,0
137,2.28562,driven,559.745,444.904,665.798,334.624,-42.444,136.119,0
138,2.3023,driven,541.972,425.601,658.287,326.204,-52.282,130.515,0
139,2.31898,driven,528.746,405.382,655.086,319.085,-61.339,124.335,0
140,2.33567,driven,519.155,384.130,654.575,312.923,-70.079,117.736,0
141,2.35235,driven,512.790,361.084,655.535,306.013,-79.042,111.097,0
142,2.36903,driven,510.092,337.312,658.842,301.500,-88.010,103.537,0
143,2.38572,driven,510.892,315.499,662.946,298.510,-96.192,96.375,0
144,2.4024,driven,514.079,296.906,667.077,297.712,-103.260,89.698,0
145,2.41908,driven,518.380,282.061,670.578,297.705,-109.050,84.131,0
146,2.43577,driven,522.763,270.824,673.381,297.712,-113.568,79.878,0
147,2.45245,driven,524.504,266.978,674.050,299.303,-115.149,77.803,0
148,2.46913,driven,524.504,266.978,673.592,301.354,-115.149,77.016,0
149,2.48582,driven,524.504,266.978,673.191,303.049,-115.149,76.364,0
150,2.5025,driven,520.989,275.062,670.919,305.558,-111.848,78.503,0
151,2.51918,driven,516.807,286.870,668.156,309.290,-107.155,81.574,0
152,2.53587,driven,512.942,302.139,665.510,313.634,-101.254,85.691,0
153,2.55255,driven,510.380,321.221,663.378,320.469,-94.040,90.281,0
154,2.56923,driven,510.383,342.815,662.715,328.532,-85.947,95.356,0
155,2.58592,driven,514.213,367.657,664.731,340.213,-76.523,100.333,0
156,2.6026,driven,522.790,393.238,670.184,352.201,-66.406,105.558,0
157,2.61928,driven,536.190,417.605,679.944,365.223,-55.978,110.021,0
158,2.63597,driven,553.681,439.044,694.406,378.997,-45.603,113.108,0
159,2.65265,driven,574.828,457.039,714.813,395.288,-35.190,113.803,0
160,2.66933,driven,597.850,470.436,739.804,413.356,-25.202,111.905,0
161,2.68602,driven,623.223,479.739,769.071,433.509,-15.069,107.587,0
162,2.7027,driven,649.516,484.405,799.876,456.104,-5.056,100.659,0
163,2.71938,driven,682.300,483.778,835.295,484.990,7.247,89.546,0
164,2.73607,driven,714.433,476.096,859.571,524.512,19.643,71.552,0
165,2.75275,driven,746.606,460.137,856.502,566.589,33.124,45.912,0
166,2.76943,driven,778.596,432.233,850.694,567.180,49.071,28.114,0
167,2.78612,driven,798.900,402.286,810.246,554.865,62.653,4.253,0
168,2.8028,driven,807.933,381.025,781.655,531.752,71.311,-9.890,0
169,2.81948,driven,812.760,363.318,753.487,504.370,78.189,-22.793,0
170,2.83617,driven,814.961,349.796,729.212,476.509,83.320,-34.087,0
171,2.85285,driven,815.547,343.771,703.995,448.487,85.588,-46.810,0
