t_s,theta1_deg,omega1_deg_s
5.2170,39.5769,-428.2657
5.9734,-14.2590,-657.4322
6.5670,1.8492,-622.5536
7.1584,17.4950,-609.6112
7.8378,-12.6612,-640.6626
8.4377,1.6358,-625.4271
9.0408,11.5789,-615.6842
9.6995,-5.1913,-636.5840
10.3097,2.2718,-631.2786
10.9255,4.9577,-629.7604
11.5707,-4.0811,-633.0171
12.1833,1.1353,-629.6902
12.7989,5.4289,-627.8898
13.4431,-2.4776,-636.3084
14.0645,2.2191,-648.0077
14.6795,1.3959,-622.2978
15.3120,-1.7880,-628.1741
15.9370,1.2316,-645.9425
16.5598,0.9762,-630.5160
17.1897,-2.4678,-632.1414
17.8077,3.1938,-632.9488
18.4346,2.5917,-651.2477
19.0716,-6.3457,-645.0629
19.6776,5.0773,-627.8021
20.3088,3.8921,-651.1579
20.9404,-0.1138,-635.1557
21.5578,0.6741,-637.8762
22.1803,2.6235,-626.1005
22.8140,-4.0256,-635.0592
23.4305,3.6684,-628.8396
24.0563,3.4162,-640.8611
24.6949,-4.6507,-639.8970
25.3150,1.3628,-663.1961
25.9355,0.7026,-636.3397
26.5656,-1.0761,-634.4230
27.1865,2.0341,-632.7243
27.8112,2.3034,-650.6074
28.4422,-3.6748,-653.2818
29.0531,6.9683,-629.1590
29.6870,2.4963,-644.7445
30.3161,-0.7022,-649.1169
30.9265,5.6014,-633.7858
31.5642,1.6816,-646.5978
32.1959,-2.0922,-658.6448
32.8076,2.8310,-628.7736
33.4374,1.4877,-650.7564
34.0715,-5.3308,-641.6015
34.6871,1.6409,-645.8595
35.3105,1.1827,-634.1781
35.9461,-2.8888,-637.2827
36.5589,1.7771,-640.4774
37.1795,5.5569,-640.7039
37.8235,-5.5440,-653.2833
38.4345,5.0761,-648.1973
39.0595,1.4778,-645.5738
39.6912,-1.1503,-640.0424
40.3049,4.7208,-661.2216
40.9342,3.2058,-629.7688
41.5662,-2.7973,-640.5344
