n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.2632,-12.3344,-45.1660,-82.8265,13.6507
1,5.7895,-45.1660,-29.4596,13.6507,62.3584
2,6.3158,-29.4596,-39.2526,62.3584,-47.0300
3,6.8421,-39.2526,-26.5100,-47.0300,154.9909
4,7.3684,-26.5100,-8.6980,154.9909,-163.0598
5,7.8947,-8.6980,-23.7712,-163.0598,131.8108
6,8.4211,-23.7712,-19.7096,131.8108,-32.1317
7,8.9474,-19.7096,-8.8678,-32.1317,-84.0267
8,9.4737,-8.8678,-22.4337,-84.0267,-14.9614
9,10.0000,-22.4337,-25.2150,-14.9614,-33.7420
10,10.5263,-25.2150,-39.8310,-33.7420,173.4084
11,11.0526,-39.8310,1.2300,173.4084,-165.6190
12,11.5789,1.2300,-20.9253,-165.6190,-160.9892
13,12.1053,-20.9253,-21.7754,-160.9892,116.2349
14,12.6316,-21.7754,-47.7069,116.2349,12.5752
15,13.1579,-47.7069,-33.9295,12.5752,85.4662
16,13.6842,-33.9295,-29.4589,85.4662,4.7005
17,14.2105,-29.4589,1.3849,4.7005,-74.3434
18,14.7368,1.3849,-16.3852,-74.3434,-92.5717
19,15.2632,-16.3852,-9.2328,-92.5717,-81.1004
20,15.7895,-9.2328,-12.8582,-81.1004,-46.7753
21,16.3158,-12.8582,-26.8369,-46.7753,-45.7687
22,16.8421,-26.8369,-46.1320,-45.7687,27.8370
23,17.3684,-46.1320,-31.6296,27.8370,48.3405
24,17.8947,-31.6296,-44.4180,48.3405,-34.1531
25,18.4211,-44.4180,-30.0710,-34.1531,151.4566
26,18.9474,-30.0710,-6.1960,151.4566,-163.8568
27,19.4737,-6.1960,-21.9710,-163.8568,158.9666
28,20.0000,-21.9710,-13.9965,158.9666,-116.2488
29,20.5263,-13.9965,-28.2423,-116.2488,98.5150
30,21.0526,-28.2423,-44.6510,98.5150,-32.2917
31,21.5789,-44.6510,-26.5470,-32.2917,165.5931
32,22.1053,-26.5470,-14.8510,165.5931,128.9256
33,22.6316,-14.8510,-40.5790,128.9256,1.9692
34,23.1579,-40.5790,0.0894,1.9692,-40.0467
35,23.6842,0.0894,-28.8776,-40.0467,-47.3899
36,24.2105,-28.8776,-41.1320,-47.3899,26.1481
37,24.7368,-41.1320,-31.6098,26.1481,50.8235
38,25.2632,-31.6098,-41.4171,50.8235,-32.6748
39,25.7895,-41.4171,-30.9840,-32.6748,153.3798
40,26.3158,-30.9840,-8.0738,153.3798,156.5857
41,26.8421,-8.0738,-40.5451,156.5857,163.1201
42,27.3684,-40.5451,-5.7057,163.1201,121.4119
43,27.8947,-5.7057,-51.9410,121.4119,11.1793
44,28.4211,-51.9410,-32.3608,11.1793,95.5004
45,28.9474,-32.3608,-28.6080,95.5004,-4.5274
46,29.4737,-28.6080,-4.7537,-4.5274,-81.9457
47,30.0000,-4.7537,-20.0953,-81.9457,-81.1458
48,30.5263,-20.0953,-39.2630,-81.1458,63.9670
49,31.0526,-39.2630,-25.6676,63.9670,4.0920
50,31.5789,-25.6676,-12.2534,4.0920,-81.1208
51,32.1053,-12.2534,-43.0050,-81.1208,71.1052
52,32.6316,-43.0050,-14.3570,71.1052,-25.8438
53,33.1579,-14.3570,-23.4276,-25.8438,-84.3322
54,33.6842,-23.4276,-39.2230,-84.3322,105.4836
55,34.2105,-39.2230,-13.8051,105.4836,-113.3836
56,34.7368,-13.8051,-30.7445,-113.3836,104.2604
57,35.2632,-30.7445,-46.5387,104.2604,6.5352
58,35.7895,-46.5387,-34.4983,6.5352,90.6863
59,36.3158,-34.4983,-33.8040,90.6863,5.8884
60,36.8421,-33.8040,-2.8236,5.8884,-77.9998
61,37.3684,-2.8236,-45.2329,-77.9998,-92.2741
62,37.8947,-45.2329,-11.0643,-92.2741,-170.5013
63,38.4211,-11.0643,-27.0925,-170.5013,106.7399
64,38.9474,-27.0925,-48.8740,106.7399,-39.3930
65,39.4737,-48.8740,-23.9616,-39.3930,170.0440
