n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,-76.0011,-75.7154,-143.0011,-141.1618
1,6.0000,-75.7154,-73.7376,-141.1618,-144.5838
2,7.0000,-73.7376,-76.2398,-144.5838,-143.0868
3,8.0000,-76.2398,-77.3862,-143.0868,-143.4798
4,9.0000,-77.3862,-75.7696,-143.4798,-144.6317
5,10.0000,-75.7696,-78.6032,-144.6317,-145.9163
6,11.0000,-78.6032,-77.3944,-145.9163,-146.3491
7,12.0000,-77.3944,-78.7322,-146.3491,-143.4961
8,13.0000,-78.7322,-75.7069,-143.4961,-144.7084
9,14.0000,-75.7069,-76.8816,-144.7084,-143.7303
10,15.0000,-76.8816,-74.5918,-143.7303,-143.7316
11,16.0000,-74.5918,-76.4858,-143.7316,-143.1368
12,17.0000,-76.4858,-76.4187,-143.1368,-143.1993
13,18.0000,-76.4187,-77.6706,-143.1993,-149.2793
14,19.0000,-77.6706,-78.2537,-149.2793,-144.2115
15,20.0000,-78.2537,-77.0125,-144.2115,-149.4673
16,21.0000,-77.0125,-79.4469,-149.4673,-146.9682
17,22.0000,-79.4469,-78.3755,-146.9682,-146.5382
18,23.0000,-78.3755,-76.5665,-146.5382,-144.0017
19,24.0000,-76.5665,-78.5440,-144.0017,-148.2529
20,25.0000,-78.5440,-75.9797,-148.2529,-143.0332
21,26.0000,-75.9797,-77.4365,-143.0332,-144.4240
22,27.0000,-77.4365,-78.5819,-144.4240,-144.9036
23,28.0000,-78.5819,-79.2564,-144.9036,-147.0988
24,29.0000,-79.2564,-79.2473,-147.0988,-147.9077
25,30.0000,-79.2473,-80.5299,-147.9077,-149.0603
26,31.0000,-80.5299,-83.2085,-149.0603,-153.2966
27,32.0000,-83.2085,-84.6278,-153.2966,-156.5991
28,33.0000,-84.6278,-81.3180,-156.5991,-153.6572
29,34.0000,-81.3180,-83.1428,-153.6572,-151.0153
30,35.0000,-83.1428,-77.7179,-151.0153,-148.9667
