frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,driven,660.038,484.971,659.169,637.969,-1.109,-0.326,0
1,0.01668,driven,660.038,484.971,659.169,637.969,-1.109,-0.326,0
2,0.03337,driven,660.038,484.971,659.169,637.969,-1.109,-0.326,0
3,0.05005,driven,660.018,484.971,659.169,637.969,-1.117,-0.318,0
4,0.06673,driven,660.018,484.971,659.169,637.969,-1.117,-0.318,0
5,0.08342,driven,660.018,484.971,659.173,637.969,-1.117,-0.317,0
6,0.1001,driven,660.018,484.971,659.070,637.968,-1.117,-0.355,0
7,0.11678,driven,660.018,484.971,659.070,637.968,-1.117,-0.355,0
8,0.13347,driven,660.018,484.971,659.115,637.968,-1.117,-0.338,0
9,0.15015,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0
10,0.16683,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0
11,0.18352,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0
12,0.2002,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0
13,0.21688,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0
14,0.23357,driven,660.041,484.971,659.113,637.969,-1.108,-0.348,0
15,0.25025,driven,660.041,484.971,659.048,637.968,-1.108,-0.372,0
16,0.26693,driven,660.041,484.971,658.997,637.968,-1.108,-0.391,0
17,0.28362,driven,660.056,484.972,658.997,637.968,-1.103,-0.396,0
18,0.3003,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0
19,0.31698,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0
20,0.33367,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0
21,0.35035,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0
22,0.36703,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0
23,0.38372,driven,660.113,484.973,659.054,637.969,-1.081,-0.397,0
24,0.4004,driven,660.153,484.974,659.096,637.970,-1.066,-0.396,0
25,0.41708,driven,660.113,484.973,659.096,637.969,-1.081,-0.381,0
26,0.43377,driven,660.113,484.973,659.157,637.970,-1.081,-0.358,0
27,0.45045,driven,660.060,484.972,659.157,637.969,-1.101,-0.338,0
28,0.46713,driven,660.051,484.972,658.809,637.967,-1.104,-0.465,0
29,0.48382,driven,659.999,484.971,658.740,637.965,-1.124,-0.472,0
30,0.5005,driven,659.769,484.966,658.736,637.962,-1.210,-0.387,0
31,0.51718,driven,659.769,484.966,658.726,637.962,-1.210,-0.391,0
32,0.53387,driven,659.729,484.965,658.726,637.962,-1.225,-0.376,0
33,0.55055,driven,659.769,484.966,658.726,637.962,-1.210,-0.391,0
34,0.56723,driven,659.769,484.966,658.736,637.962,-1.210,-0.387,0
35,0.58392,driven,659.712,484.965,658.821,637.962,-1.231,-0.334,0
36,0.6006,driven,659.712,484.965,658.821,637.962,-1.231,-0.334,0
37,0.61728,driven,659.770,484.966,658.843,637.963,-1.210,-0.347,0
38,0.63397,driven,659.712,484.965,658.926,637.963,-1.231,-0.294,0
39,0.65065,driven,659.691,484.964,658.934,637.962,-1.239,-0.284,0
40,0.66733,driven,659.691,484.964,658.987,637.963,-1.239,-0.264,0
41,0.68402,driven,659.657,484.963,658.987,637.962,-1.252,-0.251,0
42,0.7007,driven,659.638,484.963,658.934,637.961,-1.259,-0.264,0
43,0.71738,driven,659.638,484.963,658.880,637.961,-1.259,-0.284,0
44,0.73407,driven,659.657,484.963,658.828,637.961,-1.252,-0.310,0
45,0.75075,driven,659.734,484.965,658.802,637.962,-1.223,-0.349,0
46,0.76743,driven,659.807,484.967,658.828,637.964,-1.196,-0.366,0
47,0.78412,driven,659.807,484.967,658.828,637.964,-1.196,-0.366,0
48,0.8008,driven,659.845,484.967,658.889,637.964,-1.181,-0.358,0
49,0.81748,driven,659.845,484.967,658.949,637.965,-1.181,-0.336,0
50,0.83417,driven,659.845,484.967,658.949,637.965,-1.181,-0.336,0
51,0.85085,driven,659.788,484.966,658.981,637.964,-1.203,-0.302,0
52,0.86753,driven,659.845,484.967,658.981,637.965,-1.181,-0.324,0
53,0.88422,driven,659.771,484.966,658.930,637.964,-1.209,-0.315,0
54,0.9009,driven,659.734,484.965,658.930,637.963,-1.223,-0.301,0
55,0.91758,driven,659.734,484.965,658.902,637.963,-1.223,-0.312,0
56,0.93427,driven,659.846,484.967,658.902,637.965,-1.181,-0.353,0
57,0.95095,driven,659.846,484.967,659.054,637.965,-1.181,-0.297,0
58,0.96763,driven,659.922,484.969,659.054,637.967,-1.153,-0.325,0
59,0.98432,driven,659.942,484.969,659.017,637.967,-1.145,-0.346,0
60,1.001,driven,659.942,484.969,659.054,637.967,-1.145,-0.332,0
61,1.01768,driven,659.985,484.970,659.031,637.967,-1.129,-0.357,0
62,1.03437,driven,659.997,484.971,659.017,637.967,-1.125,-0.367,0
63,1.05105,driven,659.985,484.970,659.017,637.967,-1.129,-0.363,0
64,1.06773,driven,659.985,484.970,659.027,637.967,-1.129,-0.359,0
65,1.08442,driven,659.886,484.968,659.027,637.966,-1.166,-0.321,0
66,1.1011,driven,659.866,484.968,659.027,637.966,-1.174,-0.314,0
67,1.11778,driven,659.866,484.968,659.042,637.966,-1.174,-0.308,0
68,1.13447,driven,659.811,484.967,659.131,637.965,-1.194,-0.255,0
69,1.15115,driven,659.866,484.968,659.131,637.966,-1.174,-0.275,0
70,1.16783,driven,659.903,484.969,659.182,637.967,-1.160,-0.270,0
71,1.18452,driven,659.942,484.969,659.116,637.967,-1.145,-0.310,0
72,1.2012,driven,659.903,484.969,659.116,637.967,-1.160,-0.295,0
73,1.21788,driven,659.903,484.969,658.978,637.966,-1.160,-0.346,0
74,1.23457,driven,659.903,484.969,658.830,637.965,-1.160,-0.402,0
75,1.25125,driven,659.903,484.969,658.830,637.965,-1.160,-0.402,0
76,1.26793,driven,659.903,484.969,658.830,637.965,-1.160,-0.402,0
77,1.28462,driven,659.903,484.969,658.860,637.965,-1.160,-0.391,0
78,1.3013,driven,659.959,484.970,658.860,637.966,-1.139,-0.412,0
79,1.31798,driven,659.981,484.970,658.860,637.966,-1.131,-0.420,0
80,1.33467,driven,660.585,484.981,657.827,637.956,-0.905,-1.033,0
81,1.35135,driven,663.720,484.998,656.603,637.833,0.269,-2.666,0
82,1.36803,driven,668.949,484.884,654.925,637.240,2.228,-5.259,0
83,1.38472,driven,676.556,484.398,651.935,635.404,5.083,-9.261,0
84,1.4014,driven,684.293,483.511,649.308,632.457,8.000,-13.218,0
85,1.41808,driven,693.578,481.913,647.615,627.846,11.529,-17.482,0
86,1.43477,driven,702.688,479.763,647.556,622.484,15.034,-21.121,0
87,1.45145,driven,712.399,476.806,647.679,615.443,18.836,-25.025,0
88,1.46813,driven,721.678,473.301,650.339,608.651,22.552,-27.792,0
89,1.48482,driven,730.814,469.151,654.154,601.560,26.310,-30.069,0
90,1.5015,driven,739.374,464.574,659.703,595.194,29.946,-31.381,0
91,1.51818,driven,747.276,459.697,666.684,589.751,33.423,-31.786,0
92,1.53487,driven,756.973,452.740,676.055,582.591,37.894,-31.929,0
93,1.55155,driven,767.171,444.059,687.790,574.855,42.911,-31.254,0
94,1.56823,driven,775.019,436.215,700.441,569.808,47.067,-29.172,0
95,1.58492,driven,781.274,429.058,714.065,566.506,50.627,-26.058,0
96,1.6016,driven,785.408,423.789,728.436,565.786,53.135,-21.862,0
97,1.61828,driven,785.408,423.789,741.791,570.440,53.135,-16.564,0
98,1.63497,driven,785.408,423.789,756.872,574.104,53.135,-10.749,0
99,1.65165,driven,783.901,425.766,773.303,578.398,52.204,-3.972,0
100,1.66833,driven,778.459,432.391,790.753,584.896,48.993,4.609,0
101,1.68502,driven,768.598,442.716,809.751,590.077,43.645,15.603,0
102,1.7017,driven,754.129,454.900,828.865,588.405,36.557,29.240,0
103,1.71838,driven,737.029,465.898,839.965,579.093,28.937,42.283,0
104,1.73507,driven,720.505,473.782,843.020,565.429,22.077,53.202,0
105,1.75175,driven,703.737,479.477,841.450,546.141,15.442,64.170,0
106,1.76843,driven,685.935,483.271,831.985,528.862,8.621,72.664,0
107,1.78512,driven,667.907,484.921,818.036,514.420,1.838,78.884,0
108,1.8018,driven,650.129,484.458,801.990,503.095,-4.826,83.003,0
109,1.81848,driven,632.345,481.898,784.655,496.410,-11.558,84.557,0
110,1.83517,driven,615.619,477.479,767.657,494.609,-18.040,83.571,0
111,1.85185,driven,600.450,471.630,751.720,494.578,-24.131,81.374,0
112,1.86853,driven,587.542,465.098,737.662,494.642,-29.551,78.866,0
113,1.88522,driven,577.725,459.032,724.793,501.224,-33.873,73.993,0
114,1.9019,driven,577.725,459.032,720.927,512.905,-33.873,69.384,0
115,1.91858,driven,577.725,459.032,715.121,526.348,-33.873,63.898,0
116,1.93527,driven,578.605,459.618,707.993,541.274,-33.477,57.744,0
117,1.95195,driven,585.098,463.683,703.657,560.393,-30.608,50.795,0
118,1.96863,driven,593.442,468.274,696.975,580.923,-27.041,42.585,0
119,1.98532,driven,606.164,474.052,688.025,603.310,-21.807,32.347,0
120,2.002,driven,622.556,479.558,673.936,623.672,-15.328,19.622,0
121,2.01868,driven,642.552,483.627,654.482,636.161,-7.681,4.472,0
122,2.03537,driven,666.530,484.959,629.800,633.485,1.322,-13.891,0
123,2.05205,driven,687.299,483.058,615.722,618.283,9.138,-27.893,0
124,2.06873,driven,704.141,479.365,606.227,596.931,15.599,-39.789,0
125,2.08542,driven,717.061,475.131,600.942,574.757,20.692,-49.371,0
126,2.1021,driven,726.949,470.995,598.455,554.050,24.706,-57.122,0
127,2.11878,driven,733.624,467.725,597.042,536.676,27.490,-63.214,0
128,2.13547,driven,738.063,465.321,595.825,521.690,29.380,-68.382,0
129,2.15215,driven,738.600,465.017,592.105,509.154,29.612,-73.233,0
130,2.16883,driven,738.600,465.017,589.563,499.612,29.612,-76.932,0
131,2.18552,driven,738.600,465.017,588.009,492.060,29.612,-79.820,0
132,2.2022,driven,734.012,467.522,582.306,487.380,27.654,-82.543,0
133,2.21888,driven,728.551,470.246,576.511,487.360,25.368,-83.578,0
134,2.23557,driven,721.180,473.506,568.810,487.379,22.350,-84.798,0
135,2.25225,driven,711.055,477.258,558.712,491.429,18.305,-84.685,0
136,2.26893,driven,698.123,480.914,546.214,499.158,13.271,-83.152,0
137,2.28562,driven,684.202,483.524,533.445,509.623,7.966,-80.178,0
138,2.3023,driven,668.103,484.915,520.394,524.802,1.911,-74.888,0
139,2.31898,driven,650.279,484.470,508.771,542.646,-4.769,-67.652,0
140,2.33567,driven,631.998,481.826,503.964,565.591,-11.691,-56.806,0
141,2.35235,driven,612.949,476.582,505.350,585.354,-19.095,-44.689,0
142,2.36903,driven,595.985,469.543,511.011,596.776,-25.977,-33.737,0
143,2.38572,driven,581.479,461.473,525.251,603.767,-32.196,-21.562,0
144,2.4024,driven,581.479,461.473,537.078,607.889,-32.196,-16.870,0
145,2.41908,driven,581.479,461.473,546.993,610.536,-32.196,-13.027,0
146,2.43577,driven,582.754,462.268,555.671,612.851,-31.633,-10.196,0
147,2.45245,driven,590.967,466.982,563.395,617.477,-28.087,-10.382,0
148,2.46913,driven,601.418,472.060,570.508,621.905,-23.734,-11.656,0
149,2.48582,driven,613.863,476.895,576.978,625.382,-18.733,-13.950,0
150,2.5025,driven,630.655,481.542,582.727,626.841,-12.205,-18.255,0
151,2.51918,driven,648.708,484.331,590.977,626.021,-5.360,-22.168,0
152,2.53587,driven,666.864,484.951,601.038,623.067,1.447,-25.483,0
153,2.55255,driven,685.641,483.316,613.324,618.146,8.510,-28.207,0
154,2.56923,driven,703.188,479.628,628.643,613.239,15.228,-29.158,0
155,2.58592,driven,718.442,474.602,645.871,609.295,21.246,-28.315,0
156,2.6026,driven,730.320,469.393,665.524,607.995,26.104,-25.056,0
157,2.61928,driven,738.462,465.096,685.558,608.658,29.552,-20.229,0
158,2.63597,driven,740.682,463.812,706.977,613.054,30.512,-12.726,0
159,2.65265,driven,740.682,463.812,730.619,616.481,30.512,-3.771,0
160,2.66933,driven,740.682,463.812,756.729,615.969,30.512,6.021,0
161,2.68602,driven,733.558,467.759,782.850,612.602,27.462,18.794,0
162,2.7027,driven,722.184,473.089,807.520,600.081,22.757,33.900,0
163,2.71938,driven,708.939,477.940,824.061,578.717,17.473,48.801,0
164,2.73607,driven,696.936,481.189,830.031,556.652,12.815,60.447,0
165,2.75275,driven,683.013,483.685,829.584,527.571,7.516,73.332,0
166,2.76943,driven,669.667,484.855,821.834,500.793,2.497,84.020,0
167,2.78612,driven,656.556,484.864,809.437,478.822,-2.414,92.263,0
168,2.8028,driven,643.678,483.775,794.669,459.060,-7.255,99.296,0
169,2.81948,driven,629.981,481.395,778.329,443.954,-12.463,104.165,0
170,2.83617,driven,617.593,478.107,763.091,430.786,-17.264,108.016,0
171,2.85285,driven,606.223,474.075,749.330,419.951,-21.783,110.717,0
172,2.86953,driven,597.325,470.187,738.192,410.477,-25.420,112.971,0
173,2.88622,driven,590.669,466.823,729.446,402.403,-28.213,114.901,0
174,2.9029,driven,590.669,466.823,724.974,393.534,-28.213,118.621,0
175,2.91958,driven,590.669,466.823,720.393,385.700,-28.213,122.020,0
176,2.93627,driven,592.929,468.011,716.373,377.620,-27.257,126.213,0
177,2.95295,driven,601.410,472.056,715.508,370.122,-23.738,131.777,0
178,2.96963,driven,612.362,476.377,715.692,363.542,-19.328,137.518,0
179,2.98632,driven,624.401,480.051,715.942,357.457,-14.612,143.252,0
180,3.003,driven,640.673,483.362,718.050,351.371,-8.391,149.620,0
181,3.01968,driven,657.799,484.912,721.567,345.834,-1.948,155.368,0
182,3.03637,driven,675.213,484.512,725.961,340.173,4.578,160.629,0
183,3.05305,driven,692.655,482.099,731.653,334.152,11.176,165.233,0
184,3.06973,driven,709.610,477.727,738.539,327.487,17.737,169.101,0
185,3.08642,driven,723.307,472.613,747.054,321.468,23.214,171.071,0
186,3.1031,driven,734.060,467.497,757.196,316.257,27.674,171.302,0
187,3.11978,driven,741.570,463.285,769.741,312.901,30.899,169.390,0
188,3.13647,driven,745.077,461.122,782.613,312.798,32.442,165.798,0
189,3.15315,driven,745.077,461.122,795.228,316.574,32.442,160.866,0
190,3.16983,driven,745.077,461.122,809.311,322.258,32.442,155.176,0
191,3.18652,driven,741.896,463.089,823.026,333.371,31.042,147.977,0
192,3.2032,driven,735.415,466.778,835.687,351.216,28.249,139.052,0
193,3.21988,driven,725.905,471.470,845.066,375.503,24.277,128.847,0
194,3.23657,driven,715.995,475.529,851.760,404.981,20.266,117.458,0
195,3.25325,driven,705.592,478.952,854.013,441.801,16.163,104.053,0
196,3.26993,driven,695.573,481.493,848.540,484.653,12.292,88.817,0
197,3.28662,driven,686.104,483.246,832.112,528.968,8.685,72.612,0
198,3.3033,driven,679.440,484.114,802.047,575.638,6.168,53.259,0
199,3.31998,driven,677.866,484.276,757.295,615.043,5.576,31.275,0
200,3.33667,driven,677.866,484.276,703.789,635.064,5.576,9.755,0
201,3.35335,driven,675.322,484.503,632.977,631.527,4.619,-16.067,0
202,3.37003,driven,675.322,484.503,585.946,608.684,4.619,-35.743,0
203,3.38672,driven,672.426,484.709,547.569,573.139,3.532,-54.692,0
204,3.4034,driven,663.867,484.998,518.711,533.358,0.325,-71.574,0
205,3.42008,driven,652.646,484.649,500.031,495.492,-3.880,-85.936,0
206,3.43677,driven,640.435,483.327,489.558,457.930,-8.481,-99.555,0
207,3.45345,driven,630.951,481.606,489.000,424.519,-12.091,-111.908,0
208,3.47013,driven,622.829,479.632,492.953,398.755,-15.222,-121.912,0
209,3.48682,driven,622.829,479.632,506.859,379.833,-15.222,-130.714,0
210,3.5035,driven,622.829,479.632,521.745,364.780,-15.222,-138.648,0
211,3.52018,driven,623.834,479.902,536.493,354.282,-14.832,-145.190,0
212,3.53687,driven,629.399,481.265,553.155,348.616,-12.686,-150.110,0
213,3.55355,driven,638.360,483.003,568.900,346.679,-9.268,-153.000,0
214,3.57023,driven,648.046,484.267,583.052,345.759,-5.609,-154.862,0
215,3.58692,driven,658.146,484.923,596.444,344.916,-1.818,-156.216,0
216,3.6036,driven,666.174,484.967,607.943,343.481,1.189,-157.630,0
217,3.62028,driven,673.273,484.655,618.446,341.816,3.850,-159.001,0
218,3.63697,driven,676.089,484.439,629.610,338.670,4.908,-162.315,0
219,3.65365,driven,676.089,484.439,639.106,335.976,4.908,-166.012,0
220,3.67033,driven,676.089,484.439,650.478,333.598,4.908,-170.364,0
221,3.68702,driven,665.567,484.978,665.778,331.979,0.961,179.921,0
222,3.7037,driven,654.570,484.768,679.100,333.747,-3.158,170.774,0
223,3.72038,driven,642.109,483.567,692.987,339.274,-7.848,160.577,0
224,3.73707,driven,628.678,481.101,708.176,350.376,-12.963,148.695,0
225,3.75375,driven,614.007,476.944,721.094,367.667,-18.676,135.580,0
226,3.77043,driven,600.038,471.444,729.910,390.560,-24.300,121.915,0
227,3.78712,driven,586.471,464.485,733.356,421.662,-30.012,106.254,0
228,3.8038,driven,574.932,457.112,727.901,460.221,-35.142,88.836,0
229,3.82048,driven,567.084,451.202,712.163,499.793,-38.822,71.483,0
230,3.83717,driven,567.084,451.202,691.565,540.160,-38.822,54.449,0
231,3.85385,driven,567.084,451.202,655.910,575.777,-38.822,35.490,0
232,3.87053,driven,573.277,455.930,614.558,603.256,-35.904,15.653,0
233,3.88722,driven,589.727,466.313,567.314,617.663,-28.614,-8.423,0
234,3.9039,driven,613.176,476.660,525.963,602.370,-19.005,-34.751,0
