frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,660.038,484.971,659.169,637.969,-1.109,-0.326,0,0.10,-0.80
1,0.01668,driven,660.038,484.971,659.169,637.969,-1.109,-0.326,0,-0.08,0.06
2,0.03337,driven,660.038,484.971,659.169,637.969,-1.109,-0.326,0,-0.18,0.46
3,0.05005,driven,660.018,484.971,659.169,637.969,-1.117,-0.318,0,-0.20,0.41
4,0.06673,driven,660.018,484.971,659.169,637.969,-1.117,-0.318,0,-0.09,-0.30
5,0.08342,driven,660.018,484.971,659.173,637.969,-1.117,-0.317,0,0.04,-1.04
6,0.1001,driven,660.018,484.971,659.070,637.968,-1.117,-0.355,0,0.00,-0.74
7,0.11678,driven,660.018,484.971,659.070,637.968,-1.117,-0.355,0,0.00,0.00
8,0.13347,driven,660.018,484.971,659.115,637.968,-1.117,-0.338,0,0.00,0.62
9,0.15015,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0,0.00,0.18
10,0.16683,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0,0.00,-0.09
11,0.18352,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0,-0.05,0.05
12,0.2002,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0,0.10,0.02
13,0.21688,driven,660.018,484.971,659.116,637.968,-1.117,-0.338,0,0.22,-0.40
14,0.23357,driven,660.041,484.971,659.113,637.969,-1.108,-0.348,0,0.19,-1.01
15,0.25025,driven,660.041,484.971,659.048,637.968,-1.108,-0.372,0,0.09,-1.16
16,0.26693,driven,660.041,484.971,658.997,637.968,-1.108,-0.391,0,0.19,-0.91
17,0.28362,driven,660.056,484.972,658.997,637.968,-1.103,-0.396,0,0.39,-0.47
18,0.3003,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0,0.32,-0.22
19,0.31698,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0,0.09,-0.09
20,0.33367,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0,-0.12,0.01
21,0.35035,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0,0.04,0.10
22,0.36703,driven,660.084,484.972,658.997,637.968,-1.092,-0.407,0,0.51,0.18
23,0.38372,driven,660.113,484.973,659.054,637.969,-1.081,-0.397,0,0.48,0.31
24,0.4004,driven,660.153,484.974,659.096,637.970,-1.066,-0.396,0,0.22,0.64
25,0.41708,driven,660.113,484.973,659.096,637.969,-1.081,-0.381,0,-0.46,1.77
26,0.43377,driven,660.113,484.973,659.157,637.970,-1.081,-0.358,0,-0.66,-0.11
27,0.45045,driven,660.060,484.972,659.157,637.969,-1.101,-0.338,0,-0.25,-2.97
28,0.46713,driven,660.051,484.972,658.809,637.967,-1.104,-0.465,0,-1.70,-2.26
29,0.48382,driven,659.999,484.971,658.740,637.965,-1.124,-0.472,0,-2.45,0.33
30,0.5005,driven,659.769,484.966,658.736,637.962,-1.210,-0.387,0,-2.54,2.81
31,0.51718,driven,659.769,484.966,658.726,637.962,-1.210,-0.391,0,-1.02,1.03
32,0.53387,driven,659.729,484.965,658.726,637.962,-1.225,-0.376,0,0.56,-0.72
33,0.55055,driven,659.769,484.966,658.726,637.962,-1.210,-0.391,0,-0.02,0.48
34,0.56723,driven,659.769,484.966,658.736,637.962,-1.210,-0.387,0,-0.39,1.23
35,0.58392,driven,659.712,484.965,658.821,637.962,-1.231,-0.334,0,-0.26,1.00
36,0.6006,driven,659.712,484.965,658.821,637.962,-1.231,-0.334,0,0.11,0.74
37,0.61728,driven,659.770,484.966,658.843,637.963,-1.210,-0.347,0,0.02,0.71
38,0.63397,driven,659.712,484.965,658.926,637.963,-1.231,-0.294,0,-0.42,1.55
39,0.65065,driven,659.691,484.964,658.934,637.962,-1.239,-0.284,0,-0.63,1.58
40,0.66733,driven,659.691,484.964,658.987,637.963,-1.239,-0.264,0,-0.37,0.60
41,0.68402,driven,659.657,484.963,658.987,637.962,-1.252,-0.251,0,-0.48,0.08
42,0.7007,driven,659.638,484.963,658.934,637.961,-1.259,-0.264,0,-0.39,-0.85
43,0.71738,driven,659.638,484.963,658.880,637.961,-1.259,-0.284,0,0.33,-1.66
44,0.73407,driven,659.657,484.963,658.828,637.961,-1.252,-0.310,0,1.21,-1.92
45,0.75075,driven,659.734,484.965,658.802,637.962,-1.223,-0.349,0,1.37,-1.59
46,0.76743,driven,659.807,484.967,658.828,637.964,-1.196,-0.366,0,1.10,-0.73
47,0.78412,driven,659.807,484.967,658.828,637.964,-1.196,-0.366,0,0.50,0.45
48,0.8008,driven,659.845,484.967,658.889,637.964,-1.181,-0.358,0,0.34,0.65
49,0.81748,driven,659.845,484.967,658.949,637.965,-1.181,-0.336,0,-0.19,1.10
50,0.83417,driven,659.845,484.967,658.949,637.965,-1.181,-0.336,0,-0.24,0.74
51,0.85085,driven,659.788,484.966,658.981,637.964,-1.203,-0.302,0,-0.23,0.20
52,0.86753,driven,659.845,484.967,658.981,637.965,-1.181,-0.324,0,-0.53,0.25
53,0.88422,driven,659.771,484.966,658.930,637.964,-1.209,-0.315,0,-0.90,0.25
54,0.9009,driven,659.734,484.965,658.930,637.963,-1.223,-0.301,0,-0.31,-0.45
55,0.91758,driven,659.734,484.965,658.902,637.963,-1.223,-0.312,0,0.88,-0.43
56,0.93427,driven,659.846,484.967,658.902,637.965,-1.181,-0.353,0,1.36,-0.01
57,0.95095,driven,659.846,484.967,659.054,637.965,-1.181,-0.297,0,1.22,0.01
58,0.96763,driven,659.922,484.969,659.054,637.967,-1.153,-0.325,0,0.58,-0.11
59,0.98432,driven,659.942,484.969,659.017,637.967,-1.145,-0.346,0,0.65,-0.98
60,1.001,driven,659.942,484.969,659.054,637.967,-1.145,-0.332,0,0.39,-0.48
61,1.01768,driven,659.985,484.970,659.031,637.967,-1.129,-0.357,0,0.41,-0.58
62,1.03437,driven,659.997,484.971,659.017,637.967,-1.125,-0.367,0,0.36,-0.64
63,1.05105,driven,659.985,484.970,659.017,637.967,-1.129,-0.363,0,-0.49,0.59
64,1.06773,driven,659.985,484.970,659.027,637.967,-1.129,-0.359,0,-1.06,1.17
65,1.08442,driven,659.886,484.968,659.027,637.966,-1.166,-0.321,0,-0.98,0.91
66,1.1011,driven,659.866,484.968,659.027,637.966,-1.174,-0.314,0,-0.91,1.38
67,1.11778,driven,659.866,484.968,659.042,637.966,-1.174,-0.308,0,-0.24,1.08
68,1.13447,driven,659.811,484.967,659.131,637.965,-1.194,-0.255,0,0.11,1.10
69,1.15115,driven,659.866,484.968,659.131,637.966,-1.174,-0.275,0,0.86,-0.34
70,1.16783,driven,659.903,484.969,659.182,637.967,-1.160,-0.270,0,0.87,-0.92
71,1.18452,driven,659.942,484.969,659.116,637.967,-1.145,-0.310,0,0.05,-0.71
72,1.2012,driven,659.903,484.969,659.116,637.967,-1.160,-0.295,0,-0.28,-1.94
73,1.21788,driven,659.903,484.969,658.978,637.966,-1.160,-0.346,0,-0.24,-2.25
74,1.23457,driven,659.903,484.969,658.830,637.965,-1.160,-0.402,0,0.08,-2.05
75,1.25125,driven,659.903,484.969,658.830,637.965,-1.160,-0.402,0,-0.11,-0.10
76,1.26793,driven,659.903,484.969,658.830,637.965,-1.160,-0.402,0,0.18,0.38
77,1.28462,driven,659.903,484.969,658.860,637.965,-1.160,-0.391,0,-0.58,2.88
78,1.3013,driven,659.959,484.970,658.860,637.966,-1.139,-0.412,0,-3.01,1.39
79,1.31798,driven,659.981,484.970,658.860,637.966,-1.131,-0.420,0,8.27,-19.41
80,1.33467,driven,660.585,484.981,657.827,637.956,-0.905,-1.033,0,40.31,-61.83
81,1.35135,driven,663.720,484.998,656.603,637.833,0.269,-2.666,0,94.45,-132.21
82,1.36803,driven,668.949,484.884,654.925,637.240,2.228,-5.259,0,142.11,-195.92
83,1.38472,driven,676.556,484.398,651.935,635.404,5.083,-9.261,0,175.70,-240.84
84,1.4014,driven,684.293,483.511,649.308,632.457,8.000,-13.218,0,195.89,-249.25
85,1.41808,driven,693.578,481.913,647.615,627.846,11.529,-17.482,0,209.90,-242.39
86,1.43477,driven,702.688,479.763,647.556,622.484,15.034,-21.121,0,221.68,-227.48
87,1.45145,driven,712.399,476.806,647.679,615.443,18.836,-25.025,0,224.48,-197.62
88,1.46813,driven,721.678,473.301,650.339,608.651,22.552,-27.792,0,226.23,-158.27
89,1.48482,driven,730.814,469.151,654.154,601.560,26.310,-30.069,0,214.89,-100.72
90,1.5015,driven,739.374,464.574,659.703,595.194,29.946,-31.381,0,216.69,-57.03
91,1.51818,driven,747.276,459.697,666.684,589.751,33.423,-31.786,0,245.97,-19.23
92,1.53487,driven,756.973,452.740,676.055,582.591,37.894,-31.929,0,276.55,21.56
93,1.55155,driven,767.171,444.059,687.790,574.855,42.911,-31.254,0,279.43,79.52
94,1.56823,driven,775.019,436.215,700.441,569.808,47.067,-29.172,0,246.23,152.49
95,1.58492,driven,781.274,429.058,714.065,566.506,50.627,-26.058,0,166.93,224.17
96,1.6016,driven,785.408,423.789,728.436,565.786,53.135,-21.862,0,82.69,281.87
97,1.61828,driven,785.408,423.789,741.791,570.440,53.135,-16.564,0,15.06,328.58
98,1.63497,driven,785.408,423.789,756.872,574.104,53.135,-10.749,0,-42.33,377.64
99,1.65165,driven,783.901,425.766,773.303,578.398,52.204,-3.972,0,-121.65,457.18
100,1.66833,driven,778.459,432.391,790.753,584.896,48.993,4.609,0,-255.70,599.52
101,1.68502,driven,768.598,442.716,809.751,590.077,43.645,15.603,0,-379.91,742.44
102,1.7017,driven,754.129,454.900,828.865,588.405,36.557,29.240,0,-439.57,786.05
103,1.71838,driven,737.029,465.898,839.965,579.093,28.937,42.283,0,-438.04,748.59
104,1.73507,driven,720.505,473.782,843.020,565.429,22.077,53.202,0,-412.69,662.96
105,1.75175,driven,703.737,479.477,841.450,546.141,15.442,64.170,0,-401.03,570.56
106,1.76843,driven,685.935,483.271,831.985,528.862,8.621,72.664,0,-404.59,456.79
107,1.78512,driven,667.907,484.921,818.036,514.420,1.838,78.884,0,-405.95,308.68
108,1.8018,driven,650.129,484.458,801.990,503.095,-4.826,83.003,0,-402.69,162.09
109,1.81848,driven,632.345,481.898,784.655,496.410,-11.558,84.557,0,-396.48,15.07
110,1.83517,driven,615.619,477.479,767.657,494.609,-18.040,83.571,0,-380.69,-84.26
111,1.85185,driven,600.450,471.630,751.720,494.578,-24.131,81.374,0,-362.50,-162.03
112,1.86853,driven,587.542,465.098,737.662,494.642,-29.551,78.866,0,-270.00,-219.85
113,1.88522,driven,577.725,459.032,724.793,501.224,-33.873,73.993,0,-134.13,-274.22
114,1.9019,driven,577.725,459.032,720.927,512.905,-33.873,69.384,0,-28.68,-315.92
115,1.91858,driven,577.725,459.032,715.121,526.348,-33.873,63.898,0,44.37,-340.49
116,1.93527,driven,578.605,459.618,707.993,541.274,-33.477,57.744,0,90.80,-390.00
117,1.95195,driven,585.098,463.683,703.657,560.393,-30.608,50.795,0,184.07,-451.63
118,1.96863,driven,593.442,468.274,696.975,580.923,-27.041,42.585,0,273.64,-551.17
119,1.98532,driven,606.164,474.052,688.025,603.310,-21.807,32.347,0,344.93,-680.30
120,2.002,driven,622.556,479.558,673.936,623.672,-15.328,19.622,0,438.99,-872.99
