stem,x_param,theta1_deg,omega1_deg_s
3.2V_0.9Hz,0.9000,-27.1350,-1.2308
3.2V_0.9Hz,0.9000,-27.2481,2.9552
3.2V_0.9Hz,0.9000,-27.1350,5.2477
3.2V_0.9Hz,0.9000,-27.0197,0.5469
3.2V_0.9Hz,0.9000,-27.0213,3.7385
3.2V_0.9Hz,0.9000,27.0545,221.8910
3.2V_0.9Hz,0.9000,71.9782,786.8482
3.2V_0.9Hz,0.9000,35.3643,574.7292
3.2V_0.9Hz,0.9000,45.4127,677.6308
3.2V_0.9Hz,0.9000,41.1586,605.5942
3.2V_0.9Hz,0.9000,48.1177,684.5841
3.2V_0.9Hz,0.9000,43.7182,659.3659
3.2V_0.9Hz,0.9000,47.0004,658.5809
3.2V_0.9Hz,0.9000,44.1821,657.2827
3.2V_0.9Hz,0.9000,45.8726,669.8586
3.2V_0.9Hz,0.9000,40.7463,625.1948
3.2V_0.9Hz,0.9000,47.4155,680.2531
3.2V_0.9Hz,0.9000,43.1536,656.9659
3.2V_0.9Hz,0.9000,41.0915,627.8566
3.2V_0.9Hz,0.9000,43.4698,650.5350
3.2V_0.9Hz,0.9000,42.0049,624.3104
3.2V_0.9Hz,0.9000,42.1952,640.4252
3.2V_0.9Hz,0.9000,41.4081,645.3592
3.2V_0.9Hz,0.9000,40.9697,639.3257
3.2V_0.9Hz,0.9000,40.6026,605.8588
3.2V_0.9Hz,0.9000,42.4208,653.9636
3.2V_0.9Hz,0.9000,42.8699,652.1380
3.2V_0.9Hz,0.9000,41.4119,633.8088
3.2V_0.9Hz,0.9000,44.6884,662.6086
3.2V_0.9Hz,0.9000,42.7848,649.4612
3.2V_0.9Hz,0.9000,41.6114,661.5654
3.2V_0.9Hz,0.9000,43.6635,655.6414
3.2V_0.9Hz,0.9000,43.6135,663.5242
3.2V_0.9Hz,0.9000,46.3092,686.3763
3.2V_0.9Hz,0.9000,44.9709,660.4902
3.2V_0.9Hz,0.9000,45.0335,675.6493
3.2V_0.9Hz,0.9000,46.7899,701.1748
3.2V_0.9Hz,0.9000,47.4806,694.5274
3.2V_0.9Hz,0.9000,46.2440,702.5121
3.2V_0.9Hz,0.9000,43.6816,663.0230
3.2V_0.9Hz,0.9000,45.9194,705.5173
3.2V_0.9Hz,0.9000,47.9781,713.6493
3.2V_0.9Hz,0.9000,43.5944,655.4324
3.2V_0.9Hz,0.9000,46.0491,695.8947
3.2V_0.9Hz,0.9000,46.9549,704.1067
3.2V_0.9Hz,0.9000,42.4367,664.7593
3.2V_0.9Hz,0.9000,43.8854,668.2431
3.2V_0.9Hz,0.9000,43.9600,679.0545
3.2V_0.9Hz,0.9000,45.9431,697.5753
3.2V_0.9Hz,0.9000,44.0774,671.1518
3.2V_0.9Hz,0.9000,44.6040,674.1234
3.2V_0.9Hz,0.9000,40.9609,645.6128
3.2V_0.9Hz,0.9000,43.1015,646.3563
3.2V_0.9Hz,0.9000,45.4468,681.5095
3.2V_0.9Hz,0.9000,44.0045,678.4844
3.2V_0.9Hz,0.9000,45.9249,667.7271
3.2V_0.9Hz,0.9000,45.0859,671.9885
3.2V_0.9Hz,0.9000,46.9623,696.9114
3.2V_0.9Hz,0.9000,45.7900,695.7785
3.2V_0.9Hz,0.9000,42.8071,663.2014
3.2V_0.9Hz,0.9000,42.4874,636.9386
3.2V_0.9Hz,0.9000,48.8011,709.3968
3.2V_0.9Hz,0.9000,43.9585,663.8243
3.2V_0.9Hz,0.9000,45.5462,691.5427
3.2V_0.9Hz,0.9000,47.0016,691.8093
3.2V_0.9Hz,0.9000,34.8536,586.2234
3.2V_0.9Hz,0.9000,45.9681,672.3957
3.2V_0.9Hz,0.9000,43.6599,671.1139
3.2V_0.9Hz,0.9000,41.7977,665.0645
3.2V_0.9Hz,0.9000,37.5656,599.8064
3.2V_0.9Hz,0.9000,41.6493,685.8407
3.2V_0.9Hz,0.9000,42.3653,647.8818
