stem,f_drive_hz,v_drill_v,loops,net_turns,D2,theta1_rms,freq_ratio,slip,lambda1
3.2V_0.9Hz,0.9,3.2,0.0000,0.3235,2.6637,49.5606,0.9398,-0.0542,0.4513
3.2V_0.91Hz,0.91,3.2,0.0000,0.0438,1.2711,50.0245,1.0040,0.0037,0.6746
3.2V_0.92Hz,0.92,3.2,0.0000,0.6482,1.2735,47.8298,0.9909,-0.0083,0.3117
3.2V_0.93Hz,0.93,3.2,0.0000,0.0806,1.2846,45.7438,1.0005,0.0005,0.4879
3.2V_0.94Hz,0.94,3.2,26.0000,8.4941,1.8833,49.6142,0.9961,-0.0037,0.5888
3.2V_0.95Hz,0.95,3.2,40.0000,-7.0434,2.3383,52.0334,1.0012,0.0012,0.6060
3.2V_0.96Hz,0.96,3.2,34.0000,-1.3012,2.4217,51.3834,1.0072,0.0069,0.5219
3.2V_0.97Hz,0.97,3.2,53.0000,-4.2833,2.4201,49.2415,1.0058,0.0056,0.6619
3.2V_0.98Hz,0.98,3.2,30.0000,3.9267,2.6550,46.7757,1.0003,0.0003,0.5568
3.2V_0.99Hz,0.99,3.2,34.0000,6.1806,3.0161,48.5030,1.0055,0.0054,0.5745
3.2V_1.00Hz,1,3.2,46.0000,-8.5581,2.6975,46.3315,1.0019,0.0019,0.5782
3.2V_1.09Hz,1.09,3.2,34.0000,8.5957,3.0278,45.4640,1.0094,0.0103,0.5352
3.2V_1.15Hz,1.15,3.2,30.0000,1.4462,3.4699,47.3711,1.0011,0.0013,0.7090
3.2V_1.16Hz,1.16,3.2,64.0000,9.2429,3.0635,46.5938,1.0010,0.0012,0.8052
3.2V_1.17Hz,1.17,3.2,59.0000,-16.8211,3.0710,47.4119,1.0024,0.0028,0.6783
3.2V_1.18Hz,1.18,3.2,34.0000,-4.1532,3.1207,47.6307,0.9966,-0.0040,0.7263
3.2V_1.19Hz,1.19,3.2,77.0000,0.8798,3.1305,44.7424,1.0022,0.0026,0.7050
3.2V_1.20Hz,1.2,3.2,64.0000,7.3856,3.0161,42.3169,1.0013,0.0016,0.7176
3.2V_1.21Hz,1.21,3.2,45.0000,7.3648,2.9980,43.3201,1.0030,0.0037,0.6121
3.2V_1.22Hz,1.22,3.2,51.0000,-1.2181,3.2564,41.4387,1.0008,0.0009,0.6221
3.2V_1.23Hz,1.23,3.2,72.0000,9.8843,2.9159,44.2523,0.9986,-0.0017,0.6931
3.2V_1.24Hz,1.24,3.2,26.0000,-7.5104,3.2575,43.6750,1.0002,0.0002,0.6953
3.2V_1.25Hz,1.25,3.2,44.0000,2.5756,2.9427,43.8427,1.0032,0.0040,0.6896
3.2V_1.26Hz,1.26,3.2,41.0000,-8.1517,2.8305,42.5266,1.0011,0.0014,0.6599
3.2V_1.27Hz,1.27,3.2,46.0000,-4.2065,2.9924,42.8021,0.9991,-0.0011,0.7285
3.2V_1.28Hz,1.28,3.2,8.0000,-2.8520,3.1535,38.6992,1.0011,0.0015,0.6338
3.2V_1.29Hz,1.29,3.2,6.0000,0.5038,3.0226,38.0188,1.0008,0.0010,0.6448
3.2V_1.30Hz,1.3,3.2,1.0000,1.2137,3.0025,37.3380,1.0011,0.0014,0.5718
3.2V_1.31Hz,1.31,3.2,8.0000,-0.1614,2.9729,36.3693,1.0018,0.0023,0.8592
3.2V_1.32Hz,1.32,3.2,10.0000,2.2270,2.9122,36.9540,1.0046,0.0060,0.5853
3.2V_1.33Hz_1,1.33,3.2,2.0000,-2.2120,2.8498,35.1599,1.0001,0.0001,1.1183
3.2V_1.33Hz_2,1.33,3.2,0.0000,0.4310,2.7731,36.8736,1.0040,0.0054,1.2815
3.2V_1.34Hz,1.34,3.2,0.0000,0.0672,1.4106,38.3498,1.0014,0.0019,0.6282
