stem,f_drive_hz,v_drill_v,theta1_rms_deg,theta1_peak_deg,omega1_rms_deg_s,theta2_rms_deg,omega2_rms_deg_s,resp_freq_hz,freq_ratio
3.2V_0.9Hz,0.9,3.2,49.5606,104.8690,340.0483,86.0007,1049.1645,0.8946,0.9940
3.2V_0.91Hz,0.91,3.2,50.0245,82.7487,318.5119,97.9358,636.9555,0.9154,1.0060
3.2V_0.92Hz,0.92,3.2,47.8298,78.5405,308.2124,95.1010,621.3579,0.9135,0.9929
3.2V_0.93Hz,0.93,3.2,45.7438,75.6884,297.9791,96.7467,625.2222,0.9295,0.9995
3.2V_0.94Hz,0.94,3.2,49.6142,91.9368,319.4417,113.5163,711.5103,0.9354,0.9951
3.2V_0.95Hz,0.95,3.2,52.0334,94.6844,335.7479,113.6914,727.1675,0.9516,1.0017
3.2V_0.96Hz,0.96,3.2,51.3834,92.2108,336.0549,110.5785,726.0030,0.9563,0.9962
3.2V_0.97Hz,0.97,3.2,49.2415,90.4308,327.6607,109.6664,726.3105,0.9662,0.9961
3.2V_0.98Hz,0.98,3.2,46.7757,90.0360,311.6788,108.2689,679.3973,0.9812,1.0012
3.2V_0.99Hz,0.99,3.2,48.5030,90.9039,322.1903,106.9963,673.8460,0.9975,1.0076
3.2V_1.00Hz,1,3.2,46.3315,88.0091,315.7934,109.6241,699.2388,1.0029,1.0029
3.2V_1.09Hz,1.09,3.2,45.4640,85.3700,332.8469,102.5865,717.6004,1.0809,0.9916
3.2V_1.15Hz,1.15,3.2,47.3711,84.3564,353.2839,98.6372,633.1142,1.1489,0.9990
3.2V_1.16Hz,1.16,3.2,46.5938,80.4057,347.6959,99.7876,592.0335,1.1625,1.0021
3.2V_1.17Hz,1.17,3.2,47.4119,81.6750,355.8913,98.0925,580.3475,1.1743,1.0037
3.2V_1.18Hz,1.18,3.2,47.6307,81.2594,360.7821,94.4601,598.3779,1.1770,0.9974
3.2V_1.19Hz,1.19,3.2,44.7424,78.6835,343.1097,96.5476,594.8788,1.1938,1.0032
3.2V_1.20Hz,1.2,3.2,42.3169,76.3491,328.7911,101.6620,596.5435,1.2032,1.0026
3.2V_1.21Hz,1.21,3.2,43.3201,75.1083,338.6063,91.0441,595.4162,1.2049,0.9957
3.2V_1.22Hz,1.22,3.2,41.4387,73.3568,327.2201,94.1267,577.9098,1.2217,1.0014
3.2V_1.23Hz,1.23,3.2,44.2523,78.5356,349.6443,98.8530,597.1063,1.2285,0.9987
3.2V_1.24Hz,1.24,3.2,43.6750,77.8237,348.6462,93.6069,600.8540,1.2406,1.0004
3.2V_1.25Hz,1.25,3.2,43.8427,75.6809,351.4256,87.5244,584.1360,1.2474,0.9979
3.2V_1.26Hz,1.26,3.2,42.5266,72.7373,344.3287,84.7301,586.5490,1.2625,1.0020
3.2V_1.27Hz,1.27,3.2,42.8021,73.4581,348.6796,85.6455,576.0420,1.2687,0.9990
3.2V_1.28Hz,1.28,3.2,38.6992,76.6108,331.9533,92.3413,907.9353,1.2827,1.0021
3.2V_1.29Hz,1.29,3.2,38.0188,75.0315,332.3336,91.9178,919.9965,1.2919,1.0015
3.2V_1.30Hz,1.3,3.2,37.3380,72.8534,328.8222,86.8996,843.6354,1.3024,1.0019
3.2V_1.31Hz,1.31,3.2,36.3693,74.1783,322.5773,91.7152,854.7280,1.3133,1.0025
3.2V_1.32Hz,1.32,3.2,36.9540,74.2615,329.2667,89.0817,855.5892,1.3174,0.9980
3.2V_1.33Hz_1,1.33,3.2,35.1599,66.9242,315.4312,86.5611,827.7790,1.3323,1.0017
3.2V_1.33Hz_2,1.33,3.2,36.8736,70.4301,332.2946,82.7479,782.0388,1.3378,1.0058
3.2V_1.34Hz,1.34,3.2,38.3498,59.8310,334.0238,67.3455,577.7205,1.3432,1.0024
