stem,f_drive_hz,v_drill_v,arm,net_turns,total_turns,turns_pos,turns_neg,net_angle_deg,peak_abs_angle_deg,path_turns,omega_net_turns,cross_check_diff_turns,suspect
3.2V_0.9Hz,0.9,3.2,upper,0.1433,0,0,0,51.58,137.77,68.7739,0.1435,0.0002,0
3.2V_0.9Hz,0.9,3.2,lower_abs,0.3019,0,0,0,108.68,273.78,201.1784,0.2979,0.0040,0
3.2V_0.9Hz,0.9,3.2,lower_rel,0.1586,0,0,0,57.10,220.09,199.3267,0.1544,0.0042,0
3.2V_0.91Hz,0.91,3.2,upper,0.1127,0,0,0,40.58,94.08,53.0344,0.1127,0.0000,0
3.2V_0.91Hz,0.91,3.2,lower_abs,0.2485,0,0,0,89.45,143.62,89.7269,0.2481,0.0004,0
3.2V_0.91Hz,0.91,3.2,lower_rel,0.1358,0,0,0,48.87,101.97,77.5768,0.1354,0.0004,0
3.2V_0.92Hz,0.92,3.2,upper,0.1583,0,0,0,56.98,93.71,50.5962,0.1581,0.0001,0
3.2V_0.92Hz,0.92,3.2,lower_abs,0.3485,0,0,0,125.45,182.10,86.3146,0.3484,0.0001,0
3.2V_0.92Hz,0.92,3.2,lower_rel,0.1902,0,0,0,68.46,144.98,74.8079,0.1903,0.0001,0
3.2V_0.93Hz,0.93,3.2,upper,0.0099,0,0,0,3.57,87.68,45.7637,0.0095,0.0004,0
3.2V_0.93Hz,0.93,3.2,lower_abs,-0.0946,0,0,0,-34.06,150.93,81.5637,-0.0940,0.0006,0
3.2V_0.93Hz,0.93,3.2,lower_rel,-0.1045,0,0,0,-37.63,105.79,66.9817,-0.1035,0.0010,0
3.2V_0.94Hz,0.94,3.2,upper,0.0799,0,0,0,28.78,103.46,53.9456,0.0799,0.0000,0
3.2V_0.94Hz,0.94,3.2,lower_abs,8.7436,26,17,9,3147.70,3147.70,113.4688,8.7461,0.0025,0
3.2V_0.94Hz,0.94,3.2,lower_rel,8.6637,26,17,9,3118.92,3118.92,99.4942,8.6662,0.0025,0
3.2V_0.95Hz,0.95,3.2,upper,0.0075,0,0,0,2.71,107.82,56.8843,0.0072,0.0003,0
3.2V_0.95Hz,0.95,3.2,lower_abs,-7.1281,40,16,24,-2566.12,3059.55,120.0381,-7.1287,0.0006,0
3.2V_0.95Hz,0.95,3.2,lower_rel,-7.1356,40,16,24,-2568.83,3079.49,113.2142,-7.1360,0.0003,0
3.2V_0.96Hz,0.96,3.2,upper,0.0616,0,0,0,22.19,110.37,51.1276,0.0622,0.0006,0
3.2V_0.96Hz,0.96,3.2,lower_abs,-1.8272,40,19,21,-657.78,1602.31,106.9686,-1.8291,0.0019,0
3.2V_0.96Hz,0.96,3.2,lower_rel,-1.8888,40,19,21,-679.97,1563.85,103.4361,-1.8913,0.0025,0
3.2V_0.97Hz,0.97,3.2,upper,0.1719,0,0,0,61.88,106.54,66.9769,0.1717,0.0002,0
3.2V_0.97Hz,0.97,3.2,lower_abs,-4.5819,53,24,29,-1649.47,2328.55,144.0923,-4.5828,0.0009,0
3.2V_0.97Hz,0.97,3.2,lower_rel,-4.7537,53,24,29,-1711.35,2296.35,137.7954,-4.7545,0.0008,0
3.2V_0.98Hz,0.98,3.2,upper,-0.1409,0,0,0,-50.73,95.78,47.4251,-0.1408,0.0001,0
3.2V_0.98Hz,0.98,3.2,lower_abs,3.6230,30,17,13,1304.28,1984.00,100.9219,3.6240,0.0010,0
3.2V_0.98Hz,0.98,3.2,lower_rel,3.7639,30,17,13,1355.00,1957.46,96.8449,3.7648,0.0010,0
3.2V_0.99Hz,0.99,3.2,upper,-0.1277,0,0,0,-45.96,104.95,47.2549,-0.1276,0.0001,0
3.2V_0.99Hz,0.99,3.2,lower_abs,6.4990,34,20,14,2339.62,4501.54,96.5441,6.5004,0.0014,0
3.2V_0.99Hz,0.99,3.2,lower_rel,6.6266,34,20,14,2385.58,4473.19,98.8780,6.6280,0.0014,0
3.2V_1.00Hz,1,3.2,upper,-0.0167,0,0,0,-6.03,100.92,52.8813,-0.0166,0.0001,0
3.2V_1.00Hz,1,3.2,lower_abs,-8.3483,46,19,27,-3005.37,3029.53,114.5334,-8.3494,0.0012,0
3.2V_1.00Hz,1,3.2,lower_rel,-8.3315,46,19,27,-2999.35,3000.78,109.4906,-8.3328,0.0013,0
3.2V_1.09Hz,1.09,3.2,upper,0.0135,0,0,0,4.84,137.73,36.6634,0.0135,0.0001,0
3.2V_1.09Hz,1.09,3.2,lower_abs,13.6336,37,25,12,4908.09,4914.31,80.3677,13.6360,0.0024,0
3.2V_1.09Hz,1.09,3.2,lower_rel,13.6201,37,25,12,4903.25,4950.64,84.8240,13.6225,0.0024,0
3.2V_1.15Hz,1.15,3.2,upper,-0.0390,0,0,0,-14.04,94.35,77.9026,-0.0388,0.0002,0
3.2V_1.15Hz,1.15,3.2,lower_abs,3.9846,62,33,29,1434.45,4476.27,135.1952,3.9850,0.0004,0
3.2V_1.15Hz,1.15,3.2,lower_rel,4.0236,62,33,29,1448.49,4470.93,160.0298,4.0239,0.0003,0
3.2V_1.16Hz,1.16,3.2,upper,0.0998,0,0,0,35.94,93.87,81.8326,0.0998,0.0001,0
3.2V_1.16Hz,1.16,3.2,lower_abs,9.0973,64,37,27,3275.01,7695.69,132.8200,9.0991,0.0019,0
3.2V_1.16Hz,1.16,3.2,lower_rel,8.9974,65,37,28,3239.07,7716.02,161.3374,8.9994,0.0020,0
3.2V_1.17Hz,1.17,3.2,upper,0.0912,0,0,0,32.82,89.09,88.0567,0.0913,0.0001,0
3.2V_1.17Hz,1.17,3.2,lower_abs,-14.7826,61,23,38,-5321.74,6253.55,137.5986,-14.7856,0.0030,0
3.2V_1.17Hz,1.17,3.2,lower_rel,-14.8738,61,23,38,-5354.55,6231.61,171.9124,-14.8769,0.0031,0
