stem,f_drive_hz,v_drill_v,spectral_entropy,peak_freq_hz
3.2V_0.9Hz,0.9,3.2,0.4681,0.8743
3.2V_0.91Hz,0.91,3.2,0.2237,0.8743
3.2V_0.92Hz,0.92,3.2,0.2850,0.8743
3.2V_0.93Hz,0.93,3.2,0.1042,0.8743
3.2V_0.94Hz,0.94,3.2,0.4661,0.9992
3.2V_0.95Hz,0.95,3.2,0.4946,0.9992
3.2V_0.96Hz,0.96,3.2,0.5216,0.9992
3.2V_0.97Hz,0.97,3.2,0.5477,0.9992
3.2V_0.98Hz,0.98,3.2,0.5058,0.9992
3.2V_0.99Hz,0.99,3.2,0.5641,0.9992
3.2V_1.00Hz,1,3.2,0.5164,0.9992
3.2V_1.09Hz,1.09,3.2,0.5187,0.4996
3.2V_1.15Hz,1.15,3.2,0.6399,0.3747
3.2V_1.16Hz,1.16,3.2,0.6326,1.1241
3.2V_1.17Hz,1.17,3.2,0.6578,1.1241
3.2V_1.18Hz,1.18,3.2,0.6637,1.1241
3.2V_1.19Hz,1.19,3.2,0.6583,0.3747
3.2V_1.20Hz,1.2,3.2,0.6203,0.2498
3.2V_1.21Hz,1.21,3.2,0.6447,1.2490
3.2V_1.22Hz,1.22,3.2,0.6175,1.2490
3.2V_1.23Hz,1.23,3.2,0.6681,0.2498
3.2V_1.24Hz,1.24,3.2,0.6347,1.2490
3.2V_1.25Hz,1.25,3.2,0.6391,1.2490
3.2V_1.26Hz,1.26,3.2,0.5902,1.2490
3.2V_1.27Hz,1.27,3.2,0.6299,1.2490
3.2V_1.28Hz,1.28,3.2,0.7085,1.2490
3.2V_1.29Hz,1.29,3.2,0.5905,1.2490
3.2V_1.30Hz,1.3,3.2,0.4870,1.2490
3.2V_1.31Hz,1.31,3.2,0.5661,1.2490
3.2V_1.32Hz,1.32,3.2,0.5626,1.3739
3.2V_1.33Hz_1,1.33,3.2,0.4869,1.3739
3.2V_1.33Hz_2,1.33,3.2,0.4327,1.3739
3.2V_1.34Hz,1.34,3.2,0.1557,1.3739
