t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.3763,68.7214,-251.7599,113.5098,279.9700
6.4516,67.2770,-253.0168,115.5263,258.5347
7.5269,65.4109,-256.8834,110.1165,239.5525
8.6022,69.1391,-264.0392,114.8412,295.8206
9.6774,65.0845,-247.2891,116.4345,223.5556
10.7527,68.9982,-269.4889,115.6872,284.4531
11.8280,65.9932,-248.3898,117.8008,226.0544
12.9032,67.6727,-249.3548,115.9864,250.2073
13.9785,64.0908,-256.3730,114.4390,247.1582
15.0538,67.8039,-258.5680,113.7220,246.1214
16.1290,68.5012,-259.1219,119.9929,253.5598
17.2043,68.8612,-250.4374,121.1316,248.6522
18.2796,64.3093,-251.4688,115.8403,237.0598
19.3548,66.0588,-263.8987,117.3178,252.5000
20.4301,68.0584,-262.7295,119.6962,257.8540
21.5054,64.7398,-257.0783,117.4462,242.1421
22.5806,64.0727,-258.9486,113.4407,235.1574
23.6559,65.5551,-269.7012,117.3130,233.8050
24.7312,70.6875,-226.0699,115.4824,223.2086
25.8065,65.7835,-247.2566,124.6308,238.2172
26.8817,69.4678,-265.0221,119.3245,272.7032
27.9570,64.3340,-247.9560,114.3903,233.0434
29.0323,67.5057,-249.6255,113.4947,259.7794
30.1075,69.4558,-214.0321,112.8331,213.0542
31.1828,75.7640,-233.3970,129.3703,286.3297
32.2581,71.6335,-210.8639,139.1223,190.1763
33.3333,75.4707,-172.2411,128.3097,201.6522
34.4086,71.3401,-208.6088,142.7231,222.6498
35.4839,69.1181,-218.1436,143.3911,142.8343
36.5591,68.3421,-232.7136,119.3883,246.0019
37.6344,66.7173,-235.2210,121.0568,263.4344
38.7097,62.7837,-237.4387,117.1208,211.7039
39.7849,65.2498,-255.1355,116.8817,242.1211
40.8602,64.3862,-246.4494,115.4398,259.2231
41.9355,65.9347,-259.4298,118.1311,252.3890
43.0108,67.0734,-245.7727,120.6174,243.7362
44.0860,66.0892,-252.0200,123.8510,264.8438
45.1613,64.3884,-255.9301,118.5545,201.2640
46.2366,68.4301,-249.2462,120.0216,243.1810
47.3118,66.0307,-252.2850,122.7560,202.3380
48.3871,70.4963,-245.5553,125.4085,240.7813
49.4624,65.6207,-232.7252,123.1898,209.7188
50.5376,68.2499,-248.8342,119.5656,252.2325
51.6129,67.9594,-247.5773,123.1212,215.7034
52.6882,65.3146,-241.5790,118.2147,227.8070
53.7634,65.8005,-252.9671,113.9831,272.1508
54.8387,66.9573,-247.4587,118.4182,251.0302
55.9140,67.5573,-233.7934,117.5423,238.5311
56.9892,65.1672,-231.4717,113.6357,257.9194
58.0645,65.9084,-245.9506,116.5078,231.5802
59.1398,66.5778,-235.8783,116.3498,232.1024
60.2151,64.6200,-245.5948,113.8220,254.2699
61.2903,65.6296,-243.0790,113.9101,245.7973
62.3656,65.1720,-248.0012,112.3452,245.1316
