frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,driven,587.906,491.925,581.827,652.810,1.746,-2.164,0
1,0.01668,driven,587.906,491.925,581.775,652.808,1.746,-2.182,0
2,0.03337,driven,587.906,491.925,581.775,652.808,1.746,-2.182,0
3,0.05005,driven,587.715,491.931,581.775,652.821,1.678,-2.114,0
4,0.06673,driven,587.699,491.931,581.775,652.822,1.672,-2.109,0
5,0.08342,driven,587.688,491.932,581.832,652.825,1.668,-2.084,0
6,0.1001,driven,587.688,491.932,581.832,652.825,1.668,-2.084,0
7,0.11678,driven,587.591,491.935,581.832,652.832,1.634,-2.050,0
8,0.13347,driven,587.591,491.935,581.834,652.832,1.634,-2.049,0
9,0.15015,driven,587.549,491.936,581.834,652.834,1.619,-2.034,0
10,0.16683,driven,587.549,491.936,581.785,652.832,1.619,-2.052,0
11,0.18352,driven,587.465,491.938,581.785,652.838,1.589,-2.022,0
12,0.2002,driven,587.465,491.938,581.785,652.838,1.589,-2.022,0
13,0.21688,driven,587.457,491.938,581.785,652.838,1.586,-2.019,0
14,0.23357,driven,587.457,491.938,581.833,652.840,1.586,-2.002,0
15,0.25025,driven,587.457,491.938,581.833,652.840,1.586,-2.002,0
16,0.26693,driven,587.457,491.938,581.833,652.840,1.586,-2.002,0
17,0.28362,driven,587.426,491.939,581.774,652.840,1.575,-2.012,0
18,0.3003,driven,587.374,491.941,581.741,652.842,1.557,-2.005,0
19,0.31698,driven,587.195,491.945,581.740,652.853,1.493,-1.942,0
20,0.33367,driven,587.195,491.945,581.740,652.853,1.493,-1.942,0
21,0.35035,driven,587.195,491.945,581.741,652.853,1.493,-1.941,0
22,0.36703,driven,587.186,491.946,581.741,652.853,1.490,-1.938,0
23,0.38372,driven,587.186,491.946,581.737,652.853,1.490,-1.939,0
24,0.4004,driven,587.307,491.942,581.737,652.846,1.533,-1.983,0
25,0.41708,driven,587.159,491.946,581.737,652.855,1.480,-1.930,0
26,0.43377,driven,587.162,491.946,581.734,652.855,1.481,-1.932,0
27,0.45045,driven,587.215,491.945,581.734,652.851,1.500,-1.951,0
28,0.46713,driven,587.215,491.945,581.734,652.851,1.500,-1.951,0
29,0.48382,driven,587.215,491.945,581.619,652.848,1.500,-1.992,0
30,0.5005,driven,587.215,491.945,581.619,652.848,1.500,-1.992,0
31,0.51718,driven,587.215,491.945,581.575,652.846,1.500,-2.008,0
32,0.53387,driven,587.230,491.944,581.575,652.845,1.506,-2.013,0
33,0.55055,driven,586.825,491.955,581.657,652.872,1.362,-1.840,0
34,0.56723,driven,586.698,491.958,581.657,652.879,1.316,-1.794,0
35,0.58392,driven,586.698,491.958,581.646,652.878,1.316,-1.798,0
36,0.6006,driven,586.723,491.957,581.702,652.879,1.325,-1.787,0
37,0.61728,driven,586.723,491.957,581.646,652.877,1.325,-1.807,0
38,0.63397,driven,586.792,491.955,581.646,652.873,1.349,-1.832,0
39,0.65065,driven,587.082,491.948,581.666,652.857,1.453,-1.928,0
40,0.66733,driven,587.082,491.948,581.666,652.857,1.453,-1.928,0
41,0.68402,driven,587.082,491.948,581.666,652.857,1.453,-1.928,0
42,0.7007,driven,587.082,491.948,581.666,652.857,1.453,-1.928,0
43,0.71738,driven,587.029,491.950,581.666,652.860,1.434,-1.909,0
44,0.73407,driven,587.029,491.950,581.693,652.861,1.434,-1.900,0
45,0.75075,driven,587.029,491.950,581.737,652.863,1.434,-1.884,0
46,0.76743,driven,586.503,491.962,581.740,652.891,1.247,-1.695,0
47,0.78412,driven,586.503,491.962,581.756,652.892,1.247,-1.690,0
48,0.8008,driven,586.647,491.959,581.757,652.884,1.298,-1.741,0
49,0.81748,driven,586.647,491.959,581.757,652.884,1.298,-1.741,0
50,0.83417,driven,586.797,491.955,581.740,652.876,1.351,-1.800,0
51,0.85085,driven,587.072,491.948,581.740,652.860,1.449,-1.898,0
52,0.86753,driven,587.072,491.948,581.740,652.860,1.449,-1.898,0
53,0.88422,driven,587.072,491.948,581.746,652.860,1.449,-1.896,0
54,0.9009,driven,586.958,491.951,581.781,652.868,1.409,-1.843,0
55,0.91758,driven,586.958,491.951,581.781,652.868,1.409,-1.843,0
56,0.93427,driven,586.958,491.951,581.791,652.868,1.409,-1.839,0
57,0.95095,driven,586.971,491.951,581.791,652.868,1.413,-1.844,0
58,0.96763,driven,586.971,491.951,581.708,652.865,1.413,-1.874,0
59,0.98432,driven,586.971,491.951,581.708,652.865,1.413,-1.874,0
60,1.001,driven,586.930,491.952,581.746,652.869,1.399,-1.845,0
61,1.01768,driven,586.846,491.954,581.746,652.873,1.369,-1.815,0
62,1.03437,driven,586.846,491.954,581.750,652.873,1.369,-1.814,0
63,1.05105,driven,586.846,491.954,581.750,652.873,1.369,-1.814,0
64,1.06773,driven,586.972,491.951,581.750,652.866,1.414,-1.859,0
65,1.08442,driven,586.978,491.951,581.719,652.865,1.416,-1.872,0
66,1.1011,driven,586.978,491.951,581.711,652.865,1.416,-1.875,0
67,1.11778,driven,586.978,491.951,581.595,652.861,1.416,-1.916,0
68,1.13447,driven,586.915,491.952,581.595,652.864,1.393,-1.894,0
69,1.15115,driven,586.915,491.952,581.573,652.864,1.393,-1.901,0
70,1.16783,driven,586.900,491.953,581.595,652.865,1.388,-1.888,0
71,1.18452,driven,586.900,491.953,581.598,652.865,1.388,-1.887,0
72,1.2012,driven,586.924,491.952,581.705,652.868,1.397,-1.858,0
73,1.21788,driven,586.924,491.952,581.684,652.867,1.397,-1.865,0
74,1.23457,driven,586.774,491.956,581.746,652.877,1.343,-1.790,0
75,1.25125,driven,586.774,491.956,581.751,652.877,1.343,-1.788,0
76,1.26793,driven,584.724,491.991,582.136,652.970,0.613,-0.921,0
77,1.28462,driven,583.518,491.999,582.983,652.998,0.184,-0.190,0
78,1.3013,driven,580.927,491.987,584.152,652.954,-0.738,1.148,0
79,1.31798,driven,577.182,491.895,585.352,652.687,-2.071,2.909,0
80,1.33467,driven,572.368,491.649,587.441,651.942,-3.786,5.372,0
81,1.35135,driven,566.178,491.119,589.134,650.474,-5.997,8.197,0
82,1.36803,driven,559.000,490.201,590.240,648.141,-8.573,11.189,0
83,1.38472,driven,551.599,488.908,590.374,645.169,-11.247,13.936,0
84,1.4014,driven,544.971,487.444,590.239,641.949,-13.663,16.330,0
85,1.41808,driven,537.393,485.405,589.233,637.831,-16.456,18.783,0
86,1.43477,driven,530.895,483.335,586.075,634.584,-18.883,20.043,0
87,1.45145,driven,524.516,481.002,583.111,630.961,-21.300,21.343,0
88,1.46813,driven,519.498,478.948,576.983,629.335,-23.230,20.919,0
89,1.48482,driven,514.085,476.505,573.881,625.989,-25.343,21.802,0
90,1.5015,driven,507.514,473.207,564.906,623.630,-27.960,20.884,0
91,1.51818,driven,500.025,468.972,555.453,620.130,-31.022,20.137,0
92,1.53487,driven,493.536,464.855,547.193,616.650,-33.758,19.468,0
93,1.55155,driven,487.463,460.591,533.618,614.833,-36.398,16.659,0
94,1.56823,driven,481.382,455.879,523.148,611.367,-39.137,15.036,0
95,1.58492,driven,476.442,451.692,510.553,609.037,-41.441,12.232,0
96,1.6016,driven,471.499,447.140,496.576,606.175,-43.833,8.961,0
97,1.61828,driven,467.446,443.108,481.196,603.520,-45.867,4.899,0
98,1.63497,driven,463.154,438.508,469.072,599.400,-48.106,2.106,0
99,1.65165,driven,459.809,434.658,451.760,595.457,-49.921,-2.866,0
100,1.66833,driven,459.809,434.658,433.686,593.525,-49.921,-9.338,0
101,1.68502,driven,459.809,434.658,420.133,590.693,-49.921,-14.267,0
102,1.7017,driven,460.808,435.834,399.360,584.647,-49.372,-22.437,0
103,1.71838,driven,466.508,442.134,382.766,579.641,-46.348,-31.342,0
104,1.73507,driven,475.497,450.850,367.137,569.927,-41.891,-42.302,0
105,1.75175,driven,486.625,459.968,357.292,555.854,-36.770,-53.447,0
106,1.76843,driven,498.794,468.223,355.163,540.965,-31.535,-63.140,0
107,1.78512,driven,511.804,475.403,357.363,520.886,-26.245,-73.590,0
108,1.8018,driven,525.850,481.515,367.224,509.061,-20.792,-80.149,0
109,1.81848,driven,540.728,486.351,380.113,497.476,-15.222,-86.038,0
110,1.83517,driven,556.325,489.775,395.336,487.862,-9.537,-90.681,0
111,1.85185,driven,572.440,491.653,411.586,484.799,-3.761,-92.440,0
112,1.86853,driven,590.043,491.846,429.197,484.805,2.507,-92.507,0
113,1.88522,driven,607.426,490.136,446.515,484.804,8.726,-91.898,0
114,1.9019,driven,624.749,486.493,463.843,491.994,15.029,-88.042,0
115,1.91858,driven,641.994,480.802,482.407,502.086,21.495,-82.404,0
116,1.93527,driven,657.629,473.659,501.867,514.392,27.615,-75.345,0
117,1.95195,driven,672.062,465.123,524.693,529.957,33.585,-66.253,0
118,1.96863,driven,683.554,456.738,549.073,545.258,38.650,-56.645,0
119,1.98532,driven,692.882,448.673,578.260,561.734,43.039,-45.393,0
120,2.002,driven,698.302,443.367,616.777,582.200,45.739,-30.422,0
