frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,576.888,491.884,572.706,652.830,-2.175,-1.489,0,-1.07,1.15
1,0.01668,driven,576.888,491.884,572.707,652.830,-2.175,-1.488,0,0.17,-0.07
2,0.03337,driven,576.895,491.884,572.707,652.830,-2.173,-1.491,0,0.70,-0.59
3,0.05005,driven,576.895,491.884,572.740,652.831,-2.173,-1.479,0,0.52,-0.40
4,0.06673,driven,576.993,491.888,572.707,652.831,-2.138,-1.525,0,-0.79,0.79
5,0.08342,driven,576.850,491.883,572.740,652.830,-2.189,-1.463,0,-1.95,2.26
6,0.1001,driven,576.749,491.879,572.740,652.829,-2.225,-1.427,0,-1.22,2.16
7,0.11678,driven,576.749,491.879,572.812,652.830,-2.225,-1.401,0,0.77,0.11
8,0.13347,driven,576.853,491.883,572.846,652.833,-2.188,-1.426,0,1.04,-0.48
9,0.15015,driven,576.853,491.883,572.846,652.833,-2.188,-1.426,0,0.49,-0.54
10,0.16683,driven,576.865,491.883,572.846,652.833,-2.184,-1.431,0,0.42,-0.53
11,0.18352,driven,576.915,491.885,572.842,652.833,-2.166,-1.450,0,2.05,-2.14
12,0.2002,driven,577.020,491.889,572.842,652.835,-2.129,-1.487,0,2.60,-2.50
13,0.21688,driven,577.193,491.895,572.842,652.836,-2.067,-1.548,0,1.81,-1.43
14,0.23357,driven,577.193,491.895,572.873,652.837,-2.067,-1.537,0,0.48,0.01
15,0.25025,driven,577.193,491.895,572.895,652.838,-2.067,-1.530,0,-0.39,0.72
16,0.26693,driven,577.202,491.896,572.895,652.838,-2.064,-1.533,0,0.26,-0.65
17,0.28362,driven,577.215,491.896,572.873,652.837,-2.059,-1.545,0,1.49,-2.20
18,0.3003,driven,577.320,491.900,572.813,652.837,-2.022,-1.604,0,3.04,-3.74
19,0.31698,driven,577.498,491.906,572.813,652.838,-1.958,-1.668,0,3.14,-3.53
20,0.33367,driven,577.636,491.911,572.791,652.838,-1.909,-1.725,0,1.69,-1.72
21,0.35035,driven,577.636,491.911,572.791,652.838,-1.909,-1.725,0,0.19,-0.39
22,0.36703,driven,577.636,491.911,572.791,652.838,-1.909,-1.725,0,-0.26,0.04
23,0.38372,driven,577.636,491.911,572.758,652.837,-1.909,-1.736,0,0.22,-0.52
24,0.4004,driven,577.636,491.911,572.758,652.837,-1.909,-1.736,0,-0.93,0.73
25,0.41708,driven,577.636,491.911,572.751,652.837,-1.909,-1.739,0,-0.05,0.04
26,0.43377,driven,577.518,491.907,572.751,652.836,-1.951,-1.697,0,1.42,-1.45
27,0.45045,driven,577.774,491.915,572.751,652.837,-1.860,-1.788,0,1.34,-1.31
28,0.46713,driven,577.774,491.915,572.751,652.837,-1.860,-1.788,0,-0.03,0.10
29,0.48382,driven,577.658,491.911,572.751,652.837,-1.901,-1.746,0,-1.04,0.96
30,0.5005,driven,577.658,491.911,572.753,652.837,-1.901,-1.746,0,0.41,-0.72
31,0.51718,driven,577.774,491.915,572.727,652.836,-1.860,-1.797,0,1.54,-1.55
32,0.53387,driven,577.774,491.915,572.727,652.836,-1.860,-1.797,0,0.80,-0.66
33,0.55055,driven,577.859,491.918,572.768,652.837,-1.830,-1.812,0,1.67,-1.80
34,0.56723,driven,577.859,491.918,572.723,652.836,-1.830,-1.828,0,1.71,-2.20
35,0.58392,driven,578.059,491.924,572.693,652.835,-1.758,-1.910,0,-0.96,1.08
36,0.6006,driven,577.859,491.918,572.723,652.836,-1.830,-1.828,0,-2.91,3.44
37,0.61728,driven,577.649,491.911,572.788,652.838,-1.905,-1.730,0,-2.75,2.92
38,0.63397,driven,577.649,491.911,572.725,652.836,-1.905,-1.753,0,0.18,-0.53
39,0.65065,driven,577.691,491.912,572.725,652.836,-1.890,-1.767,0,-0.37,0.03
40,0.66733,driven,577.649,491.911,572.726,652.836,-1.905,-1.752,0,-2.08,2.21
41,0.68402,driven,577.431,491.904,572.726,652.835,-1.982,-1.675,0,-2.66,2.66
42,0.7007,driven,577.402,491.903,572.726,652.835,-1.993,-1.664,0,-1.57,1.54
43,0.71738,driven,577.332,491.900,572.726,652.834,-2.018,-1.639,0,-0.17,0.26
44,0.73407,driven,577.332,491.900,572.726,652.834,-2.018,-1.639,0,-1.38,1.38
45,0.75075,driven,577.296,491.899,572.738,652.834,-2.030,-1.623,0,-1.41,1.21
46,0.76743,driven,577.143,491.893,572.712,652.832,-2.085,-1.577,0,0.91,-0.92
47,0.78412,driven,577.296,491.899,572.712,652.834,-2.030,-1.632,0,3.03,-2.66
48,0.8008,driven,577.562,491.908,572.758,652.836,-1.936,-1.710,0,2.88,-2.75
49,0.81748,driven,577.545,491.908,572.758,652.836,-1.942,-1.704,0,0.66,-0.55
50,0.83417,driven,577.562,491.908,572.705,652.835,-1.936,-1.729,0,1.59,-2.02
51,0.85085,driven,577.676,491.912,572.758,652.837,-1.895,-1.750,0,3.48,-4.11
52,0.86753,driven,577.944,491.921,572.659,652.834,-1.800,-1.881,0,2.86,-3.58
53,0.88422,driven,577.957,491.921,572.649,652.833,-1.795,-1.889,0,0.49,-0.89
54,0.9009,driven,577.957,491.921,572.649,652.833,-1.795,-1.889,0,0.44,0.08
55,0.91758,driven,577.957,491.921,572.692,652.835,-1.795,-1.874,0,2.50,-2.22
56,0.93427,driven,578.191,491.928,572.692,652.834,-1.712,-1.957,0,1.11,-0.75
57,0.95095,driven,578.191,491.928,572.692,652.834,-1.712,-1.957,0,-1.48,1.87
58,0.96763,driven,577.926,491.920,572.744,652.837,-1.806,-1.844,0,-3.08,3.69
59,0.98432,driven,577.881,491.919,572.744,652.837,-1.822,-1.828,0,-2.69,2.48
60,1.001,driven,577.825,491.917,572.744,652.837,-1.842,-1.809,0,-0.86,0.19
61,1.01768,driven,577.685,491.912,572.663,652.834,-1.892,-1.788,0,0.58,-0.93
62,1.03437,driven,577.825,491.917,572.704,652.835,-1.842,-1.823,0,-0.65,0.58
63,1.05105,driven,577.825,491.917,572.704,652.835,-1.842,-1.823,0,-2.42,3.00
64,1.06773,driven,577.447,491.904,572.704,652.834,-1.977,-1.688,0,-3.75,4.29
65,1.08442,driven,577.447,491.904,572.774,652.836,-1.977,-1.663,0,-1.86,2.56
66,1.1011,driven,577.399,491.903,572.774,652.836,-1.994,-1.646,0,0.36,-0.22
67,1.11778,driven,577.399,491.903,572.774,652.836,-1.994,-1.646,0,-0.32,-0.29
68,1.13447,driven,577.399,491.903,572.727,652.835,-1.994,-1.663,0,-0.52,-0.23
69,1.15115,driven,577.362,491.901,572.698,652.834,-2.007,-1.660,0,0.56,-1.22
70,1.16783,driven,577.362,491.901,572.675,652.833,-2.007,-1.668,0,0.66,-0.80
71,1.18452,driven,577.517,491.907,572.675,652.834,-1.952,-1.723,0,-0.50,0.64
72,1.2012,driven,577.362,491.901,572.698,652.834,-2.007,-1.660,0,0.42,-0.11
73,1.21788,driven,577.339,491.900,572.701,652.834,-2.015,-1.651,0,0.53,-0.19
74,1.23457,driven,577.601,491.909,572.720,652.835,-1.922,-1.737,0,0.37,-0.17
75,1.25125,driven,577.395,491.902,572.731,652.835,-1.995,-1.660,0,-1.08,1.07
76,1.26793,driven,577.339,491.900,572.723,652.834,-2.015,-1.643,0,-1.15,1.32
77,1.28462,driven,577.395,491.902,572.723,652.835,-1.995,-1.663,0,0.60,-0.17
