n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,57.8915,65.2230,27.2046,72.5578
1,5.8333,65.2230,66.9200,72.5578,84.2953
2,6.6667,66.9200,58.8140,84.2953,63.2738
3,7.5000,58.8140,69.1780,63.2738,84.1885
4,8.3333,69.1780,65.3380,84.1885,73.6745
5,9.1667,65.3380,67.5060,73.6745,71.1119
6,10.0000,67.5060,59.6593,71.1119,61.8020
7,10.8333,59.6593,79.2960,61.8020,-81.6955
8,11.6667,79.2960,70.1140,-81.6955,-24.2762
9,12.5000,70.1140,76.9511,-24.2762,53.9065
10,13.3333,76.9511,44.7990,53.9065,41.7936
11,14.1667,44.7990,81.2590,41.7936,-36.6826
12,15.0000,81.2590,50.5736,-36.6826,30.7371
13,15.8333,50.5736,73.4703,30.7371,34.6639
14,16.6667,73.4703,68.8350,34.6639,-42.5658
15,17.5000,68.8350,81.9170,-42.5658,-47.3404
16,18.3333,81.9170,69.1503,-47.3404,-37.5669
17,19.1667,69.1503,68.4580,-37.5669,-151.1098
18,20.0000,68.4580,30.4698,-151.1098,89.6086
19,20.8333,30.4698,79.5370,89.6086,-36.6128
20,21.6667,79.5370,50.1503,-36.6128,36.6226
21,22.5000,50.1503,70.2890,36.6226,50.4661
22,23.3333,70.2890,75.8210,50.4661,-143.6318
23,24.1667,75.8210,28.7694,-143.6318,85.4878
24,25.0000,28.7694,78.5400,85.4878,-43.1624
25,25.8333,78.5400,66.9543,-43.1624,-44.7739
26,26.6667,66.9543,64.5665,-44.7739,-25.8548
27,27.5000,64.5665,62.7662,-25.8548,17.5731
28,28.3333,62.7662,43.5758,17.5731,117.5574
29,29.1667,43.5758,66.0813,117.5574,60.8809
30,30.0000,66.0813,77.8880,60.8809,-66.0450
31,30.8333,77.8880,66.9025,-66.0450,-15.1018
32,31.6667,66.9025,59.0189,-15.1018,27.1203
33,32.5000,59.0189,62.0240,27.1203,77.0239
34,33.3333,62.0240,64.7990,77.0239,61.8806
35,34.1667,64.7990,70.4040,61.8806,72.4767
36,35.0000,70.4040,61.5242,72.4767,61.2561
37,35.8333,61.5242,70.3160,61.2561,-134.8306
38,36.6667,70.3160,30.4760,-134.8306,85.8534
39,37.5000,30.4760,71.1060,85.8534,-49.9555
40,38.3333,71.1060,68.1710,-49.9555,-66.3233
41,39.1667,68.1710,80.5290,-66.3233,-62.5438
42,40.0000,80.5290,57.8822,-62.5438,96.5236
43,40.8333,57.8822,59.9292,96.5236,-11.2584
44,41.6667,59.9292,68.1990,-11.2584,-53.9889
45,42.5000,68.1990,54.8788,-53.9889,18.6399
46,43.3333,54.8788,59.8269,18.6399,77.0495
47,44.1667,59.8269,59.6590,77.0495,-14.6518
48,45.0000,59.6590,68.1690,-14.6518,-52.9530
49,45.8333,68.1690,50.2466,-52.9530,14.9378
50,46.6667,50.2466,69.5661,14.9378,-65.7577
51,47.5000,69.5661,69.5430,-65.7577,155.1855
52,48.3333,69.5430,68.1360,155.1855,-117.8698
53,49.1667,68.1360,66.1830,-117.8698,83.0728
54,50.0000,66.1830,60.8330,83.0728,69.6116
55,50.8333,60.8330,64.7400,69.6116,85.8455
56,51.6667,64.7400,70.8670,85.8455,42.7135
57,52.5000,70.8670,75.6563,42.7135,115.7653
58,53.3333,75.6563,53.7692,115.7653,170.6739
59,54.1667,53.7692,42.1215,170.6739,14.9718
60,55.0000,42.1215,81.6260,14.9718,-2.8595
61,55.8333,81.6260,62.7785,-2.8595,89.3731
62,56.6667,62.7785,62.8270,89.3731,-160.1930
63,57.5000,62.8270,22.8382,-160.1930,75.6314
64,58.3333,22.8382,67.4470,75.6314,28.2394
65,59.1667,67.4470,68.8595,28.2394,37.6764
66,60.0000,68.8595,33.1928,37.6764,68.4947
67,60.8333,33.1928,65.6971,68.4947,48.7860
68,61.6667,65.6971,79.3280,48.7860,-24.8800
69,62.5000,79.3280,73.4880,-24.8800,29.5146
70,63.3333,73.4880,33.2670,29.5146,75.6980
71,64.1667,33.2670,61.6898,75.6980,70.8489
72,65.0000,61.6898,63.9010,70.8489,62.0678
73,65.8333,63.9010,74.1090,62.0678,35.8573
74,66.6667,74.1090,34.3137,35.8573,71.3851
75,67.5000,34.3137,71.5570,71.3851,35.1127
76,68.3333,71.5570,67.0410,35.1127,-12.8334
77,69.1667,67.0410,62.3960,-12.8334,-13.0806
78,70.0000,62.3960,64.9332,-13.0806,145.9784
79,70.8333,64.9332,67.9928,145.9784,-78.5980
80,71.6667,67.9928,51.9750,-78.5980,17.9710
81,72.5000,51.9750,52.5889,17.9710,74.9037
82,73.3333,52.5889,64.0294,74.9037,12.4893
83,74.1667,64.0294,39.5215,12.4893,59.4032
84,75.0000,39.5215,62.6530,59.4032,71.0657
85,75.8333,62.6530,58.3718,71.0657,78.4432
86,76.6667,58.3718,61.1320,78.4432,16.7448
87,77.5000,61.1320,37.5386,16.7448,67.8752
88,78.3333,37.5386,64.5160,67.8752,74.9526
89,79.1667,64.5160,63.7030,74.9526,57.7546
90,80.0000,63.7030,75.1050,57.7546,-35.8689
91,80.8333,75.1050,63.6199,-35.8689,137.6419
92,81.6667,63.6199,58.2720,137.6419,-157.4834
93,82.5000,58.2720,25.1690,-157.4834,24.8184
94,83.3333,25.1690,68.0470,24.8184,50.1208
95,84.1667,68.0470,74.4918,50.1208,103.8628
96,85.0000,74.4918,55.5367,103.8628,130.7314
97,85.8333,55.5367,59.9750,130.7314,-133.3391
98,86.6667,59.9750,56.3100,-133.3391,-148.0535
99,87.5000,56.3100,24.1673,-148.0535,81.4197
100,88.3333,24.1673,54.1783,81.4197,55.5040
