t_s,theta1_deg,omega1_deg_s
5.6000,-30.9274,-368.9941
6.4000,-40.9969,-519.3886
7.2000,-32.6383,-467.7422
8.0000,-30.7946,-393.1338
8.8000,-27.0414,-294.6447
9.6000,-35.6709,-370.3374
10.4000,-22.9000,-355.5516
11.2000,-30.0246,-341.5127
12.0000,-34.4696,-406.9079
12.8000,-34.2022,-467.3106
13.6000,-22.3077,-372.6633
14.4000,-32.1851,-388.5368
15.2000,-37.6354,-362.6472
16.0000,-9.9092,-365.6745
16.8000,-36.7092,-396.3819
17.6000,-15.5588,-354.3211
18.4000,-20.3545,-482.9432
19.2000,-31.7001,-347.8631
20.0000,-34.3444,-516.8499
20.8000,-40.0386,-386.9120
21.6000,-34.3431,-391.0592
22.4000,-30.8082,-302.4579
23.2000,-34.2297,-380.9011
24.0000,-32.0161,-408.5997
24.8000,-28.0639,-401.1750
25.6000,-13.6799,-472.7135
26.4000,-9.2635,-308.3846
27.2000,-28.6186,-416.5915
28.0000,-25.7668,-317.0604
28.8000,-15.1621,-391.3024
29.6000,-19.1551,-419.9204
30.4000,-14.5623,-506.8320
31.2000,-39.2711,-551.2918
32.0000,-24.8936,-579.4710
32.8000,-31.7455,-562.7939
33.6000,-26.6249,-518.7748
34.4000,-24.2472,-648.1288
35.2000,-40.9501,-519.5500
36.0000,-31.0518,-602.3554
36.8000,-33.2528,-574.0923
37.6000,-26.3075,-423.8419
38.4000,-21.2561,-408.5864
39.2000,-45.4081,-426.6058
40.0000,-26.0385,-372.9212
40.8000,1.8256,-12.6565
41.6000,-8.3747,-353.5329
42.4000,-18.0124,-383.1395
43.2000,-0.9944,-520.8218
44.0000,-9.1706,-355.9659
44.8000,-25.3516,-401.0463
45.6000,-29.9869,-373.0412
46.4000,-9.7136,-375.6844
47.2000,-39.1664,-416.8084
48.0000,-12.8591,-357.7699
48.8000,-25.7566,-460.9364
49.6000,-15.0681,-412.6342
50.4000,-42.7063,-384.2259
51.2000,-12.5661,-348.6403
52.0000,-29.8411,-497.5302
52.8000,-33.6259,-467.9886
53.6000,-31.3294,-402.1923
54.4000,-8.0678,-477.9122
55.2000,-33.6369,-436.2627
56.0000,-27.2342,-358.7758
56.8000,-2.3456,-422.2507
57.6000,-29.0352,-487.0233
58.4000,-18.2467,-443.9902
59.2000,-21.5237,-440.8848
60.0000,5.3512,-172.2441
60.8000,-1.3141,-363.3699
61.6000,-25.4018,-439.1848
62.4000,-30.5897,-399.4169
63.2000,-29.6534,-405.6886
64.0000,-35.2134,-440.5686
64.8000,-30.2374,-411.3773
65.6000,-7.2102,-489.1181
66.4000,-32.7921,-447.2616
67.2000,-30.5286,-359.8235
68.0000,-25.8476,-371.3534
68.8000,-36.5655,-343.6464
69.6000,-43.0280,-541.6765
70.4000,-37.3973,-581.8590
71.2000,-30.1596,-381.1174
72.0000,-11.6051,-429.3245
72.8000,-16.8709,-395.2108
73.6000,-22.8982,-455.5195
74.4000,-14.1932,-501.0888
75.2000,9.0940,-348.4164
76.0000,-6.5048,-357.9477
76.8000,-27.3775,-432.2053
77.6000,-30.0826,-411.3771
78.4000,-32.5272,-443.5543
79.2000,-7.1772,-515.2200
80.0000,-22.3136,-461.1060
80.8000,-36.6347,-437.0222
81.6000,-30.2012,-399.9480
82.4000,-6.8970,-487.5098
83.2000,-26.1301,-608.3914
84.0000,-39.2875,-552.4124
84.8000,-36.6766,-564.7753
85.6000,-31.5411,-490.4587
86.4000,-24.3101,-637.3816
87.2000,-41.3387,-516.3556
88.0000,-38.4136,-549.9973
88.8000,-35.0760,-570.4470
89.6000,-27.3686,-441.7971
90.4000,-16.7030,-393.8408
91.2000,-11.6172,-500.2364
92.0000,-29.9969,-408.4832
92.8000,-39.8428,-535.8332
93.6000,-37.5995,-558.3084
94.4000,-40.8184,-548.0287
95.2000,-32.7177,-514.0404
96.0000,-30.3571,-614.6950
96.8000,-43.4921,-536.1642
97.6000,-32.6948,-541.4516
98.4000,-22.4218,-515.7897
99.2000,-32.1753,-574.0021
100.0000,-39.5864,-534.4106
100.8000,-34.9170,-579.0503
101.6000,-28.1510,-404.3651
102.4000,-8.0289,-431.8430
103.2000,-17.5143,-399.7650
104.0000,-28.8009,-350.9002
104.8000,-26.1462,-583.1998
105.6000,-40.4873,-504.7222
106.4000,-37.2232,-570.1592
107.2000,-35.7611,-584.9706
108.0000,-28.1941,-407.4162
108.8000,-24.5600,-443.8464
109.6000,-48.1283,-506.0958
110.4000,-32.5899,-591.9769
111.2000,-40.3556,-576.6198
112.0000,-36.2594,-573.9197
112.8000,-27.2209,-403.3873
113.6000,-22.5510,-412.0176
114.4000,-41.3389,-439.3904
115.2000,-23.2428,-399.2632
116.0000,-12.2069,-393.4368
116.8000,-47.2034,-432.0044
117.6000,-24.6754,-336.7135
118.4000,-29.8828,-375.5805
119.2000,-12.8236,-525.6250
120.0000,-31.3924,-341.3767
120.8000,-32.5678,-417.7304
121.6000,-30.4031,-634.3494
122.4000,-41.0899,-443.9257
123.2000,-27.1124,-625.5029
