t_s,theta1_deg,omega1_deg_s
1.5411,-2.5505,-117.1495
2.2063,39.5378,172.5683
3.1328,64.0050,-2.9198
3.8607,50.0394,224.3565
4.6530,65.9502,248.6757
6.2391,29.7640,43.7632
6.8486,-15.6167,463.9197
8.6066,31.5736,132.8238
9.2716,-1.1187,452.4472
10.2020,60.0143,297.2149
12.6416,54.6470,21.8222
13.4090,60.3196,160.1063
14.1805,56.3906,156.8587
14.9538,57.9274,340.4676
16.5378,24.7510,74.5722
17.1874,-18.1855,464.8135
18.9242,49.4016,160.0291
19.5871,1.3648,535.3518
20.5263,68.5777,267.8479
22.0959,24.2110,65.6493
22.7566,-3.2329,478.4863
23.6867,62.5291,302.5417
24.5067,74.4441,238.7438
25.2999,69.2270,204.9719
26.1166,77.2271,90.4306
26.8690,53.2621,270.8246
27.6520,59.9576,328.5801
28.7874,-29.1106,-442.4929
29.7381,-60.3499,213.5534
30.5236,-59.9290,129.2813
31.3153,-60.3423,150.8898
32.1080,-58.7707,115.4820
32.8981,-59.0564,93.7459
33.6872,-59.0926,86.4392
34.4726,-59.0150,29.2124
35.2639,-58.1450,20.4061
35.9055,-20.1209,-448.0050
36.3898,51.0252,291.3992
37.6903,-54.5545,309.0960
38.4663,-58.5531,69.9649
38.7671,53.3883,310.4886
39.0240,10.8842,-613.1228
39.5693,49.1562,216.2979
40.3871,72.2091,155.1183
41.1555,65.4405,269.8166
42.3141,-42.7903,-302.2050
43.5113,44.7070,340.1061
44.5716,16.6984,-677.8927
45.1324,58.8925,266.3702
45.9071,49.8855,242.3973
46.6917,59.3443,340.2300
47.9265,-58.0778,-95.2362
49.0948,63.5948,246.0194
49.8720,57.6436,303.3195
50.7068,63.7022,237.5860
51.4715,51.8301,210.1287
52.2822,65.2657,282.5071
53.0570,51.5625,254.6212
53.8398,58.9129,335.7769
54.6505,71.2201,320.5012
57.0917,56.1520,-10.0131
57.8191,56.3510,291.9388
58.6362,73.6533,234.8478
59.4222,66.1239,246.2891
60.2398,80.0252,139.7054
60.9900,52.5799,331.5652
61.7929,71.3015,308.8328
64.1652,27.2540,88.5023
64.7694,-21.8568,445.5160
66.5275,45.8460,177.6676
67.0931,-46.0348,390.1799
68.2413,60.3516,-195.1990
68.9220,53.4577,310.8010
69.7154,65.7477,335.5318
71.3056,18.1180,16.0831
71.9639,-4.3141,465.9480
72.8918,60.8912,350.2218
75.2831,31.3400,59.5993
75.9000,-10.5202,517.7183
77.6375,40.6083,169.9268
78.2699,-20.9429,493.6103
80.0237,41.6819,161.2618
80.5962,-41.6031,406.4664
83.2093,24.2040,65.3145
83.8347,-16.6163,492.0839
85.5743,38.6961,182.5585
86.2005,-25.6952,469.9002
87.9815,59.3405,211.0579
88.6999,-5.5620,25.8247
91.1619,73.1462,282.6871
92.4087,-61.7180,81.6163
93.2489,-61.0625,263.7455
93.8760,-34.0478,-320.2775
94.3196,52.1862,312.9447
95.5869,-61.1410,123.4756
96.4038,-63.7083,217.9055
97.1800,-60.5994,83.6761
97.9770,-61.0530,126.2130
98.7668,-60.8929,80.5673
99.5600,-60.7706,108.5661
100.3567,-61.2162,106.6800
101.1559,-60.9155,166.6800
101.9500,-62.0051,152.4907
102.7623,-60.8408,263.9634
103.5622,-57.6492,273.4920
104.3226,-61.4956,59.7558
105.1260,-61.8369,172.7039
105.9389,-59.7833,254.5816
106.7158,-61.2017,138.5973
107.5119,-61.7253,192.2335
108.3044,-62.6247,186.0540
109.1102,-61.9898,244.2876
109.8957,-61.8199,185.7822
110.6898,-62.3215,208.4729
111.4900,-61.8213,247.8817
112.2918,-59.0826,277.4064
113.0502,-61.3222,54.8204
113.8539,-62.5891,154.5351
114.6446,-63.0036,147.2217
115.4534,-61.0372,234.8259
116.2504,-60.3122,251.4925
117.0544,-58.3458,290.5605
117.8129,-61.0300,55.8936
118.6051,-59.2547,72.7850
119.4116,-57.7073,99.9736
119.7179,53.4836,300.0584
120.5119,50.1218,213.7775
121.2186,-10.9659,202.2591
122.8664,34.6315,199.2931
123.5724,2.9927,489.3143
124.3617,-12.1807,480.3257
125.2934,63.7662,309.2802
126.0829,55.8616,185.1184
126.8538,58.8255,364.6770
129.2302,27.8430,103.2150
129.8193,-35.8728,399.7018
