t_s,theta1_deg,omega1_deg_s
5.2632,-21.3591,-281.6687
6.0150,3.1122,-206.2333
6.7669,-13.3726,-33.8143
7.5188,-5.6059,-298.4556
8.2707,17.4463,-271.8032
9.0226,-23.8552,-230.6055
9.7744,-12.8961,-342.1900
10.5263,10.4280,-562.2688
11.2782,-13.2148,-539.0593
12.0301,-7.9477,-510.0916
12.7820,-20.4308,-266.7750
13.5338,-13.3871,-390.8201
14.2857,-13.7425,-427.3317
15.0376,-17.3835,-311.8400
15.7895,-12.9958,-399.5030
16.5414,-15.8705,-417.0421
17.2932,-15.6980,-310.4425
18.0451,-13.4441,-433.5140
18.7970,-15.0241,-350.1418
19.5489,-11.7619,-426.6896
20.3008,-12.4753,-429.0919
21.0526,-14.0268,-375.3181
21.8045,-14.4805,-348.1282
22.5564,-10.6595,-495.0793
23.3083,-15.1324,-333.9668
24.0602,-10.5725,-452.6343
24.8120,-10.2860,-471.5594
25.5639,-12.4200,-415.4398
26.3158,-10.9575,-412.5472
27.0677,-9.4348,-514.7167
27.8195,-15.1985,-353.0468
28.5714,-12.3326,-402.3091
29.3233,-13.9263,-417.9823
30.0752,-12.7004,-361.5664
30.8271,-6.2883,-529.7085
31.5789,-11.3680,-443.8730
32.3308,-13.4048,-404.9880
33.0827,-15.2646,-361.4286
33.8346,-13.0952,-383.8169
34.5865,-7.6792,-446.7887
35.3383,-13.2347,-374.6146
36.0902,-11.4491,-465.1466
36.8421,-13.3737,-350.8178
37.5940,-7.2261,-532.0709
38.3459,-11.9562,-405.4851
39.0977,-9.1515,-496.3425
39.8496,-12.2555,-380.7103
40.6015,-10.3876,-476.8752
41.3534,-13.4628,-398.9474
42.1053,-14.0189,-354.7298
