n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.2632,6.5281,32.9190,89.8198,96.3544
1,6.0150,32.9190,14.9190,96.3544,154.6522
2,6.7669,14.9190,24.0831,154.6522,111.0479
3,7.5188,24.0831,45.6845,111.0479,47.6780
4,8.2707,45.6845,3.6968,47.6780,70.7609
5,9.0226,3.6968,16.5514,70.7609,-115.6012
6,9.7744,16.5514,39.4079,-115.6012,10.9242
7,10.5263,39.4079,15.6616,10.9242,10.4598
8,11.2782,15.6616,21.2927,10.4598,20.2703
9,12.0301,21.2927,7.6044,20.2703,70.7237
10,12.7820,7.6044,15.6643,70.7237,57.3354
11,13.5338,15.6643,15.1797,57.3354,52.3885
12,14.2857,15.1797,11.1496,52.3885,68.9959
13,15.0376,11.1496,16.0082,68.9959,59.6486
14,15.7895,16.0082,12.5916,59.6486,50.8743
15,16.5414,12.5916,13.1740,50.8743,73.5010
16,17.2932,13.1740,15.5699,73.5010,51.9028
17,18.0451,15.5699,13.7480,51.9028,66.9555
18,18.7970,13.7480,17.3766,66.9555,57.9117
19,19.5489,17.3766,16.5326,57.9117,55.8407
20,20.3008,16.5326,14.7680,55.8407,59.4388
21,21.0526,14.7680,14.3021,59.4388,68.0955
22,21.8045,14.3021,18.5490,68.0955,48.4184
23,22.5564,18.5490,13.9278,48.4184,72.7967
24,23.3083,13.9278,18.7193,72.7967,54.6188
25,24.0602,18.7193,19.1586,54.6188,51.3432
26,24.8120,19.1586,16.6744,51.3432,56.4042
27,25.5639,16.6744,18.2618,56.4042,57.6861
28,26.3158,18.2618,19.8722,57.6861,45.4585
29,27.0677,19.8722,13.5208,45.4585,64.1903
30,27.8195,13.5208,16.7039,64.1903,60.2606
31,28.5714,16.7039,15.2507,60.2606,49.8849
32,29.3233,15.2507,16.4149,49.8849,66.3983
33,30.0752,16.4149,23.2319,66.3983,41.7997
34,30.8271,23.2319,17.9883,41.7997,54.3555
35,31.5789,17.9883,15.4365,54.3555,55.7217
36,32.3308,15.4365,13.6599,55.7217,63.5329
37,33.0827,13.6599,15.9340,63.5329,61.6274
38,33.8346,15.9340,21.7114,61.6274,54.7907
39,34.5865,21.7114,15.7637,54.7907,62.8440
40,35.3383,15.7637,17.7889,62.8440,50.2877
41,36.0902,17.7889,15.7458,50.2877,68.9599
42,36.8421,15.7458,22.0726,68.9599,43.1275
43,37.5940,22.0726,17.2486,43.1275,60.0498
44,38.3459,17.2486,20.4258,60.0498,49.0592
45,39.0977,20.4258,16.8352,49.0592,64.1916
46,39.8496,16.8352,19.0371,64.1916,48.7542
47,40.6015,19.0371,15.6503,48.7542,58.6625
48,41.3534,15.6503,15.0581,58.6625,70.6556
