t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.2632,-30.0434,-241.9393,106.4522,51.2902
6.0150,-28.9690,-269.8932,93.4140,363.5931
6.7669,-28.7271,-261.1796,99.0469,191.5925
7.5188,-28.2330,-272.6817,88.3960,348.3909
8.2707,-29.0277,-268.9730,97.3900,295.3845
9.0226,-29.0580,-266.9908,97.0454,447.1588
9.7744,-28.0556,-254.9159,87.7627,351.8882
10.5263,-30.3749,-253.7285,103.9977,250.1454
11.2782,-30.3869,-256.1430,91.6781,313.5669
12.0301,-28.6277,-258.9427,97.7878,91.3365
12.7820,-29.4983,-268.8916,98.8955,560.5158
13.5338,-26.0776,-262.4010,101.6208,135.7304
14.2857,-30.6849,-246.0588,96.4810,199.6351
15.0376,-29.3681,-261.2099,89.1488,-70.1119
15.7895,-30.6013,-250.4130,99.6918,113.3390
16.5414,-30.1098,-257.2629,90.1554,115.1849
17.2932,-27.2831,-267.9023,99.2424,117.0487
18.0451,-30.7582,-251.5629,91.5108,372.9998
18.7970,-29.5391,-261.1059,97.6764,219.5243
19.5489,-30.0990,-259.2266,100.5003,285.1027
20.3008,-29.8498,-264.7917,94.1693,574.2714
21.0526,-26.9422,-259.4354,100.5688,471.3009
21.8045,-30.6910,-261.4977,91.5772,203.6920
22.5564,-29.9243,-269.5579,95.2393,74.3239
23.3083,-30.0889,-275.2738,94.5360,1.6408
24.0602,-29.1203,-252.6819,100.8547,89.9888
24.8120,-29.6225,-255.1799,114.3415,-60.1385
25.5639,-30.0197,-268.9202,91.5867,211.8810
26.3158,-27.5084,-300.7568,87.3053,367.6963
27.0677,-30.3493,-260.5179,108.0992,405.2023
27.8195,-25.5284,-282.7260,92.5745,231.7049
28.5714,-30.4164,-260.3340,96.4224,154.7371
29.3233,-28.4896,-273.9675,107.7699,373.3178
30.0752,-29.5230,-273.6617,108.1250,243.3720
30.8271,-27.8366,-293.4495,96.0205,202.8792
31.5789,-28.5318,-285.1661,85.2939,151.9656
32.3308,-29.7602,-272.7878,113.7980,-16.0161
33.0827,-26.7433,-299.8499,84.0125,291.0275
33.8346,-29.8401,-272.8532,106.7195,547.2054
34.5865,-29.3618,-278.4923,100.6455,-32.7127
35.3383,-26.4514,-354.5561,81.0090,546.8585
36.0902,-29.6139,-254.2915,106.1920,-23.7439
36.8421,-27.7684,-291.8246,93.4539,227.5971
37.5940,-27.6124,-377.2849,72.8369,803.9131
38.3459,-28.1129,-256.3982,108.3184,-5.1269
39.0977,-29.2148,-281.4778,79.8337,457.6537
39.8496,-27.1389,-254.9171,112.8275,200.7228
40.6015,-28.1557,-313.1946,82.6704,329.2457
41.3534,-29.2431,-277.1667,101.2991,-25.1511
42.1053,-28.0755,-292.1673,82.8198,140.4142
42.8571,-28.4272,-275.8144,97.9311,250.5412
43.6090,-28.4673,-280.2682,105.0641,300.1340
44.3609,-29.7622,-285.1756,102.9478,172.8890
45.1128,-27.7276,-300.9547,88.5022,71.3512
45.8647,-31.4335,-256.5446,118.7489,73.9698
46.6165,-27.7508,-282.0798,105.9610,197.1695
47.3684,-28.7206,-293.2495,108.6667,129.2790
48.1203,-30.6118,-269.0773,112.7673,73.5418
48.8722,-27.7527,-289.2834,99.2490,157.5182
49.6241,-28.9506,-296.3805,84.4411,126.2068
50.3759,-30.2273,-270.0926,116.4072,259.7282
51.1278,-28.8369,-289.2443,109.2642,242.4988
51.8797,-28.7865,-292.1537,94.6990,176.5809
52.6316,-29.3940,-288.1443,105.5619,72.8429
53.3835,-29.0616,-282.8372,101.2963,319.3191
54.1353,-23.5738,-412.7055,87.9214,793.3601
54.8872,-28.8496,-262.2927,106.3913,95.2075
55.6391,-25.4689,-383.3299,75.6168,517.9017
56.3910,-28.5772,-253.4364,115.0441,131.1977
57.1429,-28.9282,-285.3968,106.5036,277.4026
57.8947,-26.0549,-385.0302,63.8697,615.1401
58.6466,-29.5391,-247.5962,108.0690,59.3905
59.3985,-27.6897,-296.8071,90.8165,97.2365
60.1504,-27.1957,-344.2693,69.8170,284.7574
60.9023,-29.1241,-268.1416,114.2011,-30.2559
61.6541,-29.5902,-283.3905,93.0947,410.0136
62.4060,-25.6883,-396.7173,66.7985,217.8097
63.1579,-29.4239,-232.4542,104.0023,377.3654
63.9098,-28.3985,-286.8483,83.2696,356.5009
64.6617,-29.4558,-284.7285,91.1651,227.3180
65.4135,-31.4497,-272.9335,113.5414,356.2548
