t_s,theta1_deg,omega1_deg_s
5.1202,51.6381,-383.8901
5.9072,47.6326,-466.2307
6.6498,49.4988,-428.6587
7.4095,48.9195,-459.0526
8.1573,49.3954,-455.0493
8.9121,47.7596,-457.1125
9.6617,47.7086,-437.1712
10.3931,50.7534,-397.6093
11.1718,43.5905,-474.1193
11.9034,50.6531,-400.0351
12.6748,46.6739,-481.5309
13.4156,51.1154,-405.8080
14.1688,45.7812,-447.0170
14.9241,48.0141,-448.3449
15.6541,50.3670,-410.0965
16.4178,49.7220,-427.8238
17.1674,53.2645,-396.9403
17.9323,44.9578,-463.2790
18.6774,48.5609,-440.3433
19.4246,49.6860,-419.0999
20.1977,44.6086,-488.9683
20.9274,51.8720,-386.2932
21.6897,46.3965,-452.4798
22.4393,48.5889,-455.4612
23.1930,49.4023,-467.2701
23.9452,47.5269,-440.2024
24.6719,52.3598,-373.5834
25.4438,50.1666,-456.0500
26.2196,47.7123,-490.6448
26.9233,53.4627,-381.5867
27.7071,53.6152,-411.2889
28.4551,46.9166,-456.2423
29.2052,50.0114,-437.4164
29.9408,54.1283,-392.9971
30.7170,52.0861,-453.4003
31.4720,49.5211,-462.1634
32.1900,55.4525,-388.6319
32.9875,47.6469,-495.2357
33.6920,54.1203,-368.2353
34.4517,56.0999,-401.0621
35.2723,38.0353,-582.1007
35.9377,52.9968,-318.9055
36.7244,53.6553,-431.4944
37.5393,31.2195,-613.5000
38.1984,53.8387,-312.4012
39.0156,38.4997,-539.0910
39.7062,54.2344,-337.9897
40.5115,45.2732,-530.7175
41.2216,54.4036,-410.2781
42.0103,46.3533,-506.4304
42.7298,52.9097,-400.6862
43.4839,53.7593,-414.5836
44.2379,52.1615,-445.0074
45.0123,47.8139,-486.8432
45.7156,52.0431,-364.6679
46.4876,55.9404,-400.1496
47.2633,49.1910,-482.9135
47.9728,55.0764,-359.4650
48.7516,54.9365,-426.0459
49.5350,43.0976,-544.5863
50.2226,55.7227,-323.4133
50.9899,57.6195,-384.6980
51.7758,49.2499,-491.2494
52.4773,58.7536,-319.7488
53.2488,56.1244,-408.6885
54.0789,38.1119,-586.4320
54.7503,51.9818,-351.8725
55.5788,36.9795,-588.6767
56.2388,52.8914,-295.5382
57.0168,53.6179,-412.4903
57.8373,35.6091,-604.8400
58.4995,50.3393,-330.4780
59.2905,51.4126,-462.5687
60.0822,38.0981,-579.8434
60.7475,53.2993,-294.6622
61.5253,53.6393,-415.7134
62.3499,35.5054,-600.3298
63.0302,45.0217,-387.1128
63.8019,49.1626,-433.9882
64.5593,46.3906,-481.1878
65.2598,54.9554,-347.7921
