frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,569.053,491.395,729.624,503.131,-4.970,85.820,0,-327.66,263.35
1,0.01668,driven,553.297,489.236,714.264,492.474,-10.631,88.848,0,-339.07,153.76
2,0.03337,driven,537.729,485.504,698.670,481.148,-16.331,91.550,0,-347.33,41.04
3,0.05005,driven,522.640,480.257,683.637,479.285,-22.019,90.346,0,-352.45,-74.84
4,0.06673,driven,507.315,473.101,668.196,479.285,-28.040,87.799,0,-358.14,-203.66
5,0.08342,driven,492.897,464.426,653.210,479.285,-34.031,84.704,0,-357.14,-302.47
6,0.1001,driven,480.020,454.759,637.271,489.304,-39.764,77.610,0,-338.47,-410.88
7,0.11678,driven,468.687,444.373,620.387,498.298,-45.237,70.431,0,-307.96,-500.95
8,0.13347,driven,460.186,435.104,602.114,511.112,-49.714,61.829,0,-216.39,-540.16
9,0.15015,driven,454.587,428.114,581.681,526.948,-52.901,52.130,0,-97.50,-563.33
10,0.16683,driven,454.587,428.114,563.782,546.425,-52.901,42.705,0,-35.00,-573.43
11,0.18352,driven,454.587,428.114,543.117,562.589,-52.901,33.358,0,38.18,-627.37
12,0.2002,driven,454.627,428.166,514.726,577.529,-52.878,21.918,0,136.17,-691.58
13,0.21688,driven,463.006,438.343,488.068,597.381,-48.185,8.955,0,285.52,-845.45
14,0.23357,driven,474.054,449.540,461.158,610.022,-42.585,-4.594,0,429.59,-990.98
15,0.25025,driven,490.499,462.775,424.715,609.722,-35.067,-24.117,0,491.28,-1049.69
16,0.26693,driven,512.411,475.700,407.436,597.771,-26.004,-40.694,0,492.52,-982.74
17,0.28362,driven,531.777,483.634,399.613,575.578,-18.551,-55.175,0,408.55,-814.33
18,0.3003,driven,547.386,488.012,398.105,548.311,-12.780,-68.005,0,313.13,-679.27
19,0.31698,driven,560.662,490.443,403.020,523.154,-7.975,-78.277,0,284.09,-554.41
20,0.33367,driven,573.808,491.737,413.210,503.109,-3.273,-85.950,0,301.72,-435.54
21,0.35035,driven,589.220,491.880,428.451,483.273,2.214,-93.064,0,332.08,-340.58
22,0.36703,driven,605.462,490.425,445.826,469.507,8.020,-97.466,0,360.63,-234.76
23,0.38372,driven,621.974,487.211,463.756,457.414,14.009,-100.666,0,370.75,-117.40
24,0.4004,driven,639.369,481.810,481.590,449.768,20.495,-101.479,0,374.60,-1.02
25,0.41708,driven,655.093,474.957,496.922,444.906,26.602,-100.758,0,387.31,115.47
26,0.43377,driven,670.810,465.946,511.199,444.844,33.052,-97.531,0,395.08,226.55
27,0.45045,driven,686.653,454.196,525.921,444.900,40.076,-93.310,0,410.24,323.66
28,0.46713,driven,699.807,441.802,539.071,451.023,46.511,-86.717,0,403.33,418.85
29,0.48382,driven,712.049,427.267,553.818,456.996,53.278,-79.359,0,362.86,544.08
30,0.5005,driven,720.768,414.312,569.829,470.332,58.838,-69.638,0,303.79,562.48
31,0.51718,driven,726.295,404.400,588.208,487.183,62.877,-59.057,0,191.30,549.07
32,0.53387,driven,729.691,397.353,602.576,496.159,65.661,-52.142,0,94.36,556.95
33,0.55055,driven,729.691,397.353,622.049,517.078,65.661,-41.958,0,2.13,535.20
34,0.56723,driven,729.691,397.353,645.343,534.489,65.661,-31.594,0,-78.19,545.64
35,0.58392,driven,726.919,403.169,659.312,549.286,63.368,-24.830,0,-162.56,561.26
36,0.6006,driven,722.328,411.677,684.784,568.238,59.927,-13.485,0,-278.05,680.74
37,0.61728,driven,713.760,424.930,712.565,585.925,54.309,-0.425,0,-385.49,902.17
38,0.63397,driven,700.807,440.739,742.075,596.360,47.031,14.852,0,-501.15,1014.61
39,0.65065,driven,682.490,457.581,771.979,591.419,38.167,33.768,0,-546.62,1017.44
40,0.66733,driven,659.985,472.401,781.863,577.601,28.566,49.200,0,-516.66,903.45
41,0.68402,driven,640.840,481.252,783.474,555.927,21.054,62.366,0,-436.18,728.38
42,0.7007,driven,623.060,486.936,777.747,531.579,14.408,73.902,0,-366.97,591.48
43,0.71738,driven,606.951,490.209,766.457,512.089,8.555,82.189,0,-347.67,434.26
44,0.73407,driven,591.034,491.799,751.961,496.651,2.860,88.273,0,-337.96,296.20
45,0.75075,driven,574.694,491.786,735.595,486.128,-2.957,92.014,0,-344.53,178.83
46,0.76743,driven,558.991,490.200,719.514,477.822,-8.576,94.409,0,-351.88,53.96
47,0.78412,driven,542.089,486.715,702.671,475.126,-14.721,94.128,0,-363.84,-45.80
48,0.8008,driven,525.825,481.506,686.698,475.129,-20.801,92.270,0,-385.59,-152.45
49,0.81748,driven,509.191,474.085,670.188,475.137,-27.287,89.626,0,-386.89,-232.66
50,0.83417,driven,493.089,464.555,653.239,481.070,-33.949,84.112,0,-378.92,-363.12
51,0.85085,driven,480.186,454.896,637.617,488.609,-39.687,77.913,0,-347.51,-498.00
52,0.86753,driven,468.458,444.142,617.706,504.526,-45.352,67.972,0,-308.21,-531.22
53,0.88422,driven,460.057,434.952,597.521,518.765,-49.784,58.629,0,-217.56,-589.43
54,0.9009,driven,454.451,427.934,578.624,530.414,-52.981,50.467,0,-99.20,-592.71
55,0.91758,driven,454.451,427.934,553.169,555.118,-52.981,37.818,0,-24.84,-624.46
56,0.93427,driven,454.451,427.934,531.205,569.461,-52.981,28.472,0,43.85,-715.48
57,0.95095,driven,455.449,429.243,499.819,584.008,-52.396,15.997,0,126.04,-832.66
58,0.96763,driven,462.304,437.553,460.790,598.546,-48.561,-0.539,0,275.79,-1003.09
59,0.98432,driven,472.873,448.444,424.366,601.962,-43.159,-17.535,0,406.62,-1087.79
60,1.001,driven,489.513,462.077,396.014,593.145,-35.497,-35.503,0,445.56,-1076.23
61,1.01768,driven,507.230,473.056,377.368,568.223,-28.075,-53.765,0,409.53,-983.27
62,1.03437,driven,522.272,480.108,372.654,539.566,-22.160,-68.327,0,326.52,-813.63
63,1.05105,driven,534.975,484.671,376.260,511.696,-17.355,-80.337,0,267.98,-664.50
64,1.06773,driven,546.616,487.835,385.621,486.514,-13.061,-90.470,0,244.70,-567.22
65,1.08442,driven,557.940,490.038,399.164,463.371,-8.955,-99.534,0,261.19,-471.47
66,1.1011,driven,570.423,491.508,415.900,446.305,-4.480,-106.306,0,299.62,-372.47
67,1.11778,driven,586.261,491.967,436.633,432.531,1.161,-111.664,0,338.41,-266.37
