frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,598,517,593,681,-3.532295,-1.746,0
1,0.01668,holding,598,517,594,680,-3.532295,-1.406,0
2,0.03337,holding,598,517,594,680,-3.532295,-1.406,0
3,0.05005,holding,598,517,594,680,-3.532295,-1.406,0
4,0.06673,holding,598,517,595,680,-3.532295,-1.054,0
5,0.08342,holding,598,517,596,680,-3.532295,-0.703,0
6,0.1001,holding,598,517,597,680,-3.532295,-0.352,0
7,0.11678,holding,598,517,597,680,-3.532295,-0.352,0
8,0.13347,holding,596,556,,,-3.416588,,1
9,0.15015,holding,597,556,,,-3.132465,,1
10,0.16683,holding,597,555,,,-3.148096,,1
11,0.18352,holding,597,567,,,-2.970231,,1
12,0.2002,holding,605,517,600,680,-1.060912,-1.757,0
13,0.21688,holding,606,517,603,680,-0.707319,-1.054,0
14,0.23357,holding,607,517,603,680,-0.353673,-1.406,0
15,0.25025,holding,607,517,603,680,-0.353673,-1.406,0
16,0.26693,holding,608,517,604,680,0.000000,-1.406,0
17,0.28362,holding,608,517,604,680,0.000000,-1.406,0
18,0.3003,holding,608,517,605,680,0.000000,-1.054,0
19,0.31698,holding,613,517,605,680,1.767827,-2.81,0
20,0.33367,holding,613,517,606,680,1.767827,-2.459,0
21,0.35035,holding,613,517,607,680,1.767827,-2.108,0
22,0.36703,holding,613,516,608,680,1.778800,-1.746,0
23,0.38372,holding,614,517,609,680,2.121096,-1.757,0
24,0.4004,holding,613,517,610,680,1.767827,-1.054,0
25,0.41708,holding,613,517,610,680,1.767827,-1.054,0
26,0.43377,holding,613,517,612,680,1.767827,-0.352,0
27,0.45045,holding,613,517,613,680,1.767827,0.0,0
28,0.46713,holding,613,517,613,680,1.767827,0.0,0
29,0.48382,holding,614,517,614,680,2.121096,0.0,0
30,0.5005,holding,613,517,615,680,1.767827,0.703,0
31,0.51718,holding,613,517,615,680,1.767827,0.703,0
32,0.53387,holding,613,517,616,680,1.767827,1.054,0
33,0.55055,holding,613,517,616,680,1.767827,1.054,0
34,0.56723,holding,613,517,617,680,1.767827,1.406,0
35,0.58392,holding,613,517,617,680,1.767827,1.406,0
36,0.6006,holding,613,517,617,680,1.767827,1.406,0
37,0.61728,holding,613,517,617,680,1.767827,1.406,0
38,0.63397,holding,613,517,616,680,1.767827,1.054,0
39,0.65065,holding,613,517,616,680,1.767827,1.054,0
40,0.66733,holding,613,517,616,680,1.767827,1.054,0
41,0.68402,holding,613,517,615,680,1.767827,0.703,0
42,0.7007,holding,613,517,615,680,1.767827,0.703,0
43,0.71738,holding,613,517,614,680,1.767827,0.352,0
44,0.73407,holding,613,517,613,680,1.767827,0.0,0
45,0.75075,holding,613,517,612,680,1.767827,-0.352,0
46,0.76743,holding,613,517,611,680,1.767827,-0.703,0
47,0.78412,holding,613,517,610,680,1.767827,-1.054,0
48,0.8008,holding,613,517,609,680,1.767827,-1.406,0
49,0.81748,holding,613,517,608,680,1.767827,-1.757,0
50,0.83417,holding,613,517,607,680,1.767827,-2.108,0
51,0.85085,holding,613,517,606,680,1.767827,-2.459,0
52,0.86753,holding,613,517,606,680,1.767827,-2.459,0
53,0.88422,holding,613,517,605,680,1.767827,-2.81,0
54,0.9009,holding,608,517,604,680,0.000000,-1.406,0
55,0.91758,holding,608,517,604,680,0.000000,-1.406,0
56,0.93427,holding,607,517,603,680,-0.353673,-1.406,0
57,0.95095,holding,607,517,603,680,-0.353673,-1.406,0
58,0.96763,holding,606,517,603,680,-0.707319,-1.054,0
59,0.98432,holding,606,517,601,680,-0.707319,-1.757,0
60,1.001,holding,605,517,600,680,-1.060912,-1.757,0
61,1.01768,holding,597,565,,,-2.998467,,1
62,1.03437,holding,597,556,,,-3.132465,,1
63,1.05105,holding,597,556,,,-3.132465,,1
64,1.06773,holding,599,517,597,680,-3.179830,-0.703,0
65,1.08442,holding,599,517,596,680,-3.179830,-1.054,0
66,1.1011,holding,599,517,596,680,-3.179830,-1.054,0
67,1.11778,holding,598,517,595,680,-3.532295,-1.054,0
68,1.13447,holding,598,517,594,680,-3.532295,-1.406,0
69,1.15115,holding,598,517,594,680,-3.532295,-1.406,0
70,1.16783,holding,598,517,593,680,-3.532295,-1.757,0
71,1.18452,holding,598,517,593,680,-3.532295,-1.757,0
72,1.2012,holding,598,517,593,680,-3.532295,-1.757,0
73,1.21788,holding,598,517,593,680,-3.532295,-1.757,0
74,1.23457,holding,598,517,592,680,-3.532295,-2.108,0
75,1.25125,holding,598,517,593,680,-3.532295,-1.757,0
76,1.26793,holding,598,517,593,680,-3.532295,-1.757,0
77,1.28462,holding,598,517,593,680,-3.532295,-1.757,0
78,1.3013,holding,598,517,592,680,-3.532295,-2.108,0
79,1.31798,holding,598,517,593,680,-3.532295,-1.757,0
80,1.33467,holding,596,556,,,-3.416588,,1
81,1.35135,holding,596,556,,,-3.416588,,1
82,1.36803,holding,596,556,,,-3.416588,,1
83,1.38472,holding,596,557,,,-3.399714,,1
84,1.4014,holding,597,557,,,-3.116989,,1
85,1.41808,holding,597,559,,,-3.086489,,1
86,1.43477,holding,597,561,,,-3.056580,,1
87,1.45145,holding,597,564,,,-3.012788,,1
88,1.46813,holding,597,568,,,-2.956311,,1
89,1.48482,holding,606,517,598,680,-0.707319,-2.81,0
90,1.5015,holding,606,517,599,680,-0.707319,-2.459,0
91,1.51818,holding,606,517,601,680,-0.707319,-1.757,0
92,1.53487,holding,606,517,603,680,-0.707319,-1.054,0
93,1.55155,holding,606,517,604,680,-0.707319,-0.703,0
94,1.56823,holding,607,517,604,681,-0.353673,-1.048,0
95,1.58492,holding,607,517,605,680,-0.353673,-0.703,0
96,1.6016,holding,607,517,606,680,-0.353673,-0.352,0
97,1.61828,holding,607,517,607,680,-0.353673,0.0,0
98,1.63497,holding,607,517,608,680,-0.353673,0.352,0
99,1.65165,holding,607,517,609,680,-0.353673,0.703,0
100,1.66833,free_swing,607,517,610,680,-0.353673,1.054,0
101,1.68502,free_swing,607,517,611,680,-0.353673,1.406,0
102,1.7017,free_swing,608,517,612,680,0.000000,1.406,0
103,1.71838,free_swing,608,517,613,680,0.000000,1.757,0
104,1.73507,free_swing,600,567,,,-2.161079,,1
105,1.75175,free_swing,600,563,,,-2.202598,,1
106,1.76843,free_swing,600,561,,,-2.223961,,1
107,1.78512,free_swing,613,517,615,680,1.767827,0.703,0
108,1.8018,free_swing,613,517,615,680,1.767827,0.703,0
109,1.81848,free_swing,613,516,615,680,1.778800,0.699,0
110,1.83517,free_swing,614,517,615,680,2.121096,0.352,0
111,1.85185,free_swing,614,517,615,680,2.121096,0.352,0
112,1.86853,free_swing,614,517,615,680,2.121096,0.352,0
