frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,residual_suspect,energy_J,energy_ceiling_suspect,energy_rolling_spike,energy_suspect,trend_arm_suspect,omega_cap_suspect
0,0.0,holding,612,192,772,193,178.594251,89.642,0,,,0,160.00,7.49,100,0,0,0,,0,0,0,0,0
1,0.01668,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
2,0.03337,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
3,0.05005,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
4,0.06673,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
5,0.08342,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
6,0.1001,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
7,0.11678,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
8,0.13347,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
9,0.15015,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
10,0.16683,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
11,0.18352,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
12,0.2002,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
13,0.21688,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
14,0.23357,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
15,0.25025,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
16,0.26693,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
17,0.28362,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
18,0.3003,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
19,0.31698,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
20,0.33367,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
21,0.35035,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
22,0.36703,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
23,0.38372,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
24,0.4004,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
25,0.41708,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
26,0.43377,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
27,0.45045,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
28,0.46713,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
29,0.48382,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
30,0.5005,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
31,0.51718,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
32,0.53387,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
33,0.55055,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
34,0.56723,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
35,0.58392,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
36,0.6006,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
37,0.61728,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
38,0.63397,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
39,0.65065,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
40,0.66733,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
41,0.68402,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
42,0.7007,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
43,0.71738,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
44,0.73407,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
45,0.75075,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
46,0.76743,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
47,0.78412,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
48,0.8008,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
49,0.81748,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
50,0.83417,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
51,0.85085,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
52,0.86753,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
53,0.88422,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
54,0.9009,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
55,0.91758,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
56,0.93427,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
57,0.95095,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
58,0.96763,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
59,0.98432,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
60,1.001,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
61,1.01768,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
62,1.03437,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
63,1.05105,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
64,1.06773,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
65,1.08442,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
66,1.1011,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
67,1.11778,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
68,1.13447,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
69,1.15115,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
70,1.16783,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
71,1.18452,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
72,1.2012,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
73,1.21788,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
74,1.23457,free_swing,578,196,775,205,-169.315088,87.384,0,-37.10,-994.87,0,197.21,14.02,2500,0,0,0,18.3652,0,0,0,0,0
75,1.25125,free_swing,567,200,742,222,-165.183681,82.835,0,-426.21,-617.29,1,176.38,1.98,2500,1,0,1,23.9319,0,0,0,0,0
76,1.26793,free_swing,566,200,741,222,-164.838757,82.835,0,-698.57,-320.66,1,176.38,1.98,2500,1,0,1,31.8450,0,0,0,0,0
77,1.28462,free_swing,604,192,764,286,-178.594251,59.566,0,-854.17,-104.97,1,185.57,7.29,2500,1,0,1,44.4503,0,0,0,0,0
78,1.3013,free_swing,696,212,856,314,148.392498,57.482,0,-893.01,29.77,1,189.75,9.71,2500,0,0,1,44.9896,0,0,0,0,0
79,1.31798,free_swing,764,250,941,307,123.943587,72.15,0,-815.09,83.57,1,185.95,7.52,2500,0,0,1,34.6464,0,0,0,0,0
80,1.33467,free_swing,766,250,941,306,123.606302,72.255,0,-352.32,-7.37,1,183.74,6.24,2500,1,0,1,15.9706,0,0,0,0,0
81,1.35135,free_swing,764,249,940,307,124.195605,71.761,0,43.94,-49.51,1,185.31,7.14,2500,1,0,1,11.4473,0,0,0,0,0
82,1.36803,free_swing,765,208,941,307,133.115950,60.642,0,202.97,-159.14,1,201.93,16.76,2500,0,0,1,13.1605,0,0,0,0,0
83,1.38472,free_swing,765,208,955,279,133.115950,69.51,0,9.46,-81.99,1,202.83,17.28,2500,0,0,1,11.9900,0,0,0,0,0
84,1.4014,free_swing,765,208,901,339,133.115950,46.073,0,-93.11,78.44,1,188.83,9.18,2500,0,0,1,12.3260,0,0,0,0,0
85,1.41808,free_swing,766,249,939,307,123.857110,71.466,0,-7.91,152.09,1,182.46,5.50,2500,0,0,1,11.5045,0,0,0,0,0
86,1.43477,free_swing,766,249,941,304,123.857110,72.553,0,146.64,72.41,0,183.44,6.06,2500,0,0,0,12.3846,0,0,0,0,0
87,1.45145,free_swing,766,249,941,304,123.857110,72.553,0,368.42,76.78,1,183.44,6.06,2500,1,0,0,16.8985,0,0,0,0,0
88,1.46813,free_swing,727,182,899,255,145.477424,67.003,0,199.26,241.26,1,186.85,8.03,2500,0,0,1,15.3803,0,0,0,0,0
89,1.48482,free_swing,722,181,894,251,146.768289,67.855,0,80.30,194.07,0,185.70,7.37,2500,0,0,0,13.3584,0,0,0,0,0
90,1.5015,free_swing,728,182,901,254,145.253213,67.404,0,-60.00,175.31,0,187.38,8.34,2500,0,0,0,12.6541,0,0,0,0,0
91,1.51818,free_swing,726,219,919,216,139.053554,90.891,0,-160.31,-177.49,1,193.02,11.60,2500,1,0,1,13.1831,0,0,0,0,0
92,1.53487,free_swing,762,284,944,297,114.751543,85.914,0,-187.13,-586.86,1,182.46,5.50,2500,1,0,1,15.4082,0,0,0,0,0
93,1.55155,free_swing,733,186,895,277,143.511705,60.676,0,-58.12,-815.98,1,185.81,7.43,2500,1,0,1,17.8611,0,0,0,0,0
94,1.56823,free_swing,723,225,814,356,138.503532,34.786,0,-18.93,-849.90,1,159.51,7.78,2500,0,0,1,17.3726,0,0,0,0,0
95,1.58492,free_swing,765,218,821,394,131.108324,17.65,0,-43.02,-813.69,1,184.69,6.79,2500,0,0,1,16.9751,0,0,0,0,0
96,1.6016,free_swing,764,229,819,392,128.927544,18.646,0,-370.98,-1012.22,1,172.03,0.53,2500,1,0,1,35.9344,0,1,1,0,0
97,1.61828,free_swing,762,241,819,401,126.511056,19.608,0,-315.96,-1218.19,1,169.85,1.79,2500,1,0,1,36.9861,0,1,1,0,0
98,1.63497,free_swing,758,256,735,460,123.424811,-6.433,0,205.44,-1047.19,1,205.29,18.70,2500,1,0,1,12.7228,0,0,0,0,0
99,1.65165,free_swing,753,271,625,409,120.084157,-42.887,0,573.83,-467.07,1,188.22,8.83,2500,1,0,1,18.1589,0,0,0,0,0
100,1.66833,free_swing,751,284,581,316,116.404559,-79.34,0,775.14,220.61,1,172.99,0.02,2500,1,0,1,31.5572,0,0,0,0,0
101,1.68502,free_swing,621,190,521,349,175.495093,-32.163,0,785.35,863.72,1,187.83,8.60,2500,1,0,1,66.0764,0,1,1,0,0
102,1.7017,free_swing,627,190,680,388,173.431236,14.985,0,569.45,1160.71,1,204.97,18.51,2500,1,0,1,58.1093,0,0,0,0,0
103,1.71838,free_swing,636,191,710,338,170.311213,26.721,0,145.73,891.42,1,164.58,4.84,2500,1,0,1,23.3085,0,0,0,0,0
104,1.73507,free_swing,646,193,689,393,166.798913,12.134,0,-205.92,205.61,1,204.57,18.28,2500,1,0,1,14.6398,0,0,0,0,0
105,1.75175,free_swing,658,196,684,401,162.543442,7.228,0,-436.09,-518.81,1,206.64,19.48,2500,1,0,1,31.5652,0,0,0,0,0
106,1.76843,free_swing,673,203,680,404,156.846918,1.995,0,-269.64,-697.83,0,201.12,16.29,2500,0,0,0,25.6844,0,0,0,0,0
107,1.78512,free_swing,688,211,675,396,150.945396,-4.02,0,-331.00,-659.48,1,185.46,7.23,2500,0,0,1,27.7234,0,0,0,0,0
108,1.8018,free_swing,678,202,624,390,155.415131,-16.026,0,-287.82,-561.82,1,195.60,13.09,2500,0,0,1,23.7762,0,0,0,0,0
109,1.81848,free_swing,716,234,626,385,138.249112,-30.796,0,-598.90,-687.86,1,175.79,1.64,2500,1,0,1,42.7840,0,0,0,0,0
110,1.83517,free_swing,731,250,591,385,130.486012,-46.042,0,-754.77,-972.09,1,194.49,12.45,2500,1,0,0,59.6322,0,1,1,0,0
111,1.85185,free_swing,744,266,590,384,123.201208,-52.539,0,-692.98,-1050.16,1,194.01,12.17,2500,0,0,1,53.6612,0,0,0,0,0
112,1.86853,free_swing,755,285,591,385,115.463345,-58.627,0,-491.12,-831.06,1,192.08,11.06,2500,1,0,1,31.3139,0,0,0,0,0
113,1.88522,free_swing,795,402,591,385,75.891686,-94.764,0,-103.93,-415.80,1,204.71,18.36,2500,1,0,1,5.8480,0,0,0,0,0
114,1.9019,free_swing,796,291,637,235,108.799885,-109.402,0,291.82,201.40,1,168.57,2.53,2500,1,0,1,9.5425,0,0,0,0,0
115,1.91858,free_swing,776,271,582,314,116.565051,-77.502,0,587.36,902.96,1,198.71,14.89,2500,1,0,1,33.7593,0,0,0,0,0
116,1.93527,free_swing,785,255,641,357,119.465221,-54.689,0,666.61,1406.08,1,176.47,2.03,2500,1,0,1,61.3338,0,0,0,0,0
117,1.95195,free_swing,748,216,646,363,134.794640,-34.756,0,473.71,1410.21,0,178.92,3.45,2500,0,0,0,52.1196,0,0,0,0,0
118,1.96863,free_swing,717,202,694,362,144.533233,-8.18,0,131.87,858.93,1,161.64,6.54,2500,1,0,0,21.2424,0,0,0,0,0
119,1.98532,free_swing,735,224,749,433,135.888235,3.832,0,98.43,225.62,1,209.47,21.11,2500,1,0,1,13.3503,0,0,0,0,0
120,2.002,free_swing,742,218,726,394,135.634245,-5.194,0,-1.18,-115.65,1,176.73,2.18,2500,1,0,1,11.7381,0,0,0,0,0
121,2.01868,free_swing,742,214,695,379,136.458123,-15.9,0,-57.86,-313.91,1,171.56,0.80,2500,0,0,1,12.7903,0,0,0,0,0
122,2.03537,free_swing,707,219,641,423,143.947585,-17.928,0,-27.46,-324.79,1,214.41,23.97,2500,0,0,1,12.9904,0,0,0,0,0
123,2.05205,free_swing,741,217,678,384,136.056998,-20.669,0,-21.85,-176.67,1,178.49,3.20,2500,0,0,1,11.6326,0,0,0,0,0
124,2.06873,free_swing,736,217,678,390,137.152963,-18.534,0,-82.48,-42.80,1,182.46,5.50,2500,0,0,1,11.9033,0,0,0,1,0
125,2.08542,free_swing,741,217,678,392,136.056998,-19.799,0,273.02,-34.21,1,185.99,7.54,2500,1,0,0,14.6768,0,0,0,1,0
126,2.1021,free_swing,761,214,688,393,132.662694,-22.187,0,62.69,-52.49,1,193.31,11.77,2500,1,0,1,11.0561,0,0,0,1,0
127,2.11878,free_swing,762,209,685,378,133.472475,-24.495,0,-538.41,-276.60,1,185.71,7.38,2500,1,0,0,29.7501,0,1,1,1,0
128,2.13547,free_swing,754,205,681,380,135.774220,-22.643,0,-1289.07,-241.37,1,189.62,9.63,2500,1,0,1,101.0974,0,1,1,1,0
129,2.15215,free_swing,744,217,678,376,135.418210,-22.543,0,-1972.69,538.50,1,172.15,0.46,2500,1,0,1,169.5469,0,1,1,1,0
130,2.16883,free_swing,699,494,634,670,33.211817,-20.293,0,-2367.72,1450.35,1,187.62,8.48,2500,1,0,1,183.5912,0,1,1,1,0
