t_s,theta1_deg,omega1_deg_s
0.9457,-17.9904,-22.1019
2.2780,-8.1580,-154.1311
3.6061,5.0354,-128.5710
4.9352,14.3730,-49.0802
6.2656,18.6243,19.3669
7.5945,21.1794,63.4872
8.9210,22.7188,109.2006
10.2418,22.6278,160.1724
11.5359,14.5040,256.1453
12.7603,-17.8194,227.4560
14.0620,-22.0920,161.2243
15.3777,-21.9629,134.4002
16.6957,-20.9329,130.1825
18.0129,-19.9037,146.3083
19.3328,-17.5443,180.8581
20.6672,-9.4195,246.5946
22.0286,9.3982,241.3800
23.3624,16.7898,157.9017
24.6802,18.1346,104.9720
25.9923,16.8487,58.2432
27.3007,14.0886,16.8865
28.6056,9.3833,-27.1704
29.9057,2.4563,-52.2174
31.2030,-5.5522,-46.1440
32.5023,-12.1443,0.5391
33.8061,-16.2470,61.9950
35.1166,-16.3935,137.6045
36.4698,-0.6973,241.9132
37.8236,15.0475,137.6271
39.1317,14.3335,52.3056
40.4283,8.0847,-14.2383
41.7189,-1.1628,-38.0850
43.0108,-10.3116,1.4756
