t_s,theta1_deg,omega1_deg_s
0.1995,-19.6637,-592.5028
0.9185,76.9521,267.1036
2.6401,-78.4124,277.5215
4.1894,-4.4464,460.9577
6.1967,-38.9490,-405.0865
6.7913,19.5021,-261.4837
7.1809,41.6594,-222.2546
7.7781,-46.0260,256.9558
9.1952,61.5194,297.4917
11.3747,21.0256,37.6274
15.3463,-24.2791,256.7614
16.7678,-17.3860,227.1036
18.1845,-3.3227,328.2766
19.5984,13.7247,252.9543
21.0064,16.4247,164.7979
22.4130,16.9230,147.7050
23.8179,18.3694,159.7875
25.2219,22.8613,230.8702
26.5985,-16.5630,360.5537
27.9874,-21.5571,228.2745
29.3785,-16.0652,263.6025
30.7734,1.0592,340.9590
32.1654,16.0702,229.9103
33.5466,19.0678,181.4962
34.9289,22.3291,222.5592
36.2962,10.6334,383.8139
37.6317,-21.6262,275.4209
39.0018,-19.6465,235.5313
40.3755,-10.8374,315.0776
41.7611,9.3507,310.2675
43.1314,17.9088,216.2371
44.4967,20.6934,201.8969
