t_s,theta1_deg,omega1_deg_s
3.0524,47.0110,355.7275
6.8449,-22.9981,367.8868
8.2701,-13.6706,-113.9676
9.6808,8.8785,-194.0520
11.1150,-8.1314,435.7293
12.5292,-20.2239,-31.8650
13.9312,27.3924,-172.1209
14.5937,-28.9597,-244.4797
16.1067,33.0892,329.7430
18.1259,-31.3592,343.1364
19.5926,11.6290,-299.4726
20.5122,-38.3616,-72.7114
21.8874,37.4871,176.8829
23.6277,-32.2371,-40.6717
24.9633,29.6618,31.9746
26.4672,-27.5524,-71.9852
27.8048,25.6402,-38.6403
29.1873,-31.7560,192.8790
30.5958,-2.4844,-235.7543
31.9886,24.9807,102.5071
33.3349,2.8212,420.0050
34.6613,-26.4448,121.9074
36.0435,-9.1203,-160.2865
37.3937,12.4982,-96.3081
38.7680,22.7787,105.7476
40.1312,23.6475,253.9165
41.4050,-25.9203,227.9430
